name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,notable_works,field,spouse,children,parents
Martin Luther King Jr.,{{birth date|1929|1|15}},"[[Atlanta|Atlanta, Georgia]], U.S.",{{death date and age|1968|4|4|1929|1|15}},"[[Memphis, Tennessee]], U.S.",,{{hlist|Baptist minister|activist}} {{Infobox person|child=yes,,,"{{unbulleted list|[[Nobel Peace Prize]] (1964)|[[Presidential Medal of Freedom]] ([[Posthumous award|posthumous]], 1977)|[[Congressional Gold Medal]] (posthumous, 2004)}}",,{{unbulleted list|[[Morehouse College]] ([[Bachelor of Arts|BA]])|[[Crozer Theological Seminary]] ([[Bachelor of Divinity|BDiv]])|[[Boston University]] ([[PhD]])}},,,"{{marriage|[[Coretta Scott King|Coretta Scott]]|June 18, 1953}}",{{hlist|[[Yolanda King|Yolanda]]|[[Martin Luther King III|Martin&nbsp;III]]|[[Dexter King|Dexter]]|[[Bernice King|Bernice]]}},{{unbulleted list|[[Martin Luther King Sr.]]|[[Alberta Williams King]]}}
Nelson Mandela,{{birth date|1918|7|18|df=y}},"[[Mvezo]], South Africa",{{death date and age|2013|12|05|1918|7|18|df=y}},"[[Johannesburg]], South Africa",,{{hlist|Politician|lawyer|philanthropist|activist}},,[[Internal resistance to apartheid|Anti-apartheid activism]],[[List of awards and honours received by Nelson Mandela|Full list]],{{ubl|[[University of Fort Hare]]|[[University of London]]|[[University of South Africa]]|[[University of the Witwatersrand]]}},,,,{{plainlist| * {{marriage|[[Evelyn Mase|Evelyn Ntoko Mase]]|5 October 1944|18 March 1958|end=div.}} * {{marriage|[[Winnie Madikizela-Mandela|Winifred Madikizela]]|14 June 1958|19 March 1996|end=div.}} * {{marriage|[[Graça Machel|Graça Simbine]]|18 July 1998}}}},"6, including [[Makgatho Mandela|Makgatho]], [[Makaziwe Mandela|Maki]], [[Zenani Mandela-Dlamini|Zenani]], and [[Zindzi Mandela|Zindziswa]]",
Mohandas Gandhi,{{birth date|df=y|1869|10|2}},"[[Porbandar]], [[Kathiawar Agency]], India",{{death date and age|df=y|1948|1|30|1869|10|2}},"New Delhi, India",,{{hlist|Lawyer|anti-colonialist|political ethicist}},1893–1948,{{ubli|Leadership of the [[Indian independence movement|campaign for India's independence from British rule]]|[[Nonviolent resistance]]}},,{{ubl|[[Samaldas Arts College]]{{efn|Did not graduate}}|[[University College London]]{{efn|Informal [[Academic audit|auditing student]] between 1888 and 1891}}}}[[City Law School|Inns of Court School of Law]],,,,{{marriage|[[Kasturba Gandhi]]|1883|1944|end=died}},{{hlist|[[Harilal Gandhi|Harilal]]|[[Manilal Gandhi|Manilal]]|[[Ramdas Gandhi|Ramdas]]|[[Devdas Gandhi|Devdas]]}},{{ubl|[[Karamchand Gandhi]]|[[Putlibai Gandhi]]}}
Malcolm X,{{birth date|1925|5|19}},"[[Omaha, Nebraska]], U.S.",{{death date and age|1965|2|21|1925|5|19}},"[[Manhattan]], New York City, U.S.",,{{hlist|Minister|activist}},,,,,,,,{{marriage|[[Betty Shabazz]]|1958}},"6, including [[Attallah Shabazz|Attallah]], [[Qubilah Shabazz|Qubilah]], and [[Ilyasah Shabazz|Ilyasah]]",
Rosa Parks,{{birth date|1913|2|4}},"[[Tuskegee, Alabama]], U.S.",{{death date and age|2005|10|24|1913|2|4}},"[[Detroit]], Michigan, U.S.",,[[Civil rights activist]],,[[Montgomery bus boycott]],,,Alabama State Teachers College for Negroes (now [[Alabama State University]]),,,[[Raymond Parks (activist)|Raymond Parks]]<br>(m. 1932; died 1977),,
Susan B. Anthony,{{Birth date|1820|2|15|mf=y}},"[[Adams, Massachusetts]], U.S.",{{Death date and age|1906|3|13|1820|2|15|mf=y}},"[[Rochester, New York]], U.S.",,,,Advocacy of {{hlist|[[women's suffrage]]|[[women's rights]]|[[Abolitionism in the United States|abolitionism]]}},,,,,,,,
Frederick Douglass,"{{circa}} February 14, 1818","[[Cordova, Maryland]], U.S.",{{Death date and age|1895|2|20|1818}},"[[Washington, D.C.]], U.S.",,{{flatlist| * [[Abolitionism in the United States|Abolitionist]] * [[suffragist]] * author * editor * diplomat }},,,,,,,,,,
Harriet Tubman,{{circa|March 1822}}{{sfn|Larson|2004|p=16}},"[[Dorchester County, Maryland]], U.S.<!-- As per WP:LINKDIRECT and Template:infobox person, birth/death place indicates city, state, then country. No need to spell out ""United States; 'U.S.' is fine. -->",{{BirthDeathAge| |1822|3| |1913|3|10}},"[[Auburn, New York]], U.S.",,{{hlist|Civil War [[Reconnaissance|scout]]|[[American Civil War spies#Union Spying|spy]]|nurse|suffragist|civil rights activist}},,Guiding enslaved people to freedom,,,,,,{{plainlist| * {{marriage|[[John Tubman]]|1844|1851|end=divorced}} * {{marriage|[[Nelson Charles Davis|Nelson Davis]]|1869|1888|end=his death}} }},,
Sojourner Truth,{{Circa|1797}},"[[Swartekill, New York]], U.S.",{{Death date and given age|1883|11|26|86|mf=y}},"[[Battle Creek, Michigan]], U.S.",,"[[Abolitionism in the United States|Abolitionist]], [[human rights activists|human rights activist]]",,,,,,,,,,
Angela Davis,{{Birth date and age|1944|1|26}},"[[Birmingham, Alabama]], U.S.",,,,{{hlist | Activist | scholar}},,,[[Lenin Peace Prize]],,"{{ubl|[[Brandeis University]] ([[Bachelor of Arts|BA]])|[[Goethe University Frankfurt|University of Frankfurt]]|[[University of California, San Diego]] ([[Master of Arts|MA]])}}","{{unbulleted list | ''[[Women, Race and Class]]'' (1981) | ''[[Are Prisons Obsolete?]]'' (2003)}}",,"{{marriage|Hilton Braithwaite|1980|1983|end=div}}<ref name=""auto"">{{cite magazine|url=http://www.people.com/people/archive/article/0,,20077018,00.html|title=Angela Davis, Sweetheart of the Far Left, Finds Her Mr. Right|magazine=[[People (magazine)|People]]|volume=14|number=3|date=July 21, 1980|access-date=October 20, 2011|archive-date=March 11, 2015|archive-url=https://web.archive.org/web/20150311073558/http://www.people.com/people/archive/article/0,,20077018,00.html|url-status=dead}}</ref><ref name=""auto1"">{{cite news|url=https://www.latimes.com/archives/la-xpm-1989-03-08-vw-316-story.html|title=Angela Davis Now: On a Quiet Street in Oakland, the Former Radical Activist Has Settled In but Not Settled Down|newspaper=[[Los Angeles Times]]|first=Beverly|last=Beyette|date=March 8, 1989|access-date=January 6, 2015|archive-date=January 16, 2019|archive-url=https://web.archive.org/web/20190116162027/http://articles.latimes.com/1989-03-08/news/vw-316_1_angela-davis/4|url-status=live}}</ref>",,
Cesar Chavez,{{birth date|1927|3|31|mf=y}},"[[Yuma, Arizona]], U.S.",{{nowrap|{{death date and age|1993|4|23|1927|3|31|mf=y}}}},"[[San Luis, Arizona]], U.S.",,{{unbulleted list |[[Labor leader]] |[[Civil rights]] [[Activism|activist]]}},,,[[Presidential Medal of Freedom]] (1994),,,,,[[Helen Fabela Chávez]],8,
Aung San Suu Kyi,,,,,,,,,,,,,,,,
Lech Wałęsa,{{birth date and age|1943|9|29|df=y}},"[[Popowo, Gmina Tłuchowo|Popowo]], [[Occupation of Poland (1939-1945)|German-occupied]] Poland",,,,,,,[[List of awards and honors received by Lech Wałęsa|Full list]],,,,,{{marriage|[[Danuta Wałęsa|Mirosława Danuta Gołoś]]|8 November 1969}},"8, including [[Jarosław Wałęsa|Jarosław]]",
Eleanor Roosevelt,{{birth date|1884|10|11}},"[[New York City]], U.S.",{{death date and age|1962|11|7|1884|10|11}},"New York City, U.S.",,,,,,,,,,{{marriage|[[Franklin D. Roosevelt]]|1905|1945|end=died}},"6, including [[Anna Roosevelt Halsted|Anna]], [[James Roosevelt|James]], [[Elliott Roosevelt (general)|Elliott]], [[Franklin D. Roosevelt Jr.|Franklin Jr.]], and [[John Aspinwall Roosevelt|John]]",{{plainlist| * [[Elliott Roosevelt (socialite)|Elliott Roosevelt]] * [[Anna Hall Roosevelt|Anna Rebecca Hall]] }}
