name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,employer,notable_works,field,spouse,children,parents,religion,genre
Ada E. Yonath,{{birth date and age|1939|6|22|df=yes}},"[[Jerusalem]],<br/>[[Mandatory Palestine]]",,,,,,Cryo bio-crystallography,,,{{ubl|[[Hebrew University of Jerusalem]]|[[Weizmann Institute of Science]]}},,,Crystallography,,,,,
Abdus Salam,{{birth date|df=yes|1926|1|29}},"[[Jhang]],<ref name=""auto"">{{Cite news |url=https://www.dawn.com/news/1311473|title=Abdus Salam: The real story of Pakistan's Nobel prize winner|first=Hasham|last=Cheema|date=29 January 2018 |work=[[Dawn (newspaper)|Dawn]]}}</ref> [[Punjab Province (British India)|Punjab Province]], [[British Raj|British India]] (present day [[Punjab]], [[Pakistan]])",{{death date and age|df=yes|1996|11|21|1926|1|29}},"[[Oxford]], England",[[British Raj|British Indian]] (1926–1947)<br />[[Pakistani people|Pakistani]] (1947–1996),,,"{{flatlist| *[[Electroweak theory]] *[[Goldstone boson]] *[[Grand Unified Theory]] *[[Higgs mechanism]] *[[Magnetic photon]] *[[Neutral current]] *[[Pati–Salam model]] *[[Quantum mechanics]] *[[Pakistan and its Nuclear Deterrent Program|Pakistan atomic research program]]<!---He had a secretive nature over this issue, he had secretive key role in both weapon (until 1974; when he left after he fallout with Bhutto) and peaceful scientific programmes. ----> *[[Space and Upper Atmosphere Research Commission|Pakistan space program]] *[[Preon]] *[[Standard Model]] *[[Strong gravity]] *[[Superfield]] *[[W and Z bosons]] }}",,"[[Government College University (Lahore)|Government College University]] ([[Bachelor of Arts|BA]])<br /> [[University of the Punjab]] ([[Master of Arts|MA]]) <br />[[St John's College, Cambridge]] ([[PhD]])",,,,,,,,,
Agatha Christie,{{Birth date|df=y|1890|9|15}},"[[Torquay]], [[Devon]], England",{{Death date and age|df=y|1976|1|12|1890|9|15}},"[[Winterbrook House]], [[Wallingford, Oxfordshire|Wallingford]], [[Oxfordshire]], England",,{{flatlist| *Novelist *short story writer *playwright *poet *memoirist }},,,,,,,,,,,,,
Alan Kay,{{birth date and age|1940|05|17}},"[[Springfield, Massachusetts]], U.S.",,,,,,[[Dynabook]]<br/>[[Object-oriented programming]]<br/>[[Smalltalk]]<br/>[[Desktop metaphor]] <br/>[[Graphical user interface]]<br/>[[Window (computing)|Windows]],ACM [[Turing Award]] (2003)<br/>[[Kyoto Prize]]<br/>[[Charles Stark Draper Prize]],,"[[University of Colorado, Boulder]] ([[Bachelor of Science|BS]])<br>[[University of Utah]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,[[Bonnie MacBird]],,,,
Alessandro Volta,{{Birth date|1745|02|18|df=yes}},"[[Como]], [[Duchy of Milan]]",{{Death date and age|1827|03|05|1745|02|18|df=yes}},"Como, [[Kingdom of Lombardy–Venetia]], [[Austrian Empire]]",,,,{{Plain list| * Improving the [[electrophorus]] (1775) * Discovering [[methane]] (1776) * Inventing the [[voltaic pile]] (1799) }},,,,,,,,,,,
Alfred Wegener,{{birth date|1880|11|1|df=y}},"[[Berlin]], [[German Empire]]",November 1930 (aged 50),[[Greenland]],German,,,[[Continental drift|Continental drift theory]]<br>[[Plate tectonics]]<br>[[Polflucht]]<br>{{no wrap|[[Wegener–Bergeron–Findeisen process]]}},,[[Humboldt University of Berlin|University of Berlin]] (PhD),,,,,,,,,
Anaximander,{{circa|610|lk=no}} BC,"[[Miletus]], [[Ionian League]]",{{circa|546|lk=no}} BC (aged {{circa}} 64),,,,,,,,,,,,,,,,
Anne Frank,{{birth date|df=yes|1929|6|12}},"[[Frankfurt]], Germany",{{circa|}}February or {{death date and age|1945|03||1929|6|12|df=y}},"[[Bergen-Belsen]], Germany",,Diarist,,,,,,,,,,,{{Plainlist| * [[Otto Frank]]† (father) * [[Edith Frank]]† (mother) }},,
Arthur Conan Doyle,{{birth date|df=y|1859|5|22}},"[[Edinburgh]], Scotland",{{death date and age|df=y|1930|7|7|1859|5|22}},"[[Crowborough]], Sussex, England",,{{Flatlist| * Writer * physician }},,,,,,,,,,,,,
Azim Premji,{{birth date and age|df=yes|1945|7|24}},"[[Bombay]], [[Bombay presidency]], [[British India]]<br>{{small|(Present-day [[Mumbai]], [[Maharashtra]], [[India]])}}<ref name=ebr>{{cite news|last=G. Craine|first=Anthony|title=Azim Premji|url=https://www.britannica.com/EBchecked/topic/710892/Azim-Premji|work=[[Encyclopædia Britannica]]|date=14 May 2010|access-date=10 August 2021}}</ref>",,,,Founder Chairman of [[Wipro]],,,,[[Stanford University]] ([[Bachelor of Engineering|B.S.E]])<ref name=forbesbill>{{cite news|url=https://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Azim-Premji_1UFS.html|title=Forbes List Directory|date=3 November 2009|work=[[Forbes]]|access-date=7 December 2009| archive-url= https://web.archive.org/web/20091129090553/http://www.forbes.com/lists/2009/10/billionaires-2009-richest-people_Azim-Premji_1UFS.html| archive-date= 29 November 2009 | url-status= live}}</ref>,,,,,,"[[Rishad Premji]], Tariq Premji<ref>{{cite web|url=http://www.rediff.com/getahead/2007/jun/07rishad.htm|title=What you didn't know about Rishad Premji|date=7 June 2007|work=[[Rediff.com]]|access-date=7 December 2009}}</ref>",,,
