name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,notable_works,field,spouse,children
Daniel Dias,{{birth date and age|df=yes|1988|5|24}},"[[Campinas]], [[São Paulo (state)|São Paulo]]",,,Brazilian <!-- Infobox swimmer does not support the following parameter:,,,,,,,,,,
Javier Morales,{{birth date and age|1980|1|10}},"[[Buenos Aires]], Argentina",,,,,,,,,,,,,
Pablo Morales,{{Birth date and age|1964|12|5|mf=y}},"[[Chicago]], Illinois, U.S.",,,,,,,,,,,,,
Tatiana Ivanova,{{birth date and age|df=yes|1991|2|16}},"[[Chusovoy]], Soviet Union",,,Russian,,,,,,,,,,
,{{Birth date and age|1995|10|23}},"[[Douglas, Georgia]], U.S.",,,,,,,,,,,,,
Bianca Rossi,{{birth date and age|1954|5|2|df=yes}},"[[Ponzano Veneto]], Italy",,}},Italian,,,,,,,,,,
Elias Andersson,{{Birth date and age|1996|01|31|df=y}},"[[Gothenburg]], Sweden",,,,,,,,,,,,,
Nina Ivanova,6 January 1934,"[[Moscow]], [[Russian Soviet Federative Socialist Republic|Russian SFSR]]",{{Death date and age|df=y|2020|12|01|1934|01|06}},"Moscow, [[Russia]]",[[Russians|Russian]],Actress,,,,,,}},,,
Pedro Castillo,{{birth date and age|1969|10|19|df=y}},"[[Puña]], Peru",,,,,,,,,"[[César Vallejo University]] ([[Bachelor of Arts|BA]], [[Master of Arts|MA]])",,,{{marriage|[[Lilia Paredes]]|2000}},2
Thomas Müller,"{{birth date and age|1989|9|13|df=y}}<ref name=""FIFA""/>","[[Weilheim in Oberbayern]], West Germany",,,,,,,,,,,,,
Ulf Andersson,{{Birth date and age|1951|6|27|df=y}},"[[Västerås]], Sweden",,,,,,,,,,,,,
Aamir Khan,{{Birth date and age|1965|03|14|df=y}},"[[Bombay]], [[Maharashtra]], India<!-- See WP:NOTBROKEN. What the place may correspond to on a modern map is a matter for an article's main text, not the infobox. -->",,,,{{hlist|Actor|filmmaker}},1973–present,,[[List of awards and nominations received by Aamir Khan|Full list]],,[[Narsee Monjee College]],,,{{unbulleted list|{{marriage|Reena Dutta|18 April 1986|2002|reason=divorced}}|{{marriage|[[Kiran Rao]]|28 December 2005|3 July 2021|reason=divorced}}}},"3, including [[Junaid Khan (Indian actor)|Junaid Khan]]"
Diego Santos,{{Birth date and age|1988|8|9}},"[[Rio de Janeiro]], [[Brazil]]",,,,,,,,,,,,,
Eduardo Pereira,{{birth date and age|1954|03|21|df=yes}},"[[Montevideo]], Uruguay",,,,,,,,,,,,,
Ibrahim Hassan,{{birth date and age|1966|8|10|df=y}},"[[Cairo]], Egypt",,,,,,,,,,,,,
Noah Anderson,{{birth date and age|2001|02|17|df=y}},,,,,,,,,,,,,,
Thiago Silva,"{{birth date and age|1984|9|22|df=y}}<ref name=""FIFA""/>","[[Rio de Janeiro]], Brazil",,,,,,,,,,,,,
Xavier Chen,{{Birth date and age|df=yes|1983|10|5}},"[[Berchem-Sainte-Agathe]], [[Brussels]], Belgium",,,,,,,,,,,,,
Zoe Smith,{{birth date and age|df=yes|1994|4|26}},"[[Greenwich]], London, England<ref name=""te""/>",,,,,,,,,,,,,
Ivy Chen,,,,,,,,,,,,,,,
Olga Petrova,{{birth date|1884|5|10|mf=y}},"[[England]] (probably [[Portsea, Portsmouth]], [[Hampshire]])",{{death date and age|1977|11|30|1884|5|10|mf=y}},"[[Clearwater, Florida]], U.S.",,"Actress, screenwriter, playwright",,,,,,,,[[Louis Willoughby]]<br><small>(1939-1968; his death)</small><br>Dr. John Dillon Stewart (physician)<br><small> (1913-1938; his death) </small> }},
Selena Gomez,{{Birth date and age|1992|7|22}},"[[Grand Prairie, Texas]], US",,,,"{{flatlist| * Actress * singer * songwriter<ref>{{cite web|url=https://www.ascap.com/repertory#/ace/writer/595330238/GOMEZ%20SELENA%20MARIE|title=Selena Marie Gomez|publisher=[[American Society of Composers, Authors and Publishers]]|access-date=July 23, 2024|archive-date=February 6, 2017|archive-url=https://web.archive.org/web/20170206145055/https://www.ascap.com/repertory#/ace/writer/595330238/GOMEZ%20SELENA%20MARIE|url-status=live}}</ref> * producer * businesswoman }}",,,,,,,,,
Valentin Popov,{{Birth date and age|df=y|1979|11|8}},"[[Pleven]], Bulgaria",,,Bulgarian,[[Writer]],1996 – }},,,[[Sofia University]],,,,,
Xia Zhou,,,,,,,,,,"[[University of California, Santa Barbara]] <br/> [[Peking University]] <br/> [[Wuhan University]]",,,[[Computer Science]],,
Diego Luna,{{Birth date and age|1979|12|29|df=yes}}<ref>{{Cite web|url=https://diegoluna.net/information/|title=Information « Access Diego Luna|access-date=15 September 2019|archive-date=11 August 2017|archive-url=https://web.archive.org/web/20170811142340/https://diegoluna.net/information/|url-status=dead}}</ref>,"[[Toluca]], Mexico",,,,{{flatlist| * Actor * director * producer }},,,,,,,,,
Gita Patel,,,,,[[India]]n,,,,,,,,,,
James Brown,{{birth date|1933|5|3}},"[[Barnwell, South Carolina]], U.S.",{{death date and age|2006|12|25|1933|5|3}},"[[Atlanta, Georgia]], U.S.",,{{hlist|Singer|songwriter|dancer|musician|record producer|bandleader}}<!--Please do not add to this list without first discussing your proposal on the talk page. -->,1953–2006,,,,,,,{{plainlist| * {{marriage|Velma Warren|1953|1969|end=div}} * {{marriage|Deidre Jenkins|1970|1981|end=div}} * {{marriage|Adrienne Rodriguez|1984|1996|end=d.}} }},
Priya Sharma,,,,,,{{plainlist| *Personal assistant *Bartender *Business manager *Wedding planner }},,,,,,,,,
William Clark,{{Birth date|1770|08|01}},"[[Ladysmith, Virginia|Ladysmith]], [[Colony of Virginia]]",{{death date and age|1838|09|01|1770|08|01}},"[[St. Louis, Missouri]], U.S.",,{{hlist|Soldier|explorer|politician}},,,,,,,,{{ubl|{{Marriage|Julia Hancock|1808|1820|end=died}}|{{Marriage|Harriet Kennerly Radford|1820|1831|end=died}}}},"6, including [[Meriwether Lewis Clark, Sr.]]"
