name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,awards,alma_mater,spouse,children,genre
Abdulla Qodiriy,{{Birth date|mf=yes|1894|4|10}},"[[Tashkent]], [[Russian Turkestan]]",{{Death date and age|mf=yes|1938|10|4|1894|4|10}},"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,"Playwright, poet, writer, and literary translator",,{{unbulleted list |Alisher Navoiy State Prize {{small|(1991)}} |Order of Independence {{small|(1994)}} }},,,,
Erkin Vohidov<br>Эркин Воҳидов,{{Birth date|mf= yes|1936|12|28}},"[[Oltiariq District]], [[Fergana Region]] <br /> [[Uzbek Soviet Socialist Republic]]","{{Death-date and age|May 30, 2016|December 28, 1936}}","[[Tashkent, Uzbekistan]]",,"Poet, playwright, literary translator, statesman",,{{unbulleted list | [[Lenin Komsomol Prize]] {{small|(1967)}} | [[State Hamza Prize]] {{small|(1983)}} | [[People's Poet of the Uzbek SSR]] {{small|(1987)}} | [[Hero of Uzbekistan]] {{small|(1999)}} }},,,,
Babur,{{Birth date|1483|2|14|df=y}},"[[Andijan]], [[Timurid Empire]]",{{Death date and age|df=yes|1530|12|26|1483|2|14}},"[[Agra]], [[Mughal Empire]]",,,,,,{{Marriage|[[Maham Begum]]|1506}},,
Shavkat Mirziyoyev,{{birth date and age|1957|7|24|df=y}},"[[Zomin District]], Uzbek SSR, Soviet Union<br>(present-day [[Uzbekistan]])",,,,,,,[[Tashkent Institute of Irrigation and Melioration]],[[Ziroat Mirziyoyeva]],"3, including [[Saida Mirziyoyeva|Saida]]",
Mirtemir,{{birth date|mf=yes|1910|5|30}},"Village Ikan, [[Turkistan (city)|Turkistan]], [[Russian Turkestan]]",January 1978 (aged 67),"[[Tashkent]], [[Uzbek SSR]]",,[[Poet]] and literary [[translator]],,{{unbulleted list |People's Poet of the Uzbek SSR {{small|(1971)}} | State Berdaq Prize {{small|(1977)}} |[[State Hamza Prize]] {{small|(1979)}} |National Order of Merit {{small|(2001)}} }},,,,
<!-- defaults to article title when left blank -->,{{birth date|1942|1|17}},"[[Louisville, Kentucky]], U.S.",{{death date and age|2016|6|3|1942|1|17}},"[[Scottsdale, Arizona]], U.S.",,,,,,,,
Rustam Inoyatov,{{birth date and age|1944|06|22|df=y}},"[[Shirabad, Uzbekistan|Shirabad]], [[Surxondaryo Region]], [[Uzbek SSR]], [[USSR]]",,,,,,,,<!-- Add spouse if reliably sourced -->,,
Dilshodbek Ruzmetov,{{birth date and age|df=yes|1999|03|12}},"[[Urgench]], Uzbekistan",,,Uzbek,,,,,,,
Abduqahhor Hojiakbarov,{{Birth date and age|df=yes|1989|7|18}},[[Uzbekistan]],,,,,,,,,,
Sardor Rashidov,{{birth date and age|1991|6|14|df=y}},"[[Jizzakh]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,
Odil Akhmedov <br>{{small|Одил Ахмедов}},{{birth date and age|df=yes|1987|11|25}},"[[Namangan]], [[Uzbek Soviet Socialist Republic|Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,
Nigina Amonkulova,30 January 1986,"[[Panjakent]], [[Tajik SSR]], [[Soviet Union]] (present [[Tajikistan]])",,,,Singer,2008–present,,,,,Folk
Munisa Rizayeva,{{Birth date and age|df=y|1986|10|21}},"[[Tashkent]], [[Uzbek SSR]], [[USSR]]",,,,,,,,,,{{flatlist| *[[Pop music|Pop]] *[[Uzbek music]] }}
Yulduz Usmonova,{{birth date and age|mf=yes|1963|12|12}},"{{nowrap|[[Margilan]], [[Uzbek Soviet Socialist Republic|Uzbek SSR]], [[Soviet Union|USSR]]}}",,,,{{flatlist| *Singer *actress *song writer composer }},,,,,,
Sevara Nazarkhan,{{Birth date and age|df=yes|1976|12|23}},,{{Death date and age|YYYY|MM|DD|YYYY|MM|DD}},,,"Singer, songwriter, musician",,,,,,[[Uzbek music]]
Azizbek Haydarov,{{birth date and age|1985|7|8|df=yes}},"[[Toshkent]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,
Mirjalol Qosimov,{{Birth date and age|1970|9|17|df=y}},"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,
