name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,notable_works,field,spouse,children,religion,genre
Al-Farghānī,9th century,"[[Fergana valley]], [[Sogdia]]<ref>{{cite book |last1=Gillispie |first1=Charles Coulston |title=Dictionary of Scientific Biography |publisher=Scribner in New York |date=1970|pages=[https://archive.org/details/dictionaryofscie02gill/page/541 541–545]|url=https://archive.org/details/dictionaryofscie02gill|url-access=registration |isbn=0-684-10114-9}}</ref>",9th century,Egypt }},,,,,,,,,,,,,
Avicenna<br />{{transliteration|fa|Ibn Sina}},{{circa|980}},"Afshana, [[Transoxiana]], [[Samanid Empire]]","{{death date and age|1037|6|22|980||df=y}}<ref name=""Islam p. 562"">Encyclopedia of Islam: Vol 1, p. 562, Edition I, 1964, Lahore, Pakistan</ref>","[[Hamadan]], [[Kakuyids|Kakuyid Emirate]]",,,,,,,,{{startplainlist|class=nowrap}} * ''[[The Book of Healing]]'' * ''[[The Canon of Medicine]]'' {{endplainlist}},,,,,
Muḥammad ibn Aḥmad Shams al-Dīn Al-Maqdisī <br /> {{Nobold|{{lang|ar|مُحَمَّد ابْن أَحْمَد شَمْس ٱلدِّيْن ٱلْمَقْدِسِي}}}},{{circa|945}}/946 CE,"[[Jerusalem]], [[Abbasid Caliphate]]",991 CE,[[Fatimid Caliphate]],,,,,,,,,,,,,
Ibn an-Nadīm,~320 H (~932 CE),"[[Baghdad]], Abbasid Caliphate","~385 H (~995 CE)<ref name=""brill"">{{EI2|last=Fück |first=J.W. |title=Ibn Al-Nadīm |doi=10.1163/1573-3912_islam_SIM_3317}}</ref>","[[Baghdad]], Abbasid Caliphate",,"Bibliographer, Historian }}",,,,,,[[Al-Fihrist|Kitāb al-Fihrist]],,,,[[Islam]],
al-Jahiz,776,"[[Basra]], [[Abbasid Caliphate]]",December 868/January 869 (aged 92-93),"Basra, Abbasid Caliphate",,,,,,,,,,,,[[Islam]],
Alhazen<br />{{transliteration|ar|Ḥasan Ibn al-Haytham}},{{nowrap |{{birth-date|0965|{{circa}} 965}}  ({{c.|354 [[Islamic calendar|AH]]}})<ref name=Lorch>{{cite encyclopedia |last=Lorch |first=Richard |title=Ibn al-Haytham: Arab astronomer and mathematician |publisher=Encyclopedia Britannica |date=1 February 2017 |url=https://www.britannica.com/biography/Ibn-al-Haytham |access-date=14 January 2022 |archive-date=12 August 2018 |archive-url=https://web.archive.org/web/20180812045403/https://www.britannica.com/biography/Ibn-al-Haytham |url-status=live }}</ref>}},"[[Basra]], [[Buyid Emirate]]",{{nowrap |{{death-date|1040|{{circa}} 1040}} ({{c.|430 AH}})<ref name=Lorch />}} (aged around 75),"[[Cairo]], [[Fatimid Caliphate]]",,,,"''[[Book of Optics]]'', ''[[#Doubts Concerning Ptolemy|Doubts Concerning Ptolemy]]'', [[Alhazen's problem]], [[analysis]],<ref>{{Harvnb|O'Connor|Robertson|1999}}.</ref> [[Catoptrics]],<ref>{{Harvnb|El-Bizri|2010|p=11}}: ""Ibn al-Haytham's groundbreaking studies in optics, including his research in catoptrics and dioptrics (respectively the sciences investigating the principles and instruments pertaining to the reflection and refraction of light), were principally gathered in his monumental opus: Kitåb al-manåóir (The Optics; De Aspectibus or Perspectivae; composed between 1028 CE and 1038 CE).""</ref> [[horopter]], [[Spherical aberration]], [[intromission theory]] of [[visual perception]], [[moon illusion]], [[Experiment|experimental science]], [[scientific method]]ology,<ref>{{Harvnb|Rooney|2012|p=39}}: ""As a rigorous experimental physicist, he is sometimes credited with inventing the scientific method.""</ref> [[Comparative psychology|animal psychology]]<ref>{{Harvnb|Baker|2012|p=449}}: ""As shown earlier, Ibn al-Haytham was among the first scholars to experiment with animal psychology.</ref>",,,,,"[[Physics]], [[mathematics]], [[astronomy]]",,,}},
Ibn Khaldun<br />{{lang|ar|ابن خلدون}},27 May 1332,"[[Tunis]], [[Hafsid dynasty|Hafsid Sultanate]]",{{death-date and age|17 March 1406|27 May 1332}},"[[Cairo]], [[Mamluk Sultanate (Cairo)|Mamluk Sultanate]]",,,,,,,,,,,,[[Islam]],
Al-Tabari,839 CE / 224 AH,"[[Amol]], [[Tabaristan]], Abbasid Caliphate (present-day [[Iran]])",923 CE (aged 84) / 310 AH (aged 86),"[[Baghdad]], Abbasid Caliphate (present-day [[Iraq]])",,,,,,,,,,,,[[Islam]],
Al-Kindi,,,,,,,,,,,,,,,,[[Islam]],
Abū al-Qāsim al-Zahrāwī,{{circa|936}},"[[Medina Azahara]], al-Andalus (near present-day [[Córdoba, Andalusia|Córdoba]], Spain)",{{death year and age|1013|936}},,,{{hlist|Physician}},,{{hlist|Pioneer of [[surgery]]| author of medical encyclopedia {{lang|ar|[[Kitab al-Tasrif]]}}}},,,,,,,,,
al-Battānī,Before 858,"[[Harran]], [[Bilad al-Sham|Islamic Syria]] (modern-day Turkey)",929,"Qasr al-Jiss, near [[Samarra]]",,,,,,,,,,,,,
Ibn al-Shatir,1304,"[[Damascus]], [[Mamluk Sultanate]]",1375  (aged 71),,,[[Astronomer]],,,,,,,,,,,
Naṣīr al-Dīn al-Ṭūsī,"18 February 1201 <br />[[Tus, Iran|Tus]], [[Greater Khorasan|Khurasan]], [[Khwarazmian dynasty|Khwarazmid Empire]]",,"{{Death date and age|df=yes|1274|06|26|1201|02|18}} <br />[[Al-Kadhimiya Mosque]], [[Kadhimiya]], [[Baghdad]], [[Ilkhanate]]",,,,,,,,,,,,,[[Islam]] <!-- Please note the background of Tusi is constantly vandalized by ips- that is why it is sourced more predominantly here-->| era                = [[Islamic Golden Age]],
Omar Khayyam,"18 May 1048<ref name=""Britannica"">{{cite web |url=https://www.britannica.com/biography/Omar-Khayyam-Persian-poet-and-astronomer  |title=Omar Khayyam: Persian poet and astronomer |last1=Tikkanen|first1=Amy|date=28 February 2023|website=Encyclopaedia Britannica|access-date=5 April 2023}}</ref><ref name=""NasrRazavi"">{{cite book |last1=Nasr |first1=S.H.|last2=Aminrazavi|first2=M.|last3= with the assistance of M. R. Jozi|author1-link=Seyyed Hossein Nasr|author2-link=Mehdi Aminrazavi |title=An Anthology of Philosophy in Persia. Volume I: From Zoroaster to Omar Khayyam |url=https://books.google.com/books?id=O-vWAAAAMAAJ&q=An+Anthology+of+Philosophy+in+Persia.+Volume+I:+From+Zoroaster |date=2008|publisher=I.B. Tauris, in association with The Institute of Ismaili Studies London|location=London & New York|isbn=978-1-84511-541-8}}</ref>","[[Nishapur]], [[Greater Khorasan|Khorasan]], [[Seljuk Empire]]","4 December 1131 (aged 83)<ref name=""Britannica"" /><ref name=""NasrRazavi""/>","Nishapur, Khorasan, [[Seljuk Empire]]",,,,,,,,,,,,,
