name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,awards,alma_mater,education,employer,notable_works,spouse,children,parents,religion,genre
William Shakespeare,{{circa|{{birth date|df=yes|1564|04|23}}}},"[[Stratford-upon-Avon]], Warwickshire, England",{{death date and age|df=yes|1616|04|23|1564|04}},"Stratford-upon-Avon, Warwickshire, England",,{{hlist|Playwright|poet|actor}},,,,,,,{{marriage|[[Anne Hathaway (wife of Shakespeare)|Anne Hathaway]]|1582}},{{unbulleted list|[[Susanna Hall]]|[[Hamnet Shakespeare]]|[[Judith Quiney]]}},{{unbulleted list|[[John Shakespeare]]|[[Mary Shakespeare|Mary Arden]]}},,
Christopher Marlowe,,"[[Canterbury]], Kent, England",30 May 1593 (aged 29),"[[Deptford]], Kent, England",,{{cslist|Playwright|poet}},,,"[[Corpus Christi College, Cambridge]]",,,"{{cslist|''[[Hero and Leander (poem)|Hero and Leander]]''|''[[Tamburlaine the Great]]''|''[[Edward II (play)|Edward the Second]]''|''[[Doctor Faustus (play)|The Tragical History of Doctor Faustus]]''|''[[Dido, Queen of Carthage (play)|Dido, Queen of Carthage]]''}}",,,,,
John Milton,{{birth date|df=y|1608|12|9}},"[[Bread Street]], London, England",{{death date and age|df=y|1674|11|8|1608|12|9}},"[[Bunhill Row]], London, England",,{{hlist|Poet|Intellectual|Civil Servant}},,,,"[[Christ's College, Cambridge]] ([[Bachelor of Arts|BA]], [[Master of Arts|MA]])",,,{{plainlist| * {{marriage|Mary Powell|June 1642|5 May 1652|reason=died}} * {{marriage|Katherine Woodcock|12 November 1656|3 February 1658|reason=her death}} * {{marriage|Elizabeth Mynshull|24 February 1663}} }},,,,
Geoffrey Chaucer,{{c.|1343}},"[[London]], England","{{death date and age|df=y|1400|10|25|1343||}}<!--His monument states that he was in his 53rd year at death, i. e. 52-->","London, England",,{{hlist|Author|poet|philosopher|[[bureaucrat]]|diplomat}},from 1368,,,,,,{{marriage|[[Philippa Roet]]|1366}},"4, including [[Thomas Chaucer|Thomas]]",,,
Dante Alighieri,"{{circa|May 1265|}}<ref name=""auto"">His birth date is listed as ""probably in the end of May"" by [[Robert Hollander]] in ""Dante"" in ''[[Dictionary of the Middle Ages]]'', volume &nbsp;4. According to [[Giovanni Boccaccio]], the poet said he was born in May. See ""Alighieri, Dante"" in the ''Dizionario Biografico degli Italiani''.</ref>","[[Florence]], [[Republic of Florence]]",{{death date|1321|09|14}}<br />(aged {{circa|56}}),"[[Ravenna]], [[Papal States]]",[[Florentine Republic|Florentine]],{{hlist|Statesman|poet|language theorist|[[political theory|political theorist]]}},,,,,,,[[Gemma Donati]],"4, including [[Jacopo Alighieri|Jacopo]]",{{ublist|[[Alighiero di Bellincione]] (father)|Bella (mother)}} }},,
Homer,{{circa|8th century BC}},"possibly [[Ionia]]<ref name=""Britannica"">{{Cite encyclopedia |last=Kirk |first=Geoffrey S. |author-link=Geoffrey Kirk |title=Homer |url=https://www.britannica.com/biography/Homer-Greek-poet |encyclopedia=[[Encyclopædia Britannica]] |year=2025 |orig-year=1998}}</ref>",,[[Ios]]<ref name= Lefkowitz2013 />,,,,,,,,{{Unbulleted list|''[[Iliad]]''|''[[Odyssey]]''}} }},,,,,[[Epic poetry|Epic]]
Virgil,15 October 70 BC,"Andes, [[Cisalpine Gaul]], [[Roman Republic]]",21 September 19 BC (aged 50),"[[Brindisi|Brundisium]], [[Italy (Roman Empire)|Italy]], [[Roman Empire]]",,Poet,,,,,,''[[Eclogues]]'' <br/> ''[[Georgics]]'' <br/> ''[[Aeneid]]'' }},,,,,{{hlist|[[Epic poetry]]|[[didactic poetry]]|[[pastoral poetry]]}}
Ovid,20 March 43 BC<ref name=parised />,"[[Sulmona|Sulmo]], [[Italy (Ancient Rome)|Italy]], [[Roman Republic]]",AD 17 or 18 (age 59–61),"[[Constanța|Tomis]], [[Scythia Minor (Dobruja)|Scythia Minor]], [[Roman Empire]]",,Poet,,,,,,''[[Metamorphoses]]'',,,,,"[[Elegy]], [[Epic poetry|epic]], drama"
Horace,8 December 65 BC,"[[Venosa|Venusia]], [[Italy (Roman Empire)|Italy]], [[Roman Republic]]",27 November 8 BC (age 56),[[Rome]],,"Soldier, [[scriba (ancient Rome)|scriba quaestorius]], poet",,,,,,,,,,,[[Lyric poetry]]
John Keats,{{birth date|df=yes|1795|10|31}},"[[Moorgate]], London, England",{{nowrap|{{death date and age|df=yes|1821|2|23|1795|10|31}}}},"[[Rome]], [[Papal States]]",,[[English poetry|Poet]],,,,[[Guy's Hospital]],,,,,,,
Percy Bysshe Shelley,{{birth date|1792|8|4|df=y}},"[[Field Place, Warnham|Field Place]], Sussex",{{death date and age|1822|7|8|1792|8|4|df=y}},"[[Gulf of La Spezia]], Kingdom of Sardinia",,Author,,,"[[University College, Oxford]]",,,,{{unbulleted list|{{marriage|Harriet Westbrook|1811|1816|end= d.}}|{{marriage|[[Mary Shelley]]|1816}}}},"6, including [[Sir Percy Shelley, 3rd Baronet|Sir Percy, 3rd Baronet]]",,,
The Lord Byron,,,,,,,,,,,,,,,,,
William Wordsworth,{{birth date|df=yes|1770|04|07}},"[[Cockermouth]], Cumberland, England",{{death date and age|df=yes|1850|04|23|1770|04|07}},"[[Rydal, Cumbria|Rydal]], Westmorland, England",,Poet,,,"[[St John's College, Cambridge]]",,,,{{marriage|Mary Hutchinson|1802}},"6, including [[Dora Wordsworth|Dora]]",,,
Samuel Taylor Coleridge,{{birth date|df=y|1772|10|21}},"{{nowrap|[[Ottery St Mary]], Devon, England}}",{{death date and age |df=y|1834|7|25|1772|10|21}},"[[Highgate]], Middlesex, England",,{{cslist|Poet|philosopher|critic|moralist|theologian}},,,"[[Jesus College, Cambridge]]",,,,{{marriage|Sara Fricker|1795}},"4, including [[Hartley Coleridge|Hartley]], [[Sara Coleridge|Sara]] and [[Derwent Coleridge|Derwent]]",,,
Wallace Stevens,{{Birth date|1879|10|2}},"[[Reading, Pennsylvania]], U.S.",{{Death date and age|1955|8|2|1879|10|2}},"[[Hartford, Connecticut]], U.S.",,{{flatlist| * Poet * lawyer * insurance executive}},,[[Robert Frost Medal]] (1951),,[[Harvard University]]<br />[[New York Law School]] ([[Bachelor of Laws|LLB]]) }},,,{{marriage|Elsie Kachel|1909}},1,,,
Robert Frost,{{birth date|1874|3|26}},"{{nowrap|[[San Francisco]], California, U.S.}}",{{Death date and age|1963|1|29|1874|3|26}},"[[Boston]], Massachusetts, U.S.",,"Poet, playwright",,{{ubl|[[Pulitzer Prize for Poetry]]|[[List of Congressional Gold Medal recipients|Congressional Gold Medal]]}},,[[Dartmouth College]] (no degree)<br />[[Harvard University]] (no degree),,,{{marriage|Elinor Miriam White|1895|1938|end = died}},6,,,
Emily Dickinson,{{Birth date|1830|12|10}},"{{nowrap|[[Amherst, Massachusetts]], U.S.}}",{{death date and age|1886|5|15|1830|12|10}},"Amherst, Massachusetts, U.S.",,Poet,,,[[Mount Holyoke College|Mount Holyoke Female Seminary]],,,[[List of Emily Dickinson poems|List of poems]],,,{{ubl|[[Edward Dickinson]]|[[Emily Norcross Dickinson]]}},,
Maya Angelou,{{Birth date|1928|4|4}},"[[St. Louis]], Missouri, U.S.",{{Death date and age|2014|5|28|1928|4|4}},"[[Winston-Salem, North&nbsp;Carolina]], U.S.",,{{cslist|Writer|poet|civil rights activist}},,,,,,,,,,,
