name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,spouse,children,parents,religion
Barack Obama,{{Birth date and age|1961|8|4|mf=yes}},"[[Honolulu]], Hawaii, U.S.",,,,,,,,,,"{{marriage|[[Michelle Obama|Michelle Robinson]]|October 3, 1992}}",{{flatlist| * [[Malia Obama|Malia]] * [[Sasha Obama|Sasha]] }},,
Joe Biden,,,,,,,,,,,,,,,
George W. Bush,{{birth date and age|1946|7|6}},"[[New Haven, Connecticut]], U.S.",,,,{{hlist|Politician|businessman|painter|author|military veteran}},,,[[List of awards and honors received by George W. Bush|Full list]],,{{plainlist}} * [[Yale University]] ([[Bachelor of Arts|BA]]) * [[Harvard Business School|Harvard University]] ([[Master of Business Administration|MBA]]) {{endplainlist}},"{{marriage|[[Laura Welch]]|November 5, 1977}}",{{hlist|[[Barbara Bush (born 1981)|Barbara]]|[[Jenna Bush Hager|Jenna]]}},{{plainlist}} * [[George H. W. Bush]] * [[Barbara Bush]] {{endplainlist}},
Bill Clinton,{{birth date and age|1946|8|19}},"[[Hope, Arkansas]], U.S.",,,,,,,[[List of awards and honors received by Bill Clinton|Full list]],,"{{ubl |[[Georgetown University]] ([[Bachelor of Science|BS]]) |[[University College, Oxford]] |[[Yale University]] ([[Juris Doctor|JD]])}}","{{marriage|[[Hillary Clinton|Hillary Rodham]]|October 11, 1975}}",[[Chelsea Clinton]],{{ubl |[[William Jefferson Blythe Jr.]] |[[Virginia Clinton Kelley|Virginia Cassidy]]}},
Ronald Reagan,,,,,,,,,,,,,,,
Jimmy Carter,{{Birth date|1924|10|01}},"[[Plains, Georgia]], U.S.",{{Death date and age|2024|12|29|1924|10|01}},"Plains, Georgia, U.S.",,,,,,,,"{{marriage|[[Rosalynn Smith]]|July 7, 1946|November 19, 2023|end=died}}","4, including [[Jack Carter (politician)|Jack]] and [[Amy Carter|Amy]]",{{plainlist| * [[James Earl Carter Sr.]] * [[Bessie Lillian Gordy]] }},
Richard Nixon,,,,,,,,,,,,,,,
Lyndon B. Johnson,,,,,,,,,,,,,,,
John F. Kennedy,{{birth date |1917|5|29}},"[[Brookline, Massachusetts]], U.S.",{{death date and age|1963|11|22|1917|5|29}},"[[Dallas]], Texas, U.S.",,,,,,,,"{{marriage|[[Jacqueline Kennedy Onassis|Jacqueline Bouvier]]|September 12, 1953|<!-- Omission per Template:Marriage instructions -->}}","4, including [[Caroline Kennedy|Caroline]], [[John F. Kennedy Jr.|John&nbsp;Jr.]], and [[Patrick Bouvier Kennedy|Patrick]]",{{plainlist| * [[Joseph P. Kennedy Sr.]] * [[Rose Kennedy|Rose Fitzgerald]] }},
Dwight D. Eisenhower,{{birth date|1890|10|14}},"[[Denison, Texas]], US",{{death date and age|1969|3|28|1890|10|14}},"[[Washington, DC]], US",,{{hlist|[[Military career of Dwight D. Eisenhower|Military officer]]|politician}},,,,,[[United States Military Academy]] ([[Bachelor of Science|BS]]),"{{marriage|[[Mamie Eisenhower|Mamie Doud]]|July 1, 1916}}",{{hlist|Doud|[[John Eisenhower|John]]}},,
Harry S. Truman,,,,,,,,,,,,,,,
Franklin D. Roosevelt,,,,,,,,,,,,,,,
Woodrow Wilson,{{birth date|1856|12|28}},"[[Staunton, Virginia]], U.S.",{{death date and age|1924|2|3|1856|12|28}},"Washington, D.C.,<!--Links not needed per MOS:OVERLINK--> U.S.",,,,,,,,"{{plainlist| * {{marriage|[[Ellen Axson Wilson|Ellen Axson]]|June 24, 1885|August 6, 1914|end=died}} * {{marriage|[[Edith Wilson|Edith Bolling]]|December 18, 1915}} }}",,,
Theodore Roosevelt,,,,,,,,,,,,,,,
Abraham Lincoln,,,,,,,,,,,,,,,
Thomas Jefferson,,,,,,,,,,,,,,,
Benjamin Franklin,"{{OldStyleDateDY|January 17,|1706|January 6}}{{refn|group=Note|name=birthdate}}","[[Boston]], [[Province of Massachusetts Bay]], [[British America]]",{{death date and age|1790|4|17|1706|1|17}},"[[Philadelphia]], Pennsylvania, U.S.",,,,,,,[[Boston Latin School]] }},"{{marriage|[[Deborah Read]]|September 1, 1730|1774|reason=died}}",{{hlist|[[William Franklin|William]]|[[Francis Folger Franklin|Francis]]|[[Sarah Franklin Bache|Sarah]]}},{{ubl|[[Josiah Franklin]]|[[Abiah Folger]]}},
John Adams,"{{OldStyleDateDY|October 30,|1735|October 19, 1735}}","[[Braintree, Massachusetts|Braintree]], Massachusetts Bay, British America (now [[Quincy, Massachusetts|Quincy]])",{{death date and age|1826|7|4|1735|10|30}},"Quincy, Massachusetts, U.S.",,,,,,,,,,,
James Madison,,,,,,,,,,,,,,,
James Monroe,{{Birth date|1758|4|28}},"[[Monroe Hall, Virginia]], [[British America]]",{{Death date and age|1831|7|4|1758|4|28}},"New York City, U.S.",,{{Hlist|Politician|lawyer}},,,,,[[College of William & Mary]],"{{Marriage|[[Elizabeth Monroe|Elizabeth Kortright]]|February 16, 1786|September 23, 1830|end=died}}","3, including [[Eliza Monroe Hay|Eliza]] and [[Maria Hester Monroe Gouverneur|Maria]]",,
Andrew Jackson,,,,,,,,,,,,,,,
Martin Van Buren,{{birth date|1782|12|5}},"[[Kinderhook, New York]], British America / U.S.",{{death date and age|1862|7|24|1782|12|5}},"Kinderhook, New York, U.S.",,{{hlist|Politician|lawyer}},,,,,,"{{marriage|[[Hannah Van Buren|Hannah Hoes]]|February 21, 1807|February 5, 1819|end=died}}","5, including [[Abraham Van Buren II|Abraham II]] and [[John Van Buren|John]]",{{ubl|[[Abraham Van Buren]]|Maria Hoes Van Alen}},
William Henry Harrison,{{birth date|1773|2|9}},"[[Charles City County, Virginia]], British America",{{death date and age|1841|4|4|1773|2|9}},"[[Washington, D.C.]], U.S.",,{{hlist|Soldier|politician}},,,{{ubl|[[Congressional Gold Medal]]|[[Thanks of Congress]]}},,{{ubl|[[Hampden–Sydney College]]|[[University of Pennsylvania]]}},"{{marriage|[[Anna Harrison|Anna Symmes]]|November 22, 1795}}","10, including [[John Scott Harrison|John]], 2 with Dilsia, including [[Marie Harrison]]",,
John Tyler,{{birth date|1790|3|29}},"[[Greenway Plantation]], Charles City County, Virginia, U.S.",{{death date and age|1862|1|18|1790|3|29}},"[[Exchange Hotel (Richmond, Virginia)|Ballard House]], Richmond, Virginia<!--EDITORS NOTE: DO NOT INCLUDE ""C.S."" after ""Richmond, Virginia""; the Confederate States were not recognized as a country.-->",,,,,,,,,,,
James K. Polk,,,,,,,,,,,,,,,
Zachary Taylor,{{birth date|1784|11|24}},"[[Barboursville, Virginia]], U.S.",{{death date and age|1850|7|9|1784|11|24}},"[[Washington, D.C.]], U.S.",,,,,{{plainlist| * [[Congressional Gold Medal]] (3) * [[Thanks of Congress]] }},,,"{{marriage|[[Margaret Taylor|Margaret Smith]]|June 21, 1810}}","6, including [[Sarah Knox Taylor|Sarah]], [[Mary Elizabeth Bliss|Mary]], and [[Richard Taylor (Confederate general)|Richard]]",,
Millard Fillmore,,,,,,,,,,,,,,,
Franklin Pierce,,,,,,,,,,,,,,,
James Buchanan,,,,,,,,,,,,,,,
Andrew Johnson,{{Birth date|1808|12|29}},"[[Raleigh, North Carolina]], U.S.",{{Death date and age|1875|7|31|1808|12|29}},"[[Elizabethton, Tennessee]], U.S.",,,,,,,,,,{{Plainlist| * [[Jacob Johnson (father of Andrew Johnson)|Jacob Johnson]] * Mary McDonough }},
Ulysses S. Grant,,,,,,,,,,,,,,,
Rutherford B. Hayes,{{birth date|1822|10|04|mf=y}},"[[Delaware, Ohio]], U.S.",{{death date and age|1893|01|17|1822|10|04|mf=y}},"[[Fremont, Ohio]], U.S.",,,,,,,,,,,
James A. Garfield,{{birth date|1831|11|19}},"[[Moreland Hills, Ohio]], U.S.",{{death date and age|1881|09|19|1831|11|19}},"[[Elberon, New Jersey]], U.S.",,{{hlist|Politician|lawyer|amateur mathematician}},,,,,{{plainlist| * [[Hiram College]] * [[Williams College]] ([[Bachelor of Arts|BA]]) }},"{{marriage|[[Lucretia Garfield|Lucretia Rudolph]]|November 11, 1858}}","7, including [[Harry Augustus Garfield|Hal]], [[James Rudolph Garfield|James]], {{awrap|and [[Abram Garfield|Abram]]}}",,
Chester A. Arthur,{{birth date|1829|10|5}},"[[Fairfield, Vermont]], U.S.",{{death date and age|1886|11|18|1829|10|5}},"[[New York City]], U.S.",,,,,,,{{plainlist| *[[Union College]] ([[Bachelor of Arts|BA]]) *[[State and National Law School]] }},"{{marriage|[[Nell Arthur|Ellen Herndon]]|October 25, 1859|January 12, 1880|reason=died}}",{{hlist|William|[[Chester Alan Arthur II|Chester II]]|Ellen}},{{ubl|[[William Arthur (clergyman)|William Arthur]]|Malvina Stone}},
Grover Cleveland,,,,,,,,,,,,,,,
Benjamin Harrison,{{birth date|1833|8|20}},"[[North Bend, Ohio]], U.S.",{{death date and age|1901|3|13|1833|8|20}},"[[Indianapolis]], Indiana, U.S.",,,,,,,,,,,
Grover Cleveland,,,,,,,,,,,,,,,
William McKinley,,,,,,,,,,,,,,,
Theodore Roosevelt,,,,,,,,,,,,,,,
William Howard Taft,,,,,,,,,,,,,,,
Woodrow Wilson,{{birth date|1856|12|28}},"[[Staunton, Virginia]], U.S.",{{death date and age|1924|2|3|1856|12|28}},"Washington, D.C.,<!--Links not needed per MOS:OVERLINK--> U.S.",,,,,,,,"{{plainlist| * {{marriage|[[Ellen Axson Wilson|Ellen Axson]]|June 24, 1885|August 6, 1914|end=died}} * {{marriage|[[Edith Wilson|Edith Bolling]]|December 18, 1915}} }}",,,
Warren G. Harding,{{birth date|1865|11|2}},"[[Blooming Grove, Ohio]], U.S.",{{death date and age|1923|8|2|1865|11|2}},"San Francisco, California,<!--Links not needed per MOS:OVERLINK--> U.S.",,{{flatlist| * Journalist * politician }},,,,,,"{{marriage|[[Florence Kling]]|July 8, 1891}}",[[Elizabeth Ann Blaesing|Elizabeth]] (with [[Nan Britton]]),,
Calvin Coolidge,,,,,,,,,,,,,,,
Herbert Hoover,{{birth date|1874|8|10}},"[[West Branch, Iowa]], U.S.",{{death date and age|1964|10|20|1874|8|10}},"New York City, U.S.",,,,,,,[[Stanford University]] ([[Bachelor of Science|BS]]),"{{marriage|[[Lou Henry Hoover|Lou Henry]]|February 10, 1899|January 7, 1944|end=died}}",{{flatlist| * [[Herbert Hoover Jr.|Herbert Jr.]] * [[Allan Hoover|Allan]]}},,
Franklin D. Roosevelt,,,,,,,,,,,,,,,
Harry S. Truman,,,,,,,,,,,,,,,
