,Unnamed: 0,name,birth_date,birth_place,death_date,death_place,occupation,awards,alma_mater,education,spouse,children,occupation_cluster,birth_year,death_year,life_span,life_span_cluster,edu_award_cluster,bio_cluster
0,0,Isaac Newton,{{Birth date|df=y|1643|01|04}},"{{nowrap|[[Woolsthorpe-by-Colsterworth]],}} Lincolnshire, England",{{Death date and age|df=y|1727|03|31|1643|01|04}},"[[Kensington]], Middlesex, England",Composer,"{{unbulleted list | [[Fellow of the Royal Society|FRS]]&nbsp;(1672)<ref name=""frs"">{{cite web |title=Fellows of the Royal Society |url=https://royalsociety.org/about-us/fellowship/fellows |archive-url=https://web.archive.org/web/20150316060617/https://royalsociety.org/about-us/fellowship/fellows |archive-date=16 March 2015 |publisher=Royal Society |location=London}}</ref> | [[Knight Bachelor]]&nbsp;(1705)}}",[[King's College London]],"[[Trinity College, Cambridge]] ([[Bachelor of Arts|BA]], 1665; [[Master of Arts|MA]], 1668)<ref>Kevin C. Knox, Richard Noakes (eds.), ''From Newton to Hawking: A History of Cambridge University's Lucasian Professors of Mathematics'', Cambridge University Press, 2003, p.&nbsp;61.</ref>",{{plainlist|,2,0,1643.0,1727.0,84.0,2.0,3,1
1,1,Marie Curie,{{birth date|df=y|1867|11|7}},"[[Warsaw]], [[Congress Poland|Poland]], Russian Empire",{{death date and age|df=y|1934|7|4|1867|11|7}},"[[Passy, Haute-Savoie|Passy]], [[Rhône-Alpes]], France",Composer,}},[[University of Paris]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1867.0,1934.0,67.0,2.0,1,0
2,2,Albert Einstein,{{Birth date|df=yes|1879|3|14}},"[[Ulm]], [[Kingdom of Württemberg]], Germany<ref group=note name=GEcitizen/>",{{Death date and age|df=yes|1955|4|18|1879|3|14}},"[[Princeton, New Jersey]], U.S.",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,{{flatlist|,0,1879.0,1955.0,76.0,2.0,1,0
3,3,The Countess of Lovelace,{{birth date|df=y|1815|12|10}},"London, England",{{death date and age|df=y|1852|11|27|1815|12|10}},"[[Marylebone]], London, England",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />","{{marriage|[[William King-Noel, 1st Earl of Lovelace]]|1835}}",{{plainlist|,0,1815.0,1852.0,37.0,2.0,1,0
4,4,Leonardo da Vinci,{{birth date|df=yes|1452|04|15}},"possibly [[Anchiano]],{{efn|name=Birthplace}} [[Vinci, Tuscany|Vinci]], {{awrap|[[Republic of Florence]]}}",{{death date and age|df=yes|1519|5|2|1452|4|15}},"[[Clos Lucé]], [[Amboise]], {{awrap|[[Kingdom of France]]}}",Composer,}},[[King's College London]],Studio of [[Andrea del Verrocchio]],{{plainlist|,2,0,1452.0,1519.0,67.0,5.0,3,3
5,5,Galileo Galilei,{{birth date|1564|02|15|df=y}}{{sfn|Drake|1978|p=1}},"[[Pisa]], Duchy of Florence",{{death date and age|1642|01|08|1564|02|15|df=y}},"[[Arcetri]], Grand Duchy of Tuscany",Composer,}},[[King's College London]],"[[University of Pisa]] <!-- This field is for the university name. Please do not put a degree here,  -->",{{plainlist|,2,0,1564.0,1642.0,78.0,5.0,3,3
6,6,Nikola Tesla,{{birth date|1856|7|10|df=y}},"[[Smiljan, Croatia|Smiljan]], [[Austrian Empire]] <br /> (now in [[Croatia]])<!-- There is consensus against adding [[Croatian Military Frontier]] here -->",{{death date and age|1943|1|7|1856|7|10|df=y}},"[[New York City]], U.S.",{{hlist|Engineer|[[futurist]]|inventor}},{{ubil,[[Graz University of Technology]] (dropped out),"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,3,1856.0,1943.0,87.0,2.0,1,2
7,7,Charles Darwin,{{birth date|df=y|1809|2|12}},"[[Shrewsbury]], Shropshire, England",{{death date and age|1882|df=y|4|19|1809|2|12}},"[[Down House]], Down, Kent, England<!--Letter no. 3368 footnote; ""spelling of the village name was variable. 'Down' was the commonest form up to the 1870s, and 'Downe' thereafter"", and it was in Kent until 1965, (now in [[Greater London]])-->",Composer,}},[[King's College London]],{{ubli|,{{plainlist|,2,0,1809.0,1882.0,73.0,2.0,3,1
8,8,Thomas Edison,{{Birth date|1847|2|11}},"[[Milan, Ohio]], U.S.",{{Death date and age|1931|10|18|1847|2|11}},"[[West Orange, New Jersey]], U.S.",{{hlist|Inventor|businessman}},{{collapsible list,[[King's College London]],Self-educated; some coursework at [[Cooper Union]],{{ublist,"6, including [[Madeleine Edison|Madeleine]], [[Charles Edison|Charles]], and [[Theodore Miller Edison|Theodore]]",3,1847.0,1931.0,84.0,2.0,3,2
9,9,Aristotle,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
