1blankname,1namedata,academic_advisors,agent,alias,allegiance,alma mater,alma_mater,alongside,alongside1,alt,appointer1,appointer2,associated_acts,attributes,author_abbrev_bot,author_abbrev_zoo,awards,background,baptised,beatified_by,beatified_date,beatified_place,birth_date,birth_name,birth_place,birthname,branch,burial,burial_date,burial_place,canonized_by,canonized_date,canonized_place,caption,child,children,church,citizenship,consort,constituency12,constituency13,constituency14,constituency15,cor-type,cor-type1,coregency,coronation,coronation1,current_member_of,death_cause,death_date,death_place,denomination,deputy,disappeared_date,disappeared_place,disappeared_status,discipline,discography,doctoral_advisor,doctoral_students,dynasty,education,embed,embed_title,employer,era,family,father,feast_day,field,fields,flourished,footnotes,full name,genre,genres,governor4,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,honours,horus,house,image,image_alt,image_size,image_upright,imagesize,influenced,influences,institute,instrument,issue,issue-link,issue-pipe,issues,known_for,label,landscape,language,last,list_of_works,main_interests,major_shrine,mi,module,module2,monarch,monarch1,monuments,moretext,mother,movement,name,nationality,native_name,native_name_lang,nickname,nocat_wdimage,nomen,notable_family,notable_ideas,notable_students,notable_works,notableworks,occupation,occupations,office,office1,office10,office11,office12,office15,office2,office3,office4,office5,office6,office7,office8,ordained,order,order1,order2,order3,order4,order8,organisation,organizations,origin,other_names,p,parents,partner,party,past_member_of,patronage,patrons,period,posthumous_name,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,president,president1,president3,primeminister1,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,prizes,pseudonym,rank,region,regnal name,reign,reign-type1,reign1,relations,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,role,s,school_tradition,serviceyears,signature,signature_alt,signature_size,significant_advance,significant_design,significant_projects,spouse,spouses,style,subject,subjects,suboffice3,subterm3,succession,succession1,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,t,term10,term11,term12,term13,term14,term15,term_end,term_end1,term_end11,term_end12,term_end2,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label3,term_label4,term_start,term_start1,term_start11,term_start12,term_start2,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,thesis_title,thesis_url,thesis_year,title,titles,training,venerated_in,vicepresident,vicepresident1,w,website,work_institutions,workplaces,works,years_active,yearsactive
,,"{{unbulleted list | [[Isaac Barrow]]<ref>Feingold, Mordechai. [http://www.oxforddnb.com/view/article/1541 Barrow, Isaac (1630–1677)] {{Webarchive|url=https://web.archive.org/web/20130129154554/http://www.oxforddnb.com/view/article/1541 |date=29 January 2013 }}, ''Oxford Dictionary of National Biography'', [[Oxford University Press]], September 2004; online edn, May 2007. Retrieved 24 February 2009; explained further in {{cite journal |last=Feingold |first=Mordechai |date=1993 |title=Newton, Leibniz, and Barrow Too: An Attempt at a Reinterpretation |journal=Isis |volume=84 |issue=2 |pages=310–338 |bibcode=1993Isis...84..310F |doi=10.1086/356464 |jstor=236236 |s2cid=144019197 |issn=0021-1753}}</ref> | [[Benjamin Pulleyn]]<ref>{{cite web |title=Dictionary of Scientific Biography |url=http://www.chlt.org/sandbox/lhl/dsb/page.50.a.php |archive-url=https://web.archive.org/web/20050225223812/http://www.chlt.org/sandbox/lhl/dsb/page.50.a.php |archive-date=25 February 2005 |at=Notes, No. 4}}</ref>}}",,,,,,"[[Henry Boyle, 1st Baron Carleton|Henry Boyle]]",Henry Boyle,"Portrait of Newton, a white man with white hair and a brown robe, sitting with his hands folded",,,,,,,"{{unbulleted list | [[Fellow of the Royal Society|FRS]]&nbsp;(1672)<ref name=""frs"">{{cite web |title=Fellows of the Royal Society |url=https://royalsociety.org/about-us/fellowship/fellows |archive-url=https://web.archive.org/web/20150316060617/https://royalsociety.org/about-us/fellowship/fellows |archive-date=16 March 2015 |publisher=Royal Society |location=London}}</ref> | [[Knight Bachelor]]&nbsp;(1705)}}",,,,,,{{Birth date|df=y|1643|01|04}},,"{{nowrap|[[Woolsthorpe-by-Colsterworth]],}} Lincolnshire, England",,,,,,,,,"[[Portrait of Isaac Newton|Portrait of Newton]], 1689",,,,,,,,,,,,,,,,,{{Death date and age|df=y|1727|03|31|1643|01|04}},"[[Kensington]], Middlesex, England",,,,,,,,,,,"[[Trinity College, Cambridge]] ([[Bachelor of Arts|BA]], 1665; [[Master of Arts|MA]], 1668)<ref>Kevin C. Knox, Richard Noakes (eds.), ''From Newton to Hawking: A History of Cambridge University's Lucasian Professors of Mathematics'', Cambridge University Press, 2003, p.&nbsp;61.</ref>",,,,,,,,,{{hlist|[[Physics]]|[[natural philosophy]]|[[alchemy]]|[[theology]]|[[mathematics]]|[[astronomy]]|[[economics]]}},,,,,,,,,[[Sir]],{{post-nominals|country=GBR|size=100%|FRS}},,,,"Portrait of Sir Isaac Newton, 1689 (brightened).jpg",,,,,,,,,,,,,{{collapsible list|[[Classical mechanics|Newtonian mechanics]]| [[universal gravitation]]| [[calculus]]| [[Newton's laws of motion]]| [[optics]]| [[binomial series]]| ''[[Philosophiæ Naturalis Principia Mathematica|Principia]]''| [[Newton's method]] | [[Newton's law of cooling]]| [[Newton's identities]]| [[Newton's metal]]| [[Newton line]]| [[Newton–Gauss line]]| [[Newtonian fluid]]| [[Newton's rings]]|''[[Standing on the shoulders of giants]]'' |[[List of things named after Isaac Newton|List of all other works and concepts]]|}},,,,,,,,,{{Infobox officeholder| embed = yes,,,,,,,,Isaac Newton,,,,,,,,,{{unbulleted list| [[Roger Cotes]]|[[William Whiston]]}},,,,,[[Parliament of England|Member of Parliament]]<br />for [[Cambridge University (UK Parliament constituency)|the University of Cambridge]],,,,,,President of the Royal Society,[[Master of the Mint]],Lucasian Professor of Mathematics,,,,,,,,12th,,2nd,,,,,,,,,[[Whigs (British political party)|Whig]],,,,,,[[Robert Brady (writer)|Robert Brady]],[[Anthony Hammond (politician)|Anthony Hammond]],,,,,,"[[John Somers, 1st Baron Somers|John Somers]]",[[Thomas Neale]],[[Isaac Barrow]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Westminster Abbey]],,,,,,,Isaac Newton signature ws.svg,Signature written in ink in a flowing script,,,,,,,,,,[[Warden of the Mint]],1696–1699,,,[[Edward Finch (composer)|Edward Finch]],"[[Arthur Annesley, 5th Earl of Anglesey]]",,,,,,[[Hans Sloane]],[[John Conduitt]],[[William Whiston]],,,,,,,,,,,,,1690,1702,,,1727,1727,1702,,,,,,,,1689,1701,,,1703,1699,1669,,,,,,,,,,,,,,,,,,{{hlist|[[University of Cambridge]]|[[Royal Society]]|[[Royal Mint]]}},,,
,,,,,,,[[University of Paris]],,,,,,,,,,,,,,,,{{birth date|df=y|1867|11|7}},Maria Salomea Skłodowska,"[[Warsaw]], [[Congress Poland|Poland]], Russian Empire",,,,,,,,,{{circa|1920}},,,,{{ubl|Russian Empire (until 1895)|France (from 1895)}},,,,,,,,,,,,[[Aplastic anaemia]],{{death date and age|df=y|1934|7|4|1867|11|7}},"[[Passy, Haute-Savoie|Passy]], [[Rhône-Alpes]], France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marie Curie c. 1920s.jpg,,,,,,,,,,,,,{{plainlist|,,,,,,,,,,,,,,,,,Marie Curie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{Birth date|df=yes|1879|3|14}},,"[[Ulm]], [[Kingdom of Württemberg]], Germany<ref group=note name=GEcitizen/>",,,,,,,,,Einstein in 1947,,{{flatlist|,,{{collapsible list|title={{nobold|''See list''}}||{{Indented plainlist|,,,,,,,,,,,,,{{Death date and age|df=yes|1955|4|18|1879|3|14}},"[[Princeton, New Jersey]], U.S.",,,,,,,,,,,,,,,,[[Einstein family|Einstein]],,,,,,,,,,,,,,,,,,Albert Einstein 1947.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albert Einstein,,,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|df=y|1815|12|10}},Hon. Augusta Ada Byron,"London, England",,,,,,,,,Daguerreotype of Lovelace by Antoine Claudet ({{circa|1843}})<ref>{{cite web | url=https://blogs.bodleian.ox.ac.uk/adalovelace/2015/10/14/only-known-photographs-of-ada-lovelace-in-bodleian-display/ | title=Only known photographs of Ada Lovelace in Bodleian Display | date=14 October 2015 }}</ref>,,{{plainlist|,,,,,,,,,,,,,,,{{death date and age|df=y|1852|11|27|1815|12|10}},"[[Marylebone]], London, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[The Right Honourable]],,,,,Ada Lovelace daguerreotype by Antoine Claudet 1843 - cropped.png,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Countess of Lovelace,British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Church of St. Mary Magdalene, Hucknall]], Nottingham, England",,,,,,,,,,,,,,"{{marriage|[[William King-Noel, 1st Earl of Lovelace]]|1835}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|df=yes|1452|04|15}},Leonardo di ser Piero da Vinci,"possibly [[Anchiano]],{{efn|name=Birthplace}} [[Vinci, Tuscany|Vinci]], {{awrap|[[Republic of Florence]]}}",,,,,,,,,"This portrait attributed to [[Francesco Melzi]], {{circa|1515–1518}}, is the only certain contemporary depiction of Leonardo.<ref>{{cite web |title=A portrait of Leonardo c. 1515–18 |publisher=[[Royal Collection Trust]] |url=https://www.rct.uk/collection/912726/a-portrait-of-leonardo |access-date=26 September 2020 |archive-url=https://web.archive.org/web/20201123161405/https://www.rct.uk/collection/912726/a-portrait-of-leonardo |archive-date=23 November 2020}}</ref>{{sfn|Zöllner|2019|p=20}}",,,,,,,,,,,,,,,,,{{death date and age|df=yes|1519|5|2|1452|4|15}},"[[Clos Lucé]], [[Amboise]], {{awrap|[[Kingdom of France]]}}",,,,,,,,,,,Studio of [[Andrea del Verrocchio]],,,,,[[Da Vinci family|Da Vinci]],,,,,,,,,,,,,,,,,,Francesco Melzi - Portrait of Leonardo.png<!-- Please consult previous discussions on the talk page before changing this image. It is his only certain contemporary likeness. -->,,,,,,,,,,,,,{{hlist|Painting|drawing|engineering|anatomical studies|hydrology|botany|optics|geology}},,,,,,,,,,,,,,,,[[High Renaissance]],Leonardo da Vinci,,,,,,,,,,{{plainlist|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Château d'Amboise]],,,,,,,Firma de Leonardo Da Vinci.svg,Signature written in ink in a flowing script,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{circa|1470–1519}},
,,[[Ostilio Ricci da Fermo]],,,,,,,,,,,,,,,,,,,,,{{birth date|1564|02|15|df=y}}{{sfn|Drake|1978|p=1}},Galileo di Vincenzo Bonaiuti de' Galilei<ref>{{Cite book |url=https://books.google.com/books?id=sFiJFuzRVFQC&pg=PA83 |title=Science: The Definitive Visual Guide |publisher=DK |year=2009 |isbn=978-0-7566-6490-9|page=83}}</ref>,"[[Pisa]], Duchy of Florence",,,,,,,,,Portrait {{circa|1640}},,,,,,,,,,,,,,,,,{{death date and age|1642|01|08|1564|02|15|df=y}},"[[Arcetri]], Grand Duchy of Tuscany",,,,,,,,,,,"[[University of Pisa]] <!-- This field is for the university name. Please do not put a degree here,  -->",,,,,,,,{{hlist|[[Astronomy]]|[[physics]]|[[engineering]]|[[natural philosophy]]|[[mathematics]]}},,,,,,,,,,,,,,,File:Galileo Galilei (1564-1642) RMG BHC2700.tiff,,,,,,,,,,,,,{{hlist|[[Analytical dynamics]]|[[heliocentrism]]|[[kinematics]]|[[observational astronomy]]}},,,,,,,,,,,,,,,,,Galileo Galilei,,,,,,,,,{{ubl|[[Benedetto Castelli]]|[[Mario Guiducci]]|[[Vincenzo Viviani]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[File:Galileo Galilei Signature 2.svg|130px]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl|[[University of Pisa]]|[[University of Padua]]}},,,,
,,,,,,,[[Graz University of Technology]] (dropped out),,,"Head-and-shoulder photograph of a slender man with dark hair and moustache, dark suit and white-collar shirt",,,,,,,{{ubil,,,,,,{{birth date|1856|7|10|df=y}},,"[[Smiljan, Croatia|Smiljan]], [[Austrian Empire]] <br /> (now in [[Croatia]])<!-- There is consensus against adding [[Croatian Military Frontier]] here -->",,,,,,,,,"Tesla, {{circa|1890}}",,,,{{ubl,,,,,,,,,,,,,{{death date and age|1943|1|7|1856|7|10|df=y}},"[[New York City]], U.S.",,,,,,{{ubl,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tesla circa 1890.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikola Tesla,,{{nobold|{{lang|sr|Никола Тесла}}}},sr,,,,,,,,,{{hlist|Engineer|[[futurist]]|inventor}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Nikola Tesla Museum]], Belgrade, Serbia",,,,,,,Nikola Tesla signature 1900.svg,,,[[Polyphase system|Polyphase electric power]],[[Induction motor]],[[Wireless power transfer]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Three quarter length studio photo showing Darwin's characteristic large forehead and bushy eyebrows with deep set eyes, pug nose and mouth set in a determined look. He is bald on top, with dark hair and long side whiskers but no beard or moustache. His jacket is dark, with very wide lapels, and his trousers are a light check pattern. His shirt features an upright wing collar, and his cravat is tucked into his waistcoat, which has a light, fine checked pattern.",,,,,,,,,,,,,{{birth date|df=y|1809|2|12}},Charles Robert Darwin,"[[Shrewsbury]], Shropshire, England",,,,,,,,,"Darwin, {{circa|1854}}, when he was preparing ''[[On the Origin of Species]]''{{sfn|Freeman|2007|p=76}}",,,,,,,,,,,,,,,,,{{death date and age|1882|df=y|4|19|1809|2|12}},"[[Down House]], Down, Kent, England<!--Letter no. 3368 footnote; ""spelling of the village name was variable. 'Down' was the commonest form up to the 1870s, and 'Downe' thereafter"", and it was in Kent until 1965, (now in [[Greater London]])-->",,,,,,,,,,,{{ubli|,,,,,,,,,,,,,,,,,,,{{post-nominals|country=GBR|size=100%|JP|FRS|FRGS|FLS|FZS}},,,,Charles Darwin seated crop.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Darwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Westminster Abbey]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,{{collapsible list,,,,,,{{Birth date|1847|2|11}},Thomas Alva Edison,"[[Milan, Ohio]], U.S.",,,,,[[Thomas Edison National Historical Park]],,,,"Edison, {{circa|1922}}",,"6, including [[Madeleine Edison|Madeleine]], [[Charles Edison|Charles]], and [[Theodore Miller Edison|Theodore]]",,,,,,,,,,,,,,,{{Death date and age|1931|10|18|1847|2|11}},"[[West Orange, New Jersey]], U.S.",,,,,,,,,,,Self-educated; some coursework at [[Cooper Union]],,,,,,,,,,,,,,,,,,,,,,,Thomas Edison2.jpg,,,,,,,,,,,,,"[[Phonograph]], [[Electric light]], [[Electric power distribution]], [[Film|Early motion pictures]], ''[[List of Edison patents|see list]]''",,,,,,,,,{{Listen voice,,,,,,,,Thomas Edison,,,,,,,,,,,,{{hlist|Inventor|businessman}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Lewis Miller (philanthropist)|Lewis Miller]] (father-in-law),,,,,,,,,,,Thomas Alva Edison Signature.svg,,,,,,{{ublist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877–1930,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aristotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theoretical philosophy,,,,,,,,,,,,
