1blankname,1blankname1,1blankname2,1blankname3,1blankname4,1blankname6,1namedata,1namedata1,1namedata2,1namedata3,1namedata4,1namedata6,2blankname2,2namedata2,allegiance,alma_mater,alongside1,alongside2,alt,ambassador_from2,appointer,awards,birth_date,birth_name,birth_place,birthname,branch,branch_label,caption,child,children,church,citizenship,coatofarms,coatofarms_article,coatofarms_link,constituency,constituency1,constituency12,constituency13,constituency14,constituency15,constituency2,constituency4,constituency5,constituency6,constituency7,constituency8,constituency9,constituency_mp6,constituency_mp9,conviction_status,country2,criminal_charge,death_cause,death_date,death_place,deputy,deputy1,deputy2,deputy3,deputy4,deputy6,description,district,district1,doctoral_advisor,education,embed,enthroned,era,father,field,filename,first,footnotes,formation,governor3,governor4,governor_general,hangul,hanja,height_m,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,honours,image,image_size,incumbent,incumbentsince,institutions,ipa,jr/sr1,jr/sr2,known_for,last,leader1,leader3,leader4,leader5,leader8,main_interests,majority,majority6,module,module2,monarch,monarch1,monarch2,monuments,mother,movement,name,nationality,native_name,native_name_lang,nickname,notable_works,occupation,office,office1,office10,office11,office12,office15,office2,office3,office4,office5,office6,office7,office8,office9,order,order1,order2,order3,order4,order6,order9,organisation,organization,other_names,otherparty,parents,parliament6,parliament9,partner,party,pos,post,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,president,president1,president11,president2,president3,president6,president7,primeminister,primeminister1,primeminister10,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,profession,rank_label,region,relatives,residence,resting_place,resting_place_coordinates,restingplace,school_tradition,see,servicenumber,serviceyears,serviceyears_label,signature,signature_alt,signature_size,spouse,state,state1,state2,state_house1,status,status9,suboffice10,suboffice11,suboffice12,suboffice13,suboffice14,suboffice7,suboffice8,suboffice9,subterm10,subterm11,subterm12,subterm13,subterm14,subterm7,subterm8,subterm9,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,term,term10,term11,term12,term13,term14,term15,term4,term5,term6,term7,term_end,term_end1,term_end10,term_end11,term_end2,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label,term_label10,term_label2,term_label3,term_label4,term_start,term_start1,term_start10,term_start11,term_start2,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,thesis_title,thesis_url,thesis_year,title,title7,titlestyle,trial,type,vicepresident,vicepresident1,vicepresident3,website,years_active
,,,,,,,,,,,,,,,,,,Black-and-white head shot of King wearing a suit and facing left,,,"{{unbulleted list|[[Nobel Peace Prize]] (1964)|[[Presidential Medal of Freedom]] ([[Posthumous award|posthumous]], 1977)|[[Congressional Gold Medal]] (posthumous, 2004)}}",{{birth date|1929|1|15}},Michael King Jr.,"[[Atlanta|Atlanta, Georgia]], U.S.",,,,King in 1964,,{{hlist|[[Yolanda King|Yolanda]]|[[Martin Luther King III|Martin&nbsp;III]]|[[Dexter King|Dexter]]|[[Bernice King|Bernice]]}},,,,,,,,,,,,,,,,,,,,,,,,[[Assassination of Martin Luther King Jr.|Assassination by gunshot]],{{death date and age|1968|4|4|1929|1|15}},"[[Memphis, Tennessee]], U.S.",,,,,,,,,,,{{unbulleted list|[[Morehouse College]] ([[Bachelor of Arts|BA]])|[[Crozer Theological Seminary]] ([[Bachelor of Divinity|BDiv]])|[[Boston University]] ([[PhD]])}},,,,,,,,,,,,,,,,,,[[The Reverend]],,,"Martin Luther King, Jr..jpg",,,,,,,,,,,,,,,,,,"{{Listen|pos=center|embed=yes|filename=Martin Luther King, Jr. speaks about Barry Goldwater at a press conference at Amsterdam Airport Schiphol, August 1964 (audio from Polygoon).oga|title=Martin Luther King Jr.'s voice|type=speech|description=King giving a press conference at [[Amsterdam Airport Schiphol]]<br />Recorded August 1964}}",,,,,[[List of memorials to Martin Luther King Jr.|Full list]],,{{hlist|[[Civil rights movement|Civil rights]]|[[peace movement|peace]]|[[Anti-war movement|anti-war]]}}}},Martin Luther King Jr.,,,,MLK }},,{{hlist|Baptist minister|activist}} {{Infobox person|child=yes,,1st President of the [[Southern Christian Leadership Conference]],,,,,,,,,,,,,,,,,,,,,,,,{{unbulleted list|[[Martin Luther King Sr.]]|[[Alberta Williams King]]}},,,,,,,,''Position established'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{unbulleted list|[[Christine King Farris]] (sister)|[[A.&nbsp;D. King]] (brother)|[[Alveda King]] (niece)}},,[[Martin Luther King&nbsp;Jr. National Historical Park]],,,,,,,,Martin Luther King Jr Signature2.svg,,,"{{marriage|[[Coretta Scott King|Coretta Scott]]|June 18, 1953}}",,,,,,,,,,,,,,,,,,,,,,,,[[Ralph Abernathy]],,,,,,,,,,,,,,,,,,,,,,,,,,"April 4, 1968",,,,,,,,,,,,,,,,,"January 10, 1957",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,{{ubl|[[University of Fort Hare]]|[[University of London]]|[[University of South Africa]]|[[University of the Witwatersrand]]}},,,,,,[[List of awards and honours received by Nelson Mandela|Full list]],{{birth date|1918|7|18|df=y}},Rolihlahla Mandela,"[[Mvezo]], South Africa",,,,Mandela in 1994,,"6, including [[Makgatho Mandela|Makgatho]], [[Makaziwe Mandela|Maki]], [[Zenani Mandela-Dlamini|Zenani]], and [[Zindzi Mandela|Zindziswa]]",,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|2013|12|05|1918|7|18|df=y}},"[[Johannesburg]], South Africa",{{ubl|Frederik Willem de Klerk<br>(1994–1996)|Thabo Mbeki<br>(1994–1999)}},{{ubl|[[Walter Sisulu]]<br>(1991–1994)|Thabo Mbeki<br>(1994–1997)}},,,,,,,,,,,,,,,,,,,,,,,,,,,[[His Excellency]],{{post-nominals|country=ZAR|OMP|SBG|SBS|CLS|DMG|MMS|MMB|OM|size=100%}},,Nelson Mandela 1994.jpg,,,,,,,,[[Internal resistance to apartheid|Anti-apartheid activism]],,,,,,,,,,{{Listen|pos=center|embed=yes|filename=Nelson Mandela voice.ogg|title=Nelson Mandela's voice|type=speech|description=Mandela during his 1994 visit to the US<br>Recorded on 4 October 1994}} }},,,,,,,,Nelson Mandela,,,,{{hlist|Madiba|Tata|Dalibunga}},,{{hlist|Politician|lawyer|philanthropist|activist}},President of South Africa,President of the African National&nbsp;Congress,,,,,Deputy President of the African National Congress,,Secretary-General of the Non-Aligned Movement{{!}}Secretary-General of the<br>Non-Aligned Movement,,,,,,1st,11th,2nd and 4th,,19th,,,,,,[[South African Communist Party]] ([[Tripartite Alliance]]),,,,,[[African National Congress]],,,[[F. W. de Klerk|Frederik Willem de Klerk]] {{nowrap|(as [[State President of South Africa|State President]])}},[[Oliver Tambo]],,,,,,Oliver Tambo,[[Walter Rubusana]] (1936),[[Andrés Pastrana Arango]],,,,,,,,,Oliver Tambo,[[Albert Luthuli]],,,,,,,,,,,,,,,,,,,"Mandela Graveyard, [[Qunu]],&nbsp;Eastern Cape",,,,,,,,Nelson Mandela Signature.svg,,,{{plainlist| * {{marriage|[[Evelyn Mase|Evelyn Ntoko Mase]]|5 October 1944|18 March 1958|end=div.}} * {{marriage|[[Winnie Madikizela-Mandela|Winifred Madikizela]]|14 June 1958|19 March 1996|end=div.}} * {{marriage|[[Graça Machel|Graça Simbine]]|18 July 1998}}}},,,,,,,,,,,,,,,,,,,,,,,[[Thabo Mbeki]],Thabo Mbeki,,,,,,Walter Sisulu,Oliver Tambo,Thabo Mbeki,,,,,,,,,,,,,,,,,14 June 1999,20 December 1997,,,7 July 1991,1958,14 June 1999,,,,,,,,,,,10 May 1994,7 July 1991,,,May 1985,December 1952,2 September 1998,,,,,,,,,,,,,,,,,{{official website|nelsonmandela.org|name=Foundation}},
,,,,,,,,,,,,,,,{{ubl|[[Samaldas Arts College]]{{efn|Did not graduate}}|[[University College London]]{{efn|Informal [[Academic audit|auditing student]] between 1888 and 1891}}}}[[City Law School|Inns of Court School of Law]],,,,,,,{{birth date|df=y|1869|10|2}},Mohandas Karamchand Gandhi,"[[Porbandar]], [[Kathiawar Agency]], India",,,,Gandhi in 1931,,{{hlist|[[Harilal Gandhi|Harilal]]|[[Manilal Gandhi|Manilal]]|[[Ramdas Gandhi|Ramdas]]|[[Devdas Gandhi|Devdas]]}},,,,,,,,,,,,,,,,,,,,,,,,[[Assassination of Mahatma Gandhi|Assassination]],{{death date and age|df=y|1948|1|30|1869|10|2}},"New Delhi, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Mahātmā]],,,"Mahatma-Gandhi, studio, 1931.jpg",,,,,,,,{{ubli|Leadership of the [[Indian independence movement|campaign for India's independence from British rule]]|[[Nonviolent resistance]]}},,,,,,,,,,{{infobox officeholder|embed=yes,"{{listen|pos=center|embed=yes|filename=Gandhi - His Spiritual Message to the World, 17 October 1931.mp3|title=Mahatma Gandhi's voice|type=speech|description=Gandhi's spiritual message to the world<br />Recorded 17 October 1931}} }}",,,,"{{plainlist| * [[Raj Ghat and associated memorials|Raj Ghat]], Delhi * [[Gandhi Smriti]], New Delhi}}",,,Mohandas Gandhi,,,,,,{{hlist|Lawyer|anti-colonialist|political ethicist}},[[President of the Indian National Congress]],,,,,,,,,,,,,,,,,,,,,,,"''Bāpū'' (father), ''Rāṣṭrapitā'' (the [[Father of the Nation]])",,{{ubl|[[Karamchand Gandhi]]|[[Putlibai Gandhi]]}},,,,[[Indian National Congress]] (1920–1934),,,[[Maulana Azad]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Family of Mahatma Gandhi|Gandhi family]],,,,,,,,,,Mohandas K. Gandhi signature.svg,Signature of Gandhi,,{{marriage|[[Kasturba Gandhi]]|1883|1944|end=died}},,,,,,,,,,,,,,,,,,,,,,,[[Sarojini Naidu]],,,,,,,,,,,,,,,December 1924 – April 1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893–1948
,,,,,,,,,,,,,,,,,,Black-and-white photograph of Malcolm wearing a suit,,,,{{birth date|1925|5|19}},Malcolm Little,"[[Omaha, Nebraska]], U.S.",,,,Malcolm X in 1964,,"6, including [[Attallah Shabazz|Attallah]], [[Qubilah Shabazz|Qubilah]], and [[Ilyasah Shabazz|Ilyasah]]",,,,,,,,,,,,,,,,,,,,,,,,[[Assassination of Malcolm X|Assassination by gunshots]],{{death date and age|1965|2|21|1925|5|19}},"[[Manhattan]], New York City, U.S.",,,,,,,,,,,,,,,Earl Little,,,,,,,,,,,,,,,,,File:Malcolm X 1964 press photo (cropped) (lighting diff).jpg,,,,,,,,,,,,,,,,,,,,,,,,[[Louise Little|Louise Langdon]],{{hlist|[[Black nationalism]]|[[Pan-Africanism]]|[[Islamism]]}},Malcolm X,,,,,,{{hlist|Minister|activist}},,,,,,,,,,,,,,,,,,,,,,,"{{hlist|[[Nation of Islam]]|[[Muslim Mosque, Inc.]]|[[Organization of Afro-American Unity]]}}",Malik el-Shabazz ({{langx|ar|مَالِك ٱلشَّبَازّ|Mālik ash-Shabāzz}})<br/>Omowale ({{langx|yo|Omowale||The son who has come back}}),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Malcolm Shabazz]] (grandson)<ref name=""SFTimes"">{{cite web |url=http://www.sfltimes.com/uncategorized/malcolm-xs-grandson-working-on-memoirs-in-miami |title=Malcolm&nbsp;X's Grandson Working on Memoirs in Miami |last=Harrison |first=Isheka N. |date=July 2010 |work=South Florida Times | access-date = June 9, 2016 | archive-date = June 24, 2016 | archive-url = https://web.archive.org/web/20160624041954/http://www.sfltimes.com/uncategorized/malcolm-xs-grandson-working-on-memoirs-in-miami | url-status = live}}</ref>",,[[Ferncliff Cemetery]],,,,,,,,Malcolm X Signature.svg }},,,{{marriage|[[Betty Shabazz]]|1958}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Rosa Parks in a black-and-white photograph in 1955, as a younger woman",,,,{{birth date|1913|2|4}},Rosa Louise McCauley,"[[Tuskegee, Alabama]], U.S.",,,,Parks in 1955,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|2005|10|24|1913|2|4}},"[[Detroit]], Michigan, U.S.",,,,,,,,,,,Alabama State Teachers College for Negroes (now [[Alabama State University]]),,,,,,,,,,,,,,,,,,,,,Rosa Parks 1955 2 (cropped).jpg,,,,,,,,[[Montgomery bus boycott]],,,,,,,,,,,,,,,,,[[Civil Rights Movement]],Rosa Parks,,,,,,[[Civil rights activist]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Woodlawn Cemetery (Detroit)|Woodlawn Cemetery]], Detroit",,,,,,,,Rosa Parks Signature.svg }},,,[[Raymond Parks (activist)|Raymond Parks]]<br>(m. 1932; died 1977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,{{Birth date|1820|2|15|mf=y}},Susan Anthony,"[[Adams, Massachusetts]], U.S.",,,,Anthony in 1890,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|1906|3|13|1820|2|15|mf=y}},"[[Rochester, New York]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SB Anthony from RoRaWW.jpg,,,,,,,,Advocacy of {{hlist|[[women's suffrage]]|[[women's rights]]|[[Abolitionism in the United States|abolitionism]]}},,,,,,,,,,,,,,,,,,Susan B. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Daniel Read Anthony]] (brother)<br />[[Mary Stafford Anthony]] (sister)<br />[[Daniel Read Anthony Jr.]] (nephew)<br />[[Susan B. Anthony II]] (great-niece),,"[[Mount Hope Cemetery (Rochester)|Mount Hope Cemetery]] ([[Rochester, New York]])",,,,,,,,Susan B Anthony signature2.svg }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,[[Benjamin Harrison]],,"{{circa}} February 14, 1818",Frederick Augustus Washington Bailey,"[[Cordova, Maryland]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|1895|2|20|1818}},"[[Washington, D.C.]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frederick Douglass (circa 1879) (cropped).jpg,250px,,,,,,,,,,,,,,,,,,,,,,,,,Frederick Douglass,,,,,,{{flatlist| * [[Abolitionism in the United States|Abolitionist]] * [[suffragist]] * author * editor * diplomat }},[[United States Minister Resident to Haiti]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[John E. W. Thompson]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Mount Hope Cemetery (Rochester)|Mount Hope Cemetery]], [[Rochester, New York]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[John S. Durham (ambassador)|John S. Durham]],,,,,,,,,,,,,,,,,,,,,,,,,,"July 30, 1891",,,,,,,,,,,,,,,,,"November 14, 1889",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Portrait photo of Harriet Tubman,,,,{{circa|March 1822}}{{sfn|Larson|2004|p=16}},Araminta Ross,"[[Dorchester County, Maryland]], U.S.<!-- As per WP:LINKDIRECT and Template:infobox person, birth/death place indicates city, state, then country. No need to spell out ""United States; 'U.S.' is fine. -->",,,,"Tubman, {{circa|1871–1876}}",,,,,,,,,,,,,,,,,,,,,,,,,,,{{BirthDeathAge| |1822|3| |1913|3|10}},"[[Auburn, New York]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Portrait of Harriet Tubman) (LOC) (38899564300) (cropped 3x4).jpg,,,,,,,,Guiding enslaved people to freedom,,,,,,,,,,,,,,,,,,Harriet Tubman,,,,,,{{hlist|Civil War [[Reconnaissance|scout]]|[[American Civil War spies#Union Spying|spy]]|nurse|suffragist|civil rights activist}},,,,,,,,,,,,,,,,,,,,,,,,{{hlist|Minty|Moses}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Fort Hill Cemetery]], <br />Auburn, New York, U.S.",{{coord|42.9246|-76.5750|type:landmark|display=inline}},,,,,,,,,,{{plainlist| * {{marriage|[[John Tubman]]|1844|1851|end=divorced}} * {{marriage|[[Nelson Charles Davis|Nelson Davis]]|1869|1888|end=his death}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,{{Circa|1797}},Isabella Bomefree,"[[Swartekill, New York]], U.S.",,,,"Truth, {{circa|1870}}",,,,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and given age|1883|11|26|86|mf=y}},"[[Battle Creek, Michigan]], U.S.",,,,,,,,,,,,,,,James Bomefree }},,,,,,,,,,,,,,,,,"Sojourner Truth, 1870 (cropped, restored).jpg",,,,,,,,,,,,,,,,,,,,,,,,Elizabeth Bomefree,,Sojourner Truth,,,,,,"[[Abolitionism in the United States|Abolitionist]], [[human rights activists|human rights activist]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,[[Lenin Peace Prize]],{{Birth date and age|1944|1|26}},Angela Yvonne Davis,"[[Birmingham, Alabama]], U.S.",,,,Davis in 1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Herbert Marcuse]],"{{ubl|[[Brandeis University]] ([[Bachelor of Arts|BA]])|[[Goethe University Frankfurt|University of Frankfurt]]|[[University of California, San Diego]] ([[Master of Arts|MA]])}}",,,[[Contemporary philosophy]],,,,,,,,,,,,,,,,,,"Angela Davis, 1974.jpg",,,,"{{ubl | [[University of California, Los Angeles]]<br />[[San Francisco State University]] | [[University of California, Santa Cruz]]}} }}",,,,,,,,,,,{{hlist | [[Social theory]] | [[socialism]] | [[prison abolition]] | [[intersectionality]] | [[Black Marxism]]}},,,,,,,,,,,Angela Davis,,,,,"{{unbulleted list | ''[[Women, Race and Class]]'' (1981) | ''[[Are Prisons Obsolete?]]'' (2003)}}",{{hlist | Activist | scholar}},,,,,,,,,,,,,,,,,,,,,,,,,{{ubl | [[Communist Party USA]] (1969–1991)| [[Black Panther Party]]}},,,,[[Gina Dent]],{{ubl | [[Committees of Correspondence for Democracy and Socialism|CCDS]] (since 1991)}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Western philosophy]],[[Eisa Davis]] (niece),,,,,{{hlist | [[Critical theory]] | [[Black feminism]] | [[Marxism]]}},,,,,,,,"{{marriage|Hilton Braithwaite|1980|1983|end=div}}<ref name=""auto"">{{cite magazine|url=http://www.people.com/people/archive/article/0,,20077018,00.html|title=Angela Davis, Sweetheart of the Far Left, Finds Her Mr. Right|magazine=[[People (magazine)|People]]|volume=14|number=3|date=July 21, 1980|access-date=October 20, 2011|archive-date=March 11, 2015|archive-url=https://web.archive.org/web/20150311073558/http://www.people.com/people/archive/article/0,,20077018,00.html|url-status=dead}}</ref><ref name=""auto1"">{{cite news|url=https://www.latimes.com/archives/la-xpm-1989-03-08-vw-316-story.html|title=Angela Davis Now: On a Quiet Street in Oakland, the Former Radical Activist Has Settled In but Not Settled Down|newspaper=[[Los Angeles Times]]|first=Beverly|last=Beyette|date=March 8, 1989|access-date=January 6, 2015|archive-date=January 16, 2019|archive-url=https://web.archive.org/web/20190116162027/http://articles.latimes.com/1989-03-08/news/vw-316_1_angela-davis/4|url-status=live}}</ref>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
