1blankname,1blankname1,1blankname2,1blankname3,1blankname4,1blankname6,1namedata,1namedata1,1namedata2,1namedata3,1namedata4,1namedata6,academic_advisors,allegiance,alma_mater,alongside,alongside1,alongside2,alt,attributes,author_abbrev_bot,author_abbrev_zoo,awards,background,bats,battles,bbr,beatified_by,beatified_date,beatified_place,birth_date,birth_name,birth_place,birthname,blank1,body_discovered,branch,burial,burial_date,burial_place,canonized_by,canonized_date,canonized_place,caps1,caps2,caps3,caps4,caps5,caps6,caps7,caption,career_end,career_number,career_position,career_start,child,children,citizenship,club,clubs1,clubs2,clubs3,clubs4,clubs5,clubs6,clubs7,collegeteam,consort,constituency,constituency1,constituency12,constituency13,constituency14,constituency15,constituency2,constituency3,constituency4,constituency5,constituency6,constituency7,constituency8,constituency9,constituency_mp6,constituency_mp9,conviction_status,cor-type,cor-type1,cor-type2,coregency,coronation,coronation1,coronation2,country,criminal_charge,crop_bottom_perc,crop_top_perc,death_cause,death_date,death_place,debut2date,debut2league,debut2team,debut2year,debutdate,debutleague,debutteam,debutyear,denomination,deputy,deputy1,deputy2,deputy3,deputy4,description,desired_width,disappeared_date,disappeared_place,disappeared_status,doctoral_advisor,doctoral_advisors,doctoral_students,draft_pick,draft_round,draft_team,draft_year,dynasty,education,embed,employer,era,ethnicity,eva_time,evas,event,family,father,feast_day,field,fields,filename,finaldate,finalleague,finalteam,finalyear,footnotes,full name,full_name,fullname,genre,genres,goals1,goals2,goals3,goals4,goals5,goals6,goals7,governor3,governor4,governor_general,governor_general3,hangul,hanja,height,height_footnote,height_ft,height_in,high_school,highestranking,highlights,hof_player,hofdate,hoflink,hoftype,hofvote,honorific suffix,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,honours,horus,house,house-type,image,image_alt,image_size,image_upright,imagesize,influenced,influences,insignia,institute,ipa,ism,ism-ar,issue,issue-link,issue-pipe,issues,j,jr/sr1,jr/sr2,known for,known_for,kunya,kunya-ar,label_name,language,laqab,laqab-ar,last,leader1,leader3,leader4,leader5,leader8,main_interests,major_shrine,majority,majority2,majority3,majority4,majority6,managerclubs1,managerclubs2,managerclubs3,managerclubs4,managerclubs5,managerclubs6,managerclubs7,managerclubs8,manageryears1,manageryears2,manageryears3,manageryears4,manageryears5,manageryears6,manageryears7,manageryears8,medaltemplates,mission,missions,module,module2,monarch,monarch1,monuments,moretext,mother,movement,name,nasab,nasab-ar,national_team,nationalcaps1,nationalcaps2,nationalgoals1,nationalgoals2,nationality,nationalteam1,nationalteam2,nationalyears1,nationalyears2,native_name,native_name_lang,nickname,nisbah,nisbah-ar,nocat_wdimage,nomen,notable_ideas,notable_students,notable_works,notablework,notableworks,occupation,office,office1,office10,office11,office12,office15,office2,office3,office4,office5,office6,office7,office8,office9,olympics,order,order1,order2,order3,order4,order5,order6,order9,organisation,organization,other names,other_names,otherparty,p,parents,parliament6,parliament9,partner,party,patronage,patrons,pb,period,place of burial,portaldisp,pos,position,posthumous name,posthumous_name,pre-type2,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,premier,premier1,president,president1,president11,president2,president3,president6,president7,primeminister,primeminister1,primeminister10,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,prizes,profession,pronunciation,pseudonym,rank,reg-type,regent,region,regnal name,reign,reign-type,reign-type1,reign-type2,reign-type3,reign1,reign2,reign3,relations,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,retired,retirement,role,s,school_tradition,selection,serviceyears,show-medals,signature,signature_alt,signature_size,sport,spouse,spouses,stat1label,stat1value,stat2label,stat2value,stat3label,stat3value,state,state1,state2,statleague,status,status9,style,subject,subjects,suboffice10,suboffice11,suboffice12,suboffice13,suboffice14,suboffice7,suboffice8,suboffice9,subterm10,subterm11,subterm12,subterm13,subterm14,subterm7,subterm8,subterm9,succession,succession1,succession2,succession3,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,t,team1,teams,television,term,term10,term11,term12,term13,term14,term15,term4,term5,term6,term7,term_end,term_end1,term_end10,term_end11,term_end2,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label,term_label1,term_label10,term_label2,term_label3,term_label4,term_start,term_start1,term_start10,term_start11,term_start2,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,thesis_title,thesis_url,thesis_year,throws,time,title,title7,titles,titlestyle,totalcaps,totalgoals,training,trial,type,unit,venerated_in,vicepresident,vicepresident1,vicepresident3,website,weight,weight_lb,work_institution,work_institutions,workplaces,works,years active,years1,years2,years3,years4,years5,years6,years7,years_active,youthclubs1,youthclubs2,youthyears1,youthyears2,{{marriage|albert price|1939|1943|end,{{marriage|herbert sheen|1927|1931|end,{{marriage|james howell pitts|1944|1944|end,{{tlit|zh|[[tan yankai]]|i,{{tlit|zh|t. v. soong|i
,,,,,,,,,,,,,,[[University of Strasbourg]],,,,,,,,,,,,,,,,{{birth date|df=yes|1875|01|14}},,"[[Kaysersberg]], [[Alsace–Lorraine]], German&nbsp;Empire",,,,,,,,,,,,,,,,,,Schweitzer in 1955,,,,,,,{{unbulleted list | Germany (until 1919) | France (from 1919)}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|df=yes|1965|9|4|1875|1|14}},"[[Lambaréné]], Gabon",,,,,,,,,,,,,,,,,,,,{{unbulleted list | [[Theobald Ziegler]] | [[Heinrich Julius Holtzmann]] | {{Interlanguage link|Robert Wollenberg|de|3=Robert Wollenberg|lt=Robert Wollenberg|v=ib}}}},,,,,,,,,,,,,,,,,,,{{hlist | Medicine | [[musicology]] | philosophy | theology}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[The Reverend]],{{post-nominals|country=GBR|OM|size=100%}},,,,,"Bundesarchiv Bild 183-D0116-0041-019, Albert Schweitzer.jpg",,,,,,,,,,,,,,,,,,,,"{{unbulleted list | [[Quest for the historical Jesus]] | [[Reverence for Life]] | [[Consistent eschatology|Consistent ""thorough-going"" eschatology]] (posthumously)}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albert Schweitzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist| * [[Goethe Prize]] (1928) * [[Nobel Peace Prize]] (1952) * [[James Cook Medal]] (1959) }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{marriage|[[Helene Bresslau Schweitzer|Helene Bresslau]]|June 1912|1957|end=d}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{birth date and age|1939|6|22|df=yes}},Ada Lifshitz,"[[Jerusalem]],<br/>[[Mandatory Palestine]]",,,,,,,,,,,,,,,,,,Yonath in 2013,,,,,,,[[Israel]]i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Wolfie Traub]], [[F. Albert Cotton]]",,,,,,,,{{ubl|[[Hebrew University of Jerusalem]]|[[Weizmann Institute of Science]]}},,,,,,,,,,,Crystallography,,,,,,,}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ada Yonath 2013 January CHF.jpg,,200px,,,,,,,,,,,,,,,,,,Cryo bio-crystallography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ada E. Yonath,,,,,,,,,,,,,עדה יונת,he,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Harvey Prize]] (2002)<br />[[Wolf Prize in Chemistry]] (2006)<br /> [[L'Oréal-UNESCO Awards for Women in Science|L'Oréal-UNESCO Award for Women in Science (2008)]]<br /> [[Albert Einstein World Award of Science]] (2008)<br /> [[Nobel Prize in Chemistry]] (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Weizmann Institute of Science]]<br />[[University of Chicago]],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,[[Paul Taunton Matthews|Paul Matthews]] [[Anilendra Ganguly]],,"[[Government College University (Lahore)|Government College University]] ([[Bachelor of Arts|BA]])<br /> [[University of the Punjab]] ([[Master of Arts|MA]]) <br />[[St John's College, Cambridge]] ([[PhD]])",,,,,,,,,,,,,,,,{{birth date|df=yes|1926|1|29}},,"[[Jhang]],<ref name=""auto"">{{Cite news |url=https://www.dawn.com/news/1311473|title=Abdus Salam: The real story of Pakistan's Nobel prize winner|first=Hasham|last=Cheema|date=29 January 2018 |work=[[Dawn (newspaper)|Dawn]]}}</ref> [[Punjab Province (British India)|Punjab Province]], [[British Raj|British India]] (present day [[Punjab]], [[Pakistan]])",,,,,,,,,,,,,,,,,,Salam in 1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|df=yes|1996|11|21|1926|1|29}},"[[Oxford]], England",,,,,,,,,,,,,,,,,,,,[[Nicholas Kemmer]],,{{Plainlist| * [[Qaisar Shafi]] * [[Michael Duff (physicist)|Michael Duff]] * [[Daniel Afedzi Akyeampong]] * [[Ali Chamseddine]] * [[Robert Delbourgo]] * [[Walter Gilbert]] * [[John Moffat (physicist)|John Moffat]] * [[Yuval Ne'eman]] * [[John Polkinghorne]] * [[Ray Streater]] * [[Riazuddin (physicist)|Riazuddin]] * [[Fayyazuddin]] * [[Masud Ahmad]] * [[Partha Ghose]] * [[Kamaluddin Ahmed (physicist)|Kamaluddin Ahmed]] * [[John Clayton Taylor|John Taylor]] * [[Ghulam Murtaza (physicist)|Ghulam Murtaza]] * [[Christopher Isham]]{{sfn|Fraser|2008|p=119}} * [[Munir Ahmad Rashid]] *[[Peter West (physicist)|Peter West]]}} <!--To be included later if they get their own wiki biographies: [[Saeed Akhtar Durrani]]*[[Daniel Akyeampong]]*[[Robert Delbourgo]]*[[William Franklin (physicist)|William Franklin]]*[[Penelope Ionides Rowlatt]]*[[Ron Shaw]]*[[Raymond Streater]]-->| notable_students  = {{Plainlist| * [[Jonathan Ashmore]]<ref name=rsbmashmore>{{cite journal|last1=Ashmore|first1=Jonathan Felix|author-link=Jonathan Ashmore|title=Paul Fatt. 13 January 1924 – 28 September 2014|journal=[[Biographical Memoirs of Fellows of the Royal Society]]|location=London|volume=62|year=2016|pages=167–186|issn=0080-4606|doi=10.1098/rsbm.2016.0005|doi-access=free}}</ref> * [[Faheem Hussain]] * [[Pervez Hoodbhoy]] * [[Abdul Hameed Nayyar]] * [[Ghulam Dastagir Alam]]}},,,,,,,,,,,,,,,,,,[[Theoretical physics]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Nishan-e-Imtiaz|NI]] [[Sitara-e-Pakistan|SPk]],,,,,Abdus Salam 1987.jpg,,,,,,,,,,,,,,,,,,,,"{{flatlist| *[[Electroweak theory]] *[[Goldstone boson]] *[[Grand Unified Theory]] *[[Higgs mechanism]] *[[Magnetic photon]] *[[Neutral current]] *[[Pati–Salam model]] *[[Quantum mechanics]] *[[Pakistan and its Nuclear Deterrent Program|Pakistan atomic research program]]<!---He had a secretive nature over this issue, he had secretive key role in both weapon (until 1974; when he left after he fallout with Bhutto) and peaceful scientific programmes. ----> *[[Space and Upper Atmosphere Research Commission|Pakistan space program]] *[[Preon]] *[[Standard Model]] *[[Strong gravity]] *[[Superfield]] *[[W and Z bosons]] }}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdus Salam,,,,,,,,[[British Raj|British Indian]] (1926–1947)<br />[[Pakistani people|Pakistani]] (1947–1996),,,,,{{nq|عبد السلام}},ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developments in quantum theory of fields,http://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.648055,1952<!--Nobelprize.org contradicts Mathematics Genealogy Project-->,,,,,,,,,,,,,,,,,,,,,,"{{Plainlist| * [[Pakistan Atomic Energy Commission|PAEC]] * [[Space and Upper Atmosphere Research Commission|SUPARCO]] * [[Pakistan Institute of Nuclear Science and Technology|PINSTECH]] * [[University of the Punjab|Punjab University]] * [[Imperial College London]] * [[Government College University, Lahore|Government College University]] * [[University of Cambridge]] * [[International Centre for Theoretical Physics|ICTP]] * [[COMSATS]] * [[TWAS]] * [[Columbia University]] * [[University of Karachi]] * [[University of Chicago]] * [[University of Houston]] *[[Edward Bouchet Abdus Salam Institute]]}}",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Black and white portrait photograph of Christie as a middle-aged woman,,,,,,,,,,,,{{Birth date|df=y|1890|9|15}},Agatha Mary Clarissa Miller,"[[Torquay]], [[Devon]], England",,,,,,,,,,,,,,,,,,Christie in 1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|df=y|1976|1|12|1890|9|15}},"[[Winterbrook House]], [[Wallingford, Oxfordshire|Wallingford]], [[Oxfordshire]], England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Dame]],{{post-nominals|country=GBR|size=100%|DBE}},,,,,Agatha Christie.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agatha Christie,,,,,,,,,,,,,,,,,,,,,,,,,{{flatlist| *Novelist *short story writer *playwright *poet *memoirist }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary Westmacott,,,,,,,,,,,,,,,,,,,"Church of St Mary, [[Cholsey]], Oxfordshire, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,ACM [[Turing Award]] (2003)<br/>[[Kyoto Prize]]<br/>[[Charles Stark Draper Prize]],,,,,,,,{{birth date and age|1940|05|17}},Alan Curtis Kay,"[[Springfield, Massachusetts]], U.S.",,,,,,,,,,,,,,,,,,Alan Kay holding the prototype of the [[Dynabook]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[David C. Evans (computer scientist)|David C. Evans]]<br/>[[Robert S. Barton]],,,,,,,"[[University of Colorado, Boulder]] ([[Bachelor of Science|BS]])<br>[[University of Utah]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,,,,,,,,,[[Computer science]],,,,,,}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alan Kay and the prototype of the Dynabook (3009206205).jpg,,,,,,,,,,,,,,,,,,,,[[Dynabook]]<br/>[[Object-oriented programming]]<br/>[[Smalltalk]]<br/>[[Desktop metaphor]] <br/>[[Graphical user interface]]<br/>[[Window (computing)|Windows]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alan Kay,,,,,,,,,,,,,,,,,,,,,[[David Canfield Smith]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!-- Filename only -->,,,,[[Bonnie MacBird]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLEX: A Flexible Extendable Language,https://apps.dtic.mil/sti/pdfs/AD0761962.pdf,1968,,,,,,,,,,,,,,,,,,,,,,"[[PARC (company)|Xerox PARC]]<br/>[[Stanford University]]<br/>[[Atari Inc.]]<br/>[[Apple Inc.]] [[Apple Advanced Technology Group|ATG]]<br/>[[Walt Disney Imagineering]]<br/>[[University of California, Los Angeles|UCLA]]<br/>[[Kyoto University]]<br/>[[Massachusetts Institute of Technology|MIT]]<br/>[[Viewpoints Research Institute]]<br/>[[Hewlett-Packard]] [[HP Labs|Labs]]",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Birth date|1745|02|18|df=yes}},Alessandro Giuseppe Antonio Anastasio Volta,"[[Como]], [[Duchy of Milan]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|1827|03|05|1745|02|18|df=yes}},"Como, [[Kingdom of Lombardy–Venetia]], [[Austrian Empire]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Post-nominals|country=GBR|FRS|size=100%}},,,,,Alessandro Volta.jpeg,,,,,,,,,,,,,,,,,,,,{{Plain list| * Improving the [[electrophorus]] (1775) * Discovering [[methane]] (1776) * Inventing the [[voltaic pile]] (1799) }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessandro Volta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,[[Humboldt University of Berlin|University of Berlin]] (PhD),,,,,,,,,,,,,,,,{{birth date|1880|11|1|df=y}},Alfred Lothar Wegener,"[[Berlin]], [[German Empire]]",,,,,,,,,,,,,,,,,,"Wegener, {{circa}} 1924–1930",,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November 1930 (aged 50),[[Greenland]],,,,,,,,,,,,,,,,,,,,"[[Julius Bauschinger]], [[Wilhelm Förster]]",,,,,,,,,,,,,,,,,,,,"[[Climatology]], [[geology]], [[geophysics]], [[meteorology]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfred_Wegener_ca.1924-30.jpg,,,,,,,,,,,,,,,,,,,,[[Continental drift|Continental drift theory]]<br>[[Plate tectonics]]<br>[[Polflucht]]<br>{{no wrap|[[Wegener–Bergeron–Findeisen process]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alfred Wegener,,,,,,,,German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Kurt Wegener]] (brother)<br/>[[Paul Wegener]] (cousin)<br/>[[Wladimir Köppen]] (father-in-law)<br/>[[Heinrich Harrer]] (son-in-law)<br/>[[Siegfried Uiberreither]] (son-in-law) }},,,,,,,,,,,,,,,,Alfred Wegener Signature.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Alfonsine Tables for the Use of a Modern Computer,https://www.digi-hub.de/viewer/image/BV041981724/3/LOG_0000/,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{circa|610|lk=no}} BC,,"[[Miletus]], [[Ionian League]]",,,,,,,,,,,,,,,,,,Anaximander in a 17th century portrait by [[Pietro Bellotti]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{circa|546|lk=no}} BC (aged {{circa}} 64),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Pre-Socratic philosophy]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File:Pietro Bellotti (attr) Anaximander.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Metaphysics]], [[astronomy]], [[geometry]], [[geography]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anaximander,,,,,,,,,,,,,,,,,,,,"{{nowrap|The [[Apeiron (cosmology)|apeiron]] is the [[arche]]<br/>[[Evolution]]ary view of life<ref>[[Diels–Kranz numbering system|DK]] fragments A 11 and A 30</ref><ref>[https://www.britannica.com/EBchecked/topic/23149/Anaximander ""Anaximander""]. ''[[Encyclopædia Britannica Online]]''.</ref><br/>Earth floats unsupported<br/>[[Mechanics|Mechanical]] model of the sky<br/>Rain is from [[evaporation]]<br/>[[World map]]}} }}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Western philosophy]],,,,,,,,,,,,,,,,,,,,,,{{hlist|class=nowrap |[[Ionian School (philosophy)|Ionian]]{{\}}[[Milesian school|Milesian]] |[[Metaphysical naturalism|Naturalism]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{birth date|df=yes|1929|6|12}},Annelies Marie Frank,"[[Frankfurt]], Germany",,,,,,,,,,,,,,,,,,"Frank in May 1942, two months before she and her family went into hiding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{circa|}}February or {{death date and age|1945|03||1929|6|12|df=y}},"[[Bergen-Belsen]], Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anne Frank passport photo, May 1942 (cropped).jpg",,,,,,,,,,,,,,,,,,,,,,,,{{hlist|Dutch|German}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anne Frank,,,,,,,,,,,,,,,,,,,,,,,,,Diarist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist| * [[Otto Frank]]† (father) * [[Edith Frank]]† (mother) }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bergen-Belsen concentration camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{birth date|df=y|1859|5|22}},Arthur Ignatius Conan Doyle,"[[Edinburgh]], Scotland",,,,,,,,,,,,,,,,,,Doyle in 1914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|df=y|1930|7|7|1859|5|22}},"[[Crowborough]], Sussex, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Knight Bachelor|Sir]],{{postnom|country=GBR|size=100%|KStJg|DL}},,,,,"Arthur Conan Doyle by Walter Benington, 1914.png",,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arthur Conan Doyle,,,,,,,,,,,,,,,,,,,,,,,,,{{Flatlist| * Writer * physician }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
