1blankname1,1blankname3,1namedata1,1namedata3,alias,allegiance,alma_mater,alt,amateurteam1,amateurteam2,amateurteam3,amateurteam4,amateuryears1,amateuryears2,amateuryears3,amateuryears4,awards,bats,battles,billed,birth_date,birth_name,birth_place,birthname,boards,branch,callsign,caps1,caps2,caps3,caps4,caption,children,citizenship,club,clubnumber,clubs1,clubs2,clubs3,clubs4,coach,college,country,creed,criminal_charge,criminal_penalty,criminal_status,currentclub,currentteam,data33,death_date,death_place,debut,debutdate,debutleague,debutteam,debutyear,denomination,disability,disability_class,discipline,disciplines,doctoral_advisor,draftpick,draftround,draftyear,education,elected,employer,event,eye_color,field,fields,finaldate,finalleague,finalteam,finalyear,first,footnotes,full_name,fullname,genre,genres,goals1,goals2,goals3,goals4,governor2,hair_color,height,height_ft,height_in,high_school,highestranking,highlights,hofdate,hoflink,hoftype,hofvote,homepage,hometown,honorific prefix,honorific suffix,honorific_prefix,honorific_suffix,image,image_size,imagesize,instrument,jurisprudence,known_for,label,landscape,language,lbl33,majorwins,mawards,medaltemplates,memorials,minister3,module,module2,module3,module4,module5,module6,monuments,movement,name,nationalcaps1,nationalcaps2,nationalcompetition,nationalgoals1,nationalgoals2,nationality,nationals,nationalteam1,nationalteam2,nationalyears1,nationalyears2,native name lang,native_name,native_name_lang,nickname,notable_works,notableworks,number,occupation,occupations,office,office1,office2,office3,office4,olympics,opponents,order,organization,origin,other_names,othername,otherparty,parents,partner,party,patrons,pb,pfr,position,post-nominals,predecessor,predecessor1,predecessor2,predecessor3,president,president1,president2,president3,profession,proteam1,proteam2,proteam3,proyears1,proyears2,proyears3,pseudonym,rank,regionals,relations,relatives,religion,residence,resting_place,resting_place_coordinates,retired,ridertype,ring_names,role,series,serviceyears,show-medals,signature,signature_alt,signature_size,sport,spouse,stat1label,stat1value,stat2label,stat2value,stat3label,stat3value,stat4label,stat4value,stat5label,stat5value,stat6label,stat6value,statlabel1,statlabel2,statlabel3,statlabel4,statleague,statvalue1,statvalue2,statvalue3,statvalue4,style,successor,successor1,successor2,successor3,team,teams,television,term,term_end,term_end1,term_end2,term_end3,term_end4,term_start,term_start1,term_start2,term_start3,term_start4,thesis_title,thesis_url,thesis_year,throws,title,title2,totalcaps,totalgoals,trainer,turnedpro,updated,voice,website,weight,weight_lbs,width,work_institutions,workplaces,worlds,years1,years2,years3,years4,years_active,yearsactive,youthclubs1,youthclubs2,youthyears1,youthyears2
,,,,,,,,,,,,,,,,,,,,"April 5, 1916",,"[[Pelotas]], [[Rio Grande do Sul]], Brazil",Maria Amália Feijó,,,,,,,,"Carmen Silva, 1939",,,,,,,,,,,,,,,,,,,{{death date and age|2008|4|21|1916|4|5|mf=y}},"[[Porto Alegre]], Rio Grande do Sul, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250px,,,,,,,,,,,,,,,,,,,,,Carmen Silva,,,,,,,,,,,,,,,,,,,[[Actress]] }},,,,,,,,,,,,,Carmem Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{{birth-date and age|22 May 1979}},,"[[Quetta]], Pakistan",,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nadia Khan,,,,,,,,,,,,,{{lang|ur|نادیہ خان}},,,,,,"TV presenter, actor, producer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Mumtaz Hamid Rao]] (father-in-law),,,,,,,,,,,,,,,,{{marriage|Khawar Iqbal|1990s}} (divorced)<br>{{marriage|Faisal Mumtaz Rao|2020}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993–present }},,,,,
Lieutenant,Mayor,{{ubl|''None'' (Mar–Dec 2010)|[[José Melo de Oliveira]]<br/>(2011–2014)}},[[Alfredo Nascimento (politician)|Alfredo Nascimento]],,,,,,,,,,,,,,,,,"November 9, 1958",,"[[Garça]], [[São Paulo (state)|São Paulo]], Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Eduardo Braga]],,,,,,,,,,,,,,,,,,Foto oficial de Omar Aziz.jpg,,,,,,,,,,,,,,,,,,,,,,,Omar Aziz,,,,,,,,,,,,,,,,,,,,,[[Brazilian Senate|Senator]] for [[Amazonas (Brazilian state)|Amazonas]],[[List of Governors of Amazonas|Governor of Amazonas]],Lieutenant Governor of Amazonas,Vice-Mayor of Manaus,[[Legislative Assembly of Amazonas|State Deputy of Amazonas]],,,,,,,,"[[National Mobilization Party|PMN]] (2004–2011)<br/>[[Democrats (Brazil)|DEM]] (1996–2004)<br/>[[Progressistas|PP]] (1995–1996)<br/>[[Reform Progressive Party|PPR]] (1993–1995)<br/>[[Democratic Christian Party (Brazil, 1985)|PDC]] (1989–1993) }}",,,"[[Social Democratic Party (Brazil, 2011)|PSD]] (2011–present)",,,,,,[[Alfredo Nascimento (politician)|Alfredo Nascimento]],[[Eduardo Braga]],Samuel Assayag Hanan,[[Eduardo Braga]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[José Melo de Oliveira]],[[José Melo de Oliveira]],Mário Frota,,,,,,"April 4, 2014","March 31, 2010","March 11, 2002","January 1, 1995","February 1, 2015","March 31, 2010","January 1, 2003","January 1, 1997","January 1, 1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"[[University of Konstanz]], [[Free University of Berlin]]",,,,,,,,,,"[[HIST Award]], 2016 }}",,,,"1952<ref name=""LOC"">{{cite web|title=Klein, Ursula, 1952-|url=https://lccn.loc.gov/no95021278|website=LOC Authority Records|access-date=3 October 2016}}</ref>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"History of science, philosophy of science, semiotics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Paper tools]],,,,,,,,,,,,,,,,,,Ursula Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Max Planck Institute for the History of Science]],,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Victor-Marie Hugo,,,,,,,,,,1875 portrait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{cslist|Novel|poetry|theatre}},,,,,,,,,,,,,,,,,,,,,,,,Victor Hugo by Étienne Carjat 1876 - full.jpg,,,,,,,,,,,,,,,{{Infobox writer |embed=yes,,,,,,,[[Romanticism]],Victor Hugo,,,,,,,,,,,,,,,,,{{cslist|''[[Les Misérables]]''|''[[Ruy Blas]]''|''[[The Hunchback of Notre-Dame]]''}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victor Hugo Signature.svg }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829–1883,,,,,
,,,,,,,,,,,,,,,,,,,,{{Birth date and age|df=yes|1983|10|5}},,"[[Berchem-Sainte-Agathe]], [[Brussels]], Belgium",,,,,38,124,75,18,,,,,,[[KV Kortrijk]],[[KV Mechelen]],[[Guizhou Renhe F.C.|Guizhou Renhe]],[[KV Mechelen]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xavier Chen,,,0,0,2,0,,,1.74 m,,,,,,,,,,,,,,,,Xavier Chen.jpg,,,,,,,,,,,,,,,,,,,,,,,Xavier Chen,11,9,,0,3 }},,,[[Belgium national under-19 football team|Belgium U19]],[[Chinese Taipei national football team|Chinese Taipei]],2001–2002,2011–2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Right back]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,2,,,,,,,,,,,,2005–2007,2007–2013,2013–2015,2016–2017,,,[[R.S.C. Anderlecht|Anderlecht]],[[KV Kortrijk]],1991–2003,2003–2005
,,,,,,,,,,,,,,,,,,,,{{Birth date and age|df=y|1990|1|13}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Arabic music]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yasmin Ali<br />{{lang|ar|ياسمين علي}},,,,,,,,,,,,,,,,,,,,"Singer, entertainer",,,,,,,,,,"[[Beheira Governorate]], [[Egypt]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,}},,,,,,,,,,,–present,,,,,
,,,,,,,,,,,,,,,,,,,,{{birth date|df=yes|1907|12|14}},,"[[Mafra, Portugal|Mafra]], Portugal",,,,,,,,,,,,,,,,,,,,,,,,,,,,{{death date and age|df=yes|1996|04|15|1907|12|14}},"Lisbon, Portugal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beatriz Costa 1934.png,,,,,,,,,,,,,,,,,,,,,,,Beatriz Costa,,,,,,,,,,,,,,,,,,,[[actor|actress]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AssinaturaBeatrizCosta.svg }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,{{flagicon|Kingdom of Afghanistan}} [[Kingdom of Afghanistan]]<br>(1967–1973)<br />{{flagicon|Afghanistan|1974}} [[Republic of Afghanistan (1973-1978)|Republic of Afghanistan]]<br>(1973–1978)<br />{{flagicon|Afghanistan|1978}} [[Democratic Republic of Afghanistan]]<br>(1978–1979)<br />{{Flagicon image|Flag of the Afghan interim government-in-exile (1988–1992).svg}} [[Afghan mujahideen]]<br>(1979–1992)<br />{{flagicon|Afghanistan|1992}} [[Islamic State of Afghanistan]]<br>(1992–1996)<br />{{flagicon|Afghanistan|1992}} [[Northern Alliance]]<br>(1997–1998; 2001)<br />{{flagicon|Afghanistan|2013}} [[Islamic Republic of Afghanistan]]<br>(until 2021) }},,,,,,,,,,,,,{{tree list}} * [[1975 Panjshir Valley uprising]] * [[Saur Revolution]] * [[1979 Herat uprising]] * [[Soviet–Afghan War]] * [[Afghan Civil War (1989-1992)|First Afghan Civil War]] * [[Afghan Civil War (1992-1996)|Second Afghan Civil War]] * [[Afghan Civil War (1996-2001)|Third Afghan Civil War]] ** [[Battles of Mazar-i-Sharif (1997-1998)|Battles of Mazar-i-Sharif]]{{POW}} * [[War in Afghanistan (2001–2021)]] ** [[2001 uprising in Herat]] ** [[2021 Taliban offensive]]{{POW}} {{tree list/end}},,{{birth year and age|1946}},,"[[Shindand District|Shindand]], [[Herat Province]], [[Kingdom of Afghanistan]]",,,[[File:Roundel of Afghanistan (1980–1987) – Army.svg|23px]] [[Afghan Army]] (1967‐79)<br />{{flagicon image|Flag of Jamiat-e Islami.svg}} [[Jamiat-e Islami]] (1979–2001),,,,,,"Ismail Khan at the 2010 National Conference on Water Resources, Development and Management of Afghanistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ismail Khan in December 2010-cropped.jpg,,,,,,,,,,,"<!-- for military awards - appears as ""Awards"" if |awards= is not set -->",,,,,,,,,,,,Ismail Khan,,,,,,,,,,,,,,,,,,,"Politician, former [[Afghan mujahideen|Mujahideen]] leader",,,,,,,,,,,,,,,,,[[Jamiat-e-Islami]],,,,,,,,Mulla Yaar Mohammad,,[[Hamid Karzai]],,[[Hamid Karzai]],,,,,,,,,,[[Captain (armed forces)|Captain]],,,,,,,,,,,,,1967–2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Mohammad Arif Noorzai]],,Sayed Mohammad Khairkhah,Mullah Yaar Mohammad,,,,,October 2013,,12 September 2004,1997,,2004,,2001,1992,,,,,,[[Ministry of Water and Energy (Afghanistan)|Minister of Energy and Water]],[[List of governors of Herat|Governor of Herat Province]],,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,{{Birth based on age at death|71|2011|03|08}},,"{{lang|so|Qooxle}} or {{lang|so|Carmaale}}, [[Kebri Dahar]], [[Somali Region]]",,,,,,,,,,,,,,,,,,,,,[[Salafi]],,,,,,,{{Death date|2011|03|08}},[[Mecca]] Saudi Arabia,,,,,,[[Sunni]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Sheikh]],[[Mufti]],,,}},,,,[[Shafi'i]],,,,,,,,,,,,,,,,,,,Omar Farouk,,,,,,[[Somali nationality law|Somali]],,,,,,ar,Shiikh Cumar Faaruuq Cabdi Suldaan <br/> شيخ عمر فاروق حاجي عبدي سلطان,so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Islam]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
