alias,allegiance,alma_mater,alt,appointer,awards,battles,birth_date,birth_name,birth_place,birthname,branch,caps1,caps10,caps11,caps2,caps3,caps4,caps5,caps6,caps7,caps8,caps9,caption,careerhighlights,children,classification,club,club-update,club1,clubnumber,clubs1,clubs10,clubs11,clubs2,clubs3,clubs4,clubs5,clubs6,clubs7,clubs8,clubs9,coach,college,collegeteam,commands,constituency,country,current_team,currentclub,death_date,death_place,debutdate,debutopponent,debutstadium,debutteam,disability_class,doctoral_advisor,draftpick,education,embed,event,father,fideid,field,first,full_name,fullname,games_goals1,genres,goals1,goals10,goals11,goals2,goals3,goals4,goals5,goals6,goals7,goals8,goals9,guernsey,headercolor,height,height_ft,height_in,high_school,highestranking,highlights,honorific-suffix,honours,iccf_peakrating,iccf_rating,image,image_size,imagesize,introducer,known_for,language,last,manageryears1,manageryears2,medaltemplates,module,name,national_team,nationalcaps1,nationalcaps2,nationalcaps3,nationalcaps4,nationalcaps5,nationalgoals1,nationalgoals2,nationalgoals3,nationalgoals4,nationalgoals5,nationality,nationals,nationalteam-update,nationalteam1,nationalteam2,nationalteam3,nationalteam4,nationalteam5,nationalyears1,nationalyears2,nationalyears3,nationalyears4,nationalyears5,native_name,native_name_lang,nickname,nicknames,notable_works,ntupdate,number,occupation,office,office3,olympics,order,organization,originalteam,other_names,otherparty,p,paralympics,partner,party,pastteams,pb,pcupdate,peakranking,peakrating,pfr,portrayer,position,predecessor,predecessor3,primeminister,pseudonym,rank,regionals,relations,relatives,s,series,serviceyears,show-medals,signature,sport,spouse,statsend,status,strokes,successor,successor3,t,term3,term_end,term_start,title,totalcaps,totalgoals,turnedpro,undraftedyear,unit,updated,vicepresident,website,weight,weight_lb,work_institution,works,worlds,years,years1,years10,years11,years2,years3,years4,years5,years6,years7,years8,years9,years_active,yearsactive,youthclubs1,youthclubs2,youthclubs3,youthyears1,youthyears2,youthyears3
,,,,,,,{{birth date and age|df=yes|1988|5|24}},,"[[Campinas]], [[São Paulo (state)|São Paulo]]",,,,,,,,,,,,,,Dias at the [[Laureus World Sports Awards|25th Laureus World Sports Awards]] in 2024,,,,,,,,,,,,,,,,,,,,,,,,{{BRA}},,,,,,,,,"[[S5 (classification)|S5, SB4, SM5]]",,,,,,,,,,Daniel de Faria Dias,,,,,,,,,,,,,,,,yellow -->,,,,,Gold Medal in Rio 2016 -->,,,,,,25th Laureus World Sports Awards - Red Carpet - Daniel Dias - 240422 180020 (cropped).jpg,,,,,,,,,{{MedalSport | Men's [[swimming (sport)|swimming]]}} {{MedalCountry|{{BRA}}}} {{MedalCount|total=yes,,Daniel Dias,,,,,,,,,,,,Brazilian <!-- Infobox swimmer does not support the following parameter:,,,,,,,,,,,,,,,Dani,,,,,,,,,,,,,,,Rio 2016,,,,,,,,,,,,,,,,,,,,,,,,Men's [[Swimming (sport)|Swimming]],,,,,,,,,,,,,,,,,,,{{URL|www.danieldias.esp.br/}} <!-- Infobox swimmer does not support the following parameters:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,{{birth date and age|1980|1|10}},,"[[Buenos Aires]], Argentina",,,20,,,102,9,11,44,14,23,240,15,Morales in 2010,,,,,,,,[[Club Atlético Lanús|Lanús]],,,[[Arsenal de Sarandí]],[[Club Atlético Lanús|Lanús]],[[Newell's Old Boys]],[[Arsenal de Sarandí]],[[Instituto Atlético Central Córdoba|Instituto]],[[UD Vecindario|Vecindario]],[[Real Salt Lake]],[[FC Dallas]],,,,,,,,[[Inter Miami CF]] (assistant manager),,,,,,,,,,,,,,,,,,Javier Damián Morales,,,0,,,14,0,1,1,0,5,49,1,,,{{height|ft=5|in=9}},,,,,,,,,,Javier Morales.jpg,,,,,,,2023      |managerclubs1 = [[Inter Miami CF|Inter Miami]] (interim),2023–     |managerclubs2 = [[Inter Miami CF|Inter Miami]] (assistant) }},,,Javier Morales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Midfielder|Attacking midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,478,71,,,,,,,,,,,,,1998–2000,,,2000–2003,2003,2004,2004–2005,2006,2006–2007,2007–2016,2017,,,,,,,,
,,,,,,,{{Birth date and age|1964|12|5|mf=y}},,"[[Chicago]], Illinois, U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Stanford Cardinal|Stanford University]],,,,,,,,,,,,,,,,,,,,,,,Pedro Pablo Morales Jr.,,,,,,,,,,,,,,,,{{convert|6|ft|2|in|m|abbr=on}},,,,,,,,,,<!-- Only free-content images are allowed for depicting living people -- see [[WP:NONFREE]]. -->,<!-- Only for images narrower than 220 pixels -->,,,,,,,,{{MedalSport | Men's swimming}} {{MedalCountry | the {{USA}}}} {{MedalCompetition | [[Swimming at the Summer Olympics|Olympic Games]]}} [[File:Olympic rings.svg|center|80px]] {{MedalGold | [[1984 Summer Olympics|1984 Los Angeles]]| [[Swimming at the 1984 Summer Olympics – Men's 4 × 100 metre medley relay|4x100 m medley]]}} {{MedalGold | [[1992 Summer Olympics|1992 Barcelona]]| [[Swimming at the 1992 Summer Olympics - Men's 100 metre butterfly|100 m butterfly]]}} {{MedalGold | 1992 Barcelona| [[Swimming at the 1992 Summer Olympics – Men's 4 × 100 metre medley relay|4x100 m medley]]}} {{MedalSilver | 1984 Los Angeles| [[Swimming at the 1984 Summer Olympics - Men's 100 metre butterfly|100 m butterfly]]}} {{MedalSilver | 1984 Los Angeles| [[Swimming at the 1984 Summer Olympics - Men's 200 metre individual medley|200 m medley]]}} {{MedalCompetition | [[FINA World Aquatics Championships|World Championships (LC)]]}} {{MedalGold | [[1986 World Aquatics Championships|1986 Madrid]] | 100 m butterfly}} {{MedalGold | [[1986 World Aquatics Championships|1986 Madrid]] | 4x100 m medley}} {{MedalCompetition | [[Pan Pacific Swimming Championships|Pan Pacific Championships]]}} {{MedalGold | [[1985 Pan Pacific Swimming Championships|1985 Tokyo]] | 100 m butterfly}} {{MedalGold | [[1985 Pan Pacific Swimming Championships|1985 Tokyo]] | 200 m medley}} {{MedalGold | [[1985 Pan Pacific Swimming Championships|1985 Tokyo]] | 4x100 m medley}} {{MedalGold | [[1987 Pan Pacific Swimming Championships|1987 Brisbane]] | 100 m butterfly}} {{MedalGold | [[1987 Pan Pacific Swimming Championships|1987 Brisbane]] | 4x100 m medley}} {{MedalGold | [[1989 Pan Pacific Swimming Championships|1989 Tokyo]] | 4x100 m medley}} {{MedalBronze | [[1987 Pan Pacific Swimming Championships|1987 Brisbane]] | 200 m medley}} {{MedalCompetition | [[Pan American Games]]}} {{MedalSilver | [[Swimming at the 1983 Pan American Games|1983 Caracas]] | 100 m butterfly}} }},,Pablo Morales,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Butterfly swimming|Butterfly]], [[freestyle swimming|freestyle]]",,,,,,,,,,,,,,,,{{convert|187|lb|kg|abbr=on}},,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,{{birth date and age|df=yes|1991|2|16}},,"[[Chusovoy]], Soviet Union",,,,,,,,,,,,,,Ivanova in 2018,,,,,,,,,,,,,,,,,,,,,,,,{{flagicon|RUS}} [[Russia]],,,,,,,,,,,,,,Singles,,,,,,Tatiana Ivanovna Ivanova,,,,,,,,,,,,,,,lightsteelblue,1.74 m,,,,,,,,,,2018-11-21 Rennrodel-Weltcup Innsbruck-Igls StP 5226 LR10 by Stepro.jpg,,,,,,,,,{{MedalSport|Women's [[luge]]}} {{MedalCountry|{{flagIOC|ROC|2022 Winter}}}} {{MedalOlympic}} {{MedalBronze|[[2022 Winter Olympics|2022 Beijing]]|[[Luge at the 2022 Winter Olympics – Women's singles|Singles]]}} {{MedalCountry| {{RUS}}}} {{MedalOlympic}} {{MedalSilver|[[2014 Winter Olympics|2014 Sochi]]|[[Luge at the 2014 Winter Olympics&nbsp;– Team relay|Team relay]]}} {{MedalCompetition|[[FIL World Luge Championships|World Championships]]}} {{MedalGold|[[2019 FIL World Luge Championships|2019 Winterberg]]|[[2019 FIL World Luge Championships – Team relay|Team relay]]}} {{MedalSilver|[[FIL World Luge Championships 2012|2012 Altenberg]]|Singles}} {{MedalSilver|[[FIL World Luge Championships 2012|2012 Altenberg]]|Team relay}} {{MedalSilver|[[2015 FIL World Luge Championships|2015 Sigulda]]|[[2015 FIL World Luge Championships – Women's singles|Singles]]}} {{MedalSilver|[[2015 FIL World Luge Championships|2015 Sigulda]]|[[2015 FIL World Luge Championships – Team relay|Team relay]]}} {{MedalSilver|[[2020 FIL World Luge Championships|2020 Sochi]]|[[2020 FIL World Luge Championships – Women's sprint|Sprint]]}} {{MedalBronze|[[2016 FIL World Luge Championships|2016 Königssee]]|[[2016 FIL World Luge Championships – Women's singles|Singles]]}} {{MedalBronze|[[2017 FIL World Luge Championships|2017 Igls]]|[[2017 FIL World Luge Championships – Team relay|Team relay]]}} {{MedalCompetition|[[FIL European Luge Championships|European Championships]]}} {{MedalGold|[[FIL European Luge Championships 2010|2010 Sigulda]]|Singles}} {{MedalGold|[[FIL European Luge Championships 2012|2012 Paramonovo]]|Singles}} {{MedalGold|2012 Paramonovo|Team relay}} {{MedalGold|[[FIL European Luge Championships 2018|2018 Sigulda]]|Singles}} {{MedalGold|2018 Sigulda|Team relay}} {{MedalGold|[[2020 FIL European Luge Championships|2020 Lillehammer]]|[[2020 FIL European Luge Championships – Women's singles|Singles]]}} {{MedalGold|[[2021 FIL European Luge Championships|2021 Sigulda]]|[[2021 FIL European Luge Championships – Women's singles|Singles]]}} {{MedalGold|2021 Sigulda|[[2021 FIL European Luge Championships – Team relay|Team relay]]}} {{MedalSilver|[[FIL European Luge Championships 2014|2014 Sigulda]]|Singles}} {{MedalSilver|[[FIL European Luge Championships 2015|2015 Sochi]]|Team relay}} {{MedalSilver|[[2017 FIL European Luge Championships|2017 Königssee]]|[[2017 FIL European Luge Championships – Women's singles|Singles]]}} {{MedalBronze|[[FIL European Luge Championships 2013|2013 Oberhof]]|Team relay}} {{MedalBronze|2015 Sochi|Singles}} {{MedalBronze|[[FIL European Luge Championships 2016|2016 Altenberg]]|Singles}} {{MedalBronze|2016 Altenberg|Team relay}} {{MedalBronze|[[2022 FIL European Luge Championships|2022 St. Moritz]]|[[2022 FIL European Luge Championships – Team relay|Team relay]]}} }},,Tatiana Ivanova,,,,,,,,,,,,Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,[[Luge]],,,,,,,,,,,,,,,,,,,,65 kg,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,{{Birth date and age|1995|10|23}},,"[[Douglas, Georgia]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[UCF Knights football|UCF]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,[[Coffee High School (Georgia)|Coffee (GA)]],,"* [[Colley Matrix]] national champion ([[2017 UCF Knights football team|2017]]) * 2× Second-team [[American Athletic Conference|All-AAC]] (2017, 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* [[New York Jets]] ({{NFL Year|2019}})* * [[Cincinnati Bengals]] ({{NFL Year|2019}})* * [[Dallas Cowboys]] ({{NFL Year|2019}}) * [[Seattle Seahawks]] ({{NFL Year|2020}})* * [[Kansas City Chiefs]] ({{NFL Year|2021}})* * [[San Francisco 49ers]] ({{NFL Year|2021}})* * [[Carolina Panthers]] ({{NFL Year|2022}})* * [[Cleveland Browns]] ({{NFL Year|2022}})*,,,,,MillWy00 }},,[[Offensive tackle]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,298,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,{{birth date and age|1954|5|2|df=yes}},,"[[Ponzano Veneto]], Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bianca Rossi,,,,,,,,,,,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Basketball]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,{{Birth date and age|1996|01|31|df=y}},,"[[Gothenburg]], Sweden",,,13,0,,6,27,42,69,43,16,27,6,,,,,,2 June 2025,,,[[Helsingborgs IF]],[[Randers FC|Randers]],,→ [[HIF Akademi]] (loan),→ [[Varbergs BoIS]] (loan),[[Varbergs BoIS]],[[IK Sirius Fotboll|IK Sirius]],[[Djurgårdens IF Fotboll|Djurgårdens IF]],→ [[Mjällby AIF]] (loan),[[Lech Poznań]],→ [[Viborg FF|Viborg]] (loan),,,,,,,,[[Randers FC|Randers]],,,,,,,,,,,,,,,,,,Nils Erik Elias Andersson,,,1,0,,0,3,4,8,2,1,0,0,,,{{height|m=1.78}},,,,,,,,,,"Elias Andersson (Sirius, 2020, cropped).jpg",,,,,,,,,{{Medal|Sport|Men's [[Association football|football]]}} {{Medal|Country|{{fb|SWE}}}} {{MedalCompetition|[[FIFA U-17 World Cup]]}} {{Medal|3rd|[[2013 FIFA U-17 World Cup|2013 UAE]]|}},,Elias Andersson,,28,12,1,,,4,1,1,,,,,"21:36, 13 January 2023 (UTC) }}",[[Sweden men's national under-17 football team|Sweden U17]],[[Sweden men's national under-19 football team|Sweden U19]],[[Sweden men's national football team|Sweden]],,,2011–2013,2014–2015,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Left-back]], [[Midfielder|central midfielder]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013–2015,2025–,,2013,2015,2016–2017,2017–2020,2021–2023,2021,2023–2025,2025,,,[[Hässleholms IF]],[[Helsingborgs IF]],,{{0|0000}}–2010,2010–2012,
,,,,,,,6 January 1934,,"[[Moscow]], [[Russian Soviet Federative Socialist Republic|Russian SFSR]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|df=y|2020|12|01|1934|01|06}},"Moscow, [[Russia]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nina Ivanova,,,,,,,,,,,,[[Russians|Russian]],,,,,,,,,,,,,,,,,}},,,Actress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Headshot of Castillo facing left against a natural background }},,,,{{birth date and age|1969|10|19|df=y}},José Pedro Castillo Terrones,"[[Puña]], Peru",,,,,,,,,,,,,,Castillo in 2022,,2,,,,,,,,,,,,,,,,,,,,,,Peru,,,,,,,,,,,,"[[César Vallejo University]] ([[Bachelor of Arts|BA]], [[Master of Arts|MA]])",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Order of the Sun of Peru|OSP]] [[Order of the Condor of the Andes|OCA]],,,,Pedro Castillo portrait.png,,,,,,,,,,,Pedro Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President of Peru,,,63rd,,,,"{{ubl|[[Possible Peru]] (2002–2017)|[[Free Peru]] (2020–2022)|[[Independent politician|Independent]] (until 2002, 2017-2020, 2022–2024)}}",,,,{{ill|Todo con el Pueblo|es}} (since 2024),,,,,,,,,[[Francisco Sagasti]],,[[Guido Bellido]]<br>[[Mirtha Vásquez]]<br>[[Héctor Valer]]<br>[[Aníbal Torres]]<br>[[Betssy Chávez]],,,,,,,,,,Pedro Castillo signature.svg,,{{marriage|[[Lilia Paredes]]|2000}},,,,[[Dina Boluarte]],,,,7 December 2022,28 July 2021,,,,,,,,'''First Vice President'''<BR>Dina Boluarte<BR>'''Second Vice President'''<BR>''Vacant'',,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Müller on a soccer pitch,,,,"{{birth date and age|1989|9|13|df=y}}<ref name=""FIFA""/>",,"[[Weilheim in Oberbayern]], West Germany",,,35,,,503,5,,,,,,,Müller with [[FC Bayern Munich|Bayern Munich]] in 2025,,,,,"10:13, 6 October 2025 (UTC)",,13,[[FC Bayern Munich II|Bayern Munich II]],,,[[FC Bayern Munich|Bayern Munich]],[[Vancouver Whitecaps FC|Vancouver Whitecaps]],,,,,,,,,,,,,,[[Vancouver Whitecaps FC|Vancouver Whitecaps]],,,,,,,,,,,,,,,,,"Thomas Müller<ref name=""FIFA"">{{cite web |url=https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf |title=FIFA Club World Cup 2025™ – Squad List: FC Bayern München (GER) |publisher=FIFA |page=15 |date=4 July 2025 |access-date=18 July 2025 |archive-url=https://web.archive.org/web/20250713085533/https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf |archive-date=13 July 2025 |url-status=live }}</ref>",,,,16,,,150,5,,,,,,,,,"1.85 m<ref name=""FIFA""/>",,,,,,,,,,FC Red Bull Salzburg gegen Bayern München (2025-01-06 Testspiel) 19.jpg,,,,,,,,,{{MedalSport|Men's [[Association football|football]]}} {{MedalCountry|{{fb|GER}}}} {{MedalCompetition|[[FIFA World Cup]]}} {{Medal|W|[[2014 FIFA World Cup|2014]]|}} {{Medal|3rd|[[2010 FIFA World Cup|2010]]|}} {{MedalCompetition|[[UEFA European Championship]]}} {{Medal|3rd|[[UEFA Euro 2012|2012]]|}} }},,Thomas Müller,,6,3,1,6,131,0,0,1,1,45,,,,[[Germany national youth football team|Germany U16]],[[Germany national youth football team|Germany U19]],[[Germany national youth football team|Germany U20]],[[Germany national under-21 football team|Germany U21]],[[Germany national football team|Germany]],2004–2005,2007,2008,2009,2010–2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Forward (association football)|Forward]], [[attacking midfielder]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007–2009,,,2008–2025,2025–,,,,,,,,,TSV Pähl,[[FC Bayern Munich Junior Team|Bayern Munich]],,1993–2000,2000–2007,
