100s/50s1,academic_advisors,allegiance,alma_mater,alt,appearances1,appearances2,appearancesa,author,awards,bat avg1,bats,batting,battles,best bowling1,birth_date,birth_name,birth_place,books,bowl avg1,bowling,branch,caps1,caps2,caps3,caps4,caps5,caps6,caps7,caps8,caption,catches/stumpings1,children,club,club-update,club1,club2,clubnumber,clubs1,clubs2,clubs3,clubs4,clubs5,clubs6,clubs7,clubs8,coach,coaching,college1,college2,collegecaps1,collegecaps2,collegegoals1,collegegoals2,collegeteam,collegeyears1,collegeyears2,column1,columns,commands,country,cover_artist,creator,currentclub,date,death_date,death_place,debutdate,debutleague,debutteam,debutyear,deliveries1,doctoral_advisor,doctoral_students,education,english_pub_date,event,family,female,field,fieldgoals1,fieldgoals2,fieldgoalsa,finaldate,finalteam,finalyear,first,fivefor1,followed_by,footnotes,full_name,fullname,gender,genre,goals1,goals2,goals3,goals4,goals5,goals6,goals7,goals8,goalsa,headercolor,height,highestranking,highlights,illustrator,image,image_caption,image_size,imagesize,international,known_for,language,last,lastodiagainst,lastodidate,lastodiyear,lastt20iagainst,lastt20idate,lastt20iyear,matches1,medal_templates,medaltemplates,media_type,movement,name,nationalcaps1,nationalgoals1,nationality,nationals,nationalteam-update,nationalteam1,nationalyears1,new,nickname,nicknames,notable_students,occupation,odicap,odidebutagainst,odidebutdate,odidebutyear,office,olympics,oneodi,onet20i,pb,pcupdate,points1,points2,pointsa,portrayer,position,preceded_by,prizes,pub_date,rank,regionals,relatives,residence,retired,role,runs1,series,serviceyears,show-medals,signature,source,sport,spouse,stat1label,stat1value,stat2label,stat2value,stat3label,stat3value,statleague,statyear,strokes,successor,t20icap,t20idebutagainst,t20idebutdate,t20idebutyear,team,teama,teams,tenfor1,term_start,term_start1,throws,title_orig,top score1,tries1,tries2,triesa,turnedpro,updated,website,weight,wickets1,work_institution,worlds,year1,year1end,year1start,year2end,year2start,yearaend,yearastart,years1,years2,years3,years4,years5,years6,years7,years8,years_active,youthclubs1,youthyears1
,,,,,,,,,,,,,,,{{birth date and age|2004|2|4|df=yes}},,"[[Brisbane]], [[Queensland]], Australia",,,,,,,,,,,,,,,,"[[St Joseph's College, Nudgee|Nudgee College]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{MedalSport|Men's [[Swimming (sport)|swimming]]}} {{MedalCountry|{{AUS}}}} {{MedalCompetition|[[FINA World Aquatics Championships|World Championships (LC)]]}} {{MedalBronze| [[Swimming at the 2025 World Aquatics Championships|2025 Singapore]] | [[Swimming at the 2025 World Aquatics Championships – Men's 200 metre butterfly|200 m butterfly]]}} {{MedalCompetition|[[FINA World Swimming Championships (25 m)|World Championships (SC)]]}} {{MedalSilver | [[2024 World Aquatics Swimming Championships (25 m)|2024 Budapest]]| [[2024 World Aquatics Swimming Championships (25 m) – Men's 4 × 200 metre freestyle relay|4×200 m freestyle]] }},,,Harrison Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes }},,,,,,,,,,,,,"[[Butterfly stroke|Butterfly]], [[freestyle swimming|freestyle]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,{{birth date and age|1999|11|25|df=y}}<ref>{{cite web|url=https://www.uipmworld.org/athlete/olivia-green|title=Profile of Olivia Geeen|publisher=uipmworld.com|access-date=2024-05-02}}</ref>,,,,,,,,,,,,,,,Olivia Green in 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Great Britain]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023 m. pasaulio šiuolaikinės penkiakovės čempionatas 20230827 121624 Olivia Green.jpg,,,,,,,,,,,,,,,,{{MedalSport|Women's [[modern pentathlon]]}} {{MedalCountry|{{GBR2}}}} {{MedalCompetition|[[World Modern Pentathlon Championships|World Championships]]}} {{MedalGold|[[2022 World Modern Pentathlon Championships|2022 Alexandria]]|Team}} {{Medal|Silver|[[2023 World Modern Pentathlon Championships|2023 Bath]]|Team}} {{Medal|Silver|[[2025 World Modern Pentathlon Championships|2025 Kaunas]]|Team}} {{Medal|Competition|[[European Games]]}} {{Medal|Bronze|[[2023 European Games|2023 Kraków-Małopolska]]|[[Modern pentathlon at the 2023 European Games – Women's individual|Individual]]}} {{MedalCompetition|World Junior Championships}} {{Medal|Bronze|2019 Drzonków|Team}} {{Medal|Bronze|2019 Drzonków|Mixed relay}} {{MedalCompetition|European Under-24 Championships}} {{Medal|Gold|2021 Drzonków|Individual}} {{Medal|Gold|2021 Drzonków|Team}} {{Medal|Bronze|2021 Drzonków|Mixed relay}} {{MedalCompetition|European Junior Championships}} {{Medal|Silver|2019 Drzonków|Women's relay}} {{Medal|Bronze|2019 Drzonków|Team}} }},,,Olivia Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,[[Modern pentathlon]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0/0,,,,,,,,,,5.00,,Right-handed,,3/41,{{birth date and age|1997|8|27|df=yes}},,"[[Adelaide]], [[South Australia]]",,29.73,Right-arm [[Fast bowling|medium]],,,,,,,,,,,5/–,,,,[[South Australian Scorpions|South Australia]],,,,,,,,,,,,,,,,,,,,,,[[List A cricket|WLA]],1,,Australia,,,,17 September 2023,,,,,,,848,,,,,,,true,,,,,,,,,0,,,,Brooke Lee Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,Brooke Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Bowling (cricket)|Bowler]],10,,,,,https://cricketarchive.com/Archive/Players/1165/1165021/1165021.html CricketArchive }},,,,,,,,,,,,,,,,,,,,0,,,,,6,,,,,,,,23,,,{{nowrap|2016/17–2022/23}},,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1992,,"[[Chicago]], [[Illinois]], U.S.",,,,,,,,,,,,,Lee in 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[University of Illinois]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File:20250925 Mia Lee at her Metro T-mobile event on 53rd Street in Hyde Park Chicago 04.jpg,,,,,,,,,,,,,,,,,,}},Mia Lee,,,,,,,,,,,,Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,United States,,,,,,,,,,,[[Gulf War]],,,<!-- same as name -->,,,,,[[United States Navy]],,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olivia Hill,,,,,,,,,,,,,,,,,At-Large Member of the<br />[[Metropolitan Council of Nashville and Davidson County]],,,,,,,,,,,,,,,,,,,,,,1986–1995 }},,,,,,,,,,,,,,,,,,,,,,,,September 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Right,,,,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Death date and age|1942|09|07|1920}},"[[Geneva, Ohio]], U.S.",,[[Negro league baseball]],[[Newark Eagles]],1937,,,,,,,,,,,,,,[[Cincinnati Clowns]],1942,,,,,,,,,,,,,,,,,,,,,}},,Ulysses Joe Brown.jpg,,,,,,,,,,,,,,,,,,,Ulysses Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Catcher]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*[[Newark Eagles]] (1937–1938) *[[Chicago American Giants]] (1940) *[[Cincinnati Clowns]] (1942),,,,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivian Johnson,,Reggie Johnson }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Hank Steinberg]],,,,,,,,,,,,,,,Alton Johnson (brother),,,,,,,,,"""Pilot""",,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,"""Undertow""",,,,,,,,,,,,Vivian Johnson,,,,,,,,,,,,[[FBI Special Agent]],,,,,,,,,,,,,,[[Marianne Jean-Baptiste]],,,,,,,,,,,,[[Without a Trace]],,,,,,Marcus Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,{{flagu|United States|1960}},"[[United States Military Academy]] ([[Bachelor of Science|BS]])<br />[[Magdalen College, Oxford]] ([[Bachelor of Arts|BA]])<br />[[U.S. Army Command and General Staff College]] ([[Master of Military Art and Science|MMAS]])",,,,,,''[[List of awards and nominations received by Wesley Clark|See all]]'',,,,{{tree list}} *[[Cold War]] **[[Vietnam War]] *[[Yugoslav Wars]] **[[Kosovo War]] ***[[Battle of Košare]] ***[[Battle of Paštrik]] ***[[NATO bombing of Yugoslavia]] {{tree list/end}},,{{birth date and age|1944|12|23|df=y}},Wesley J. Kanne,"[[Chicago]], [[Illinois]], U.S.",,,,{{army|United States}},,,,,,,,,"Official portrait, {{circa|1997–2000}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Supreme Headquarters Allied Powers Europe|Supreme Allied Commander Europe]]<br/>[[United States European Command]]<br/>[[United States Southern Command]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"General Wesley Clark official photograph, edited.jpg",,,,,,,,,,,,,,,,,,,Wesley Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Dodseal|USAO10-2015|25}} [[General (United States)|General]],,,,,,,,1966–2000,,Wesley Clark signature.gif,,,{{marriage|Gertrude Kingston|1967}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{URL|https://wesleykclark.com/}} }},,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"[[Paula Danziger]], [[Tony Ross]] (illustrator, all titles) [[Bruce Coville]] (revival), [[Elizabeth Levy]] (revival)",,,,,,,,,,"Amber Brown Is Not a Crayon <br /> You Can't Eat Your Chicken Pox, Amber Brown <br /> Amber Brown Goes Fourth <br /> Amber Brown Wants Extra Credit <br /> Forever Amber Brown <br /> Amber Brown Sees Red <br /> Amber Brown Is Feeling Blue <br /> I, Amber Brown <br /> Amber Brown Is Green With Envy<br />What a Trip, Amber Brown (''A is for Amber'')<br />It's Justin Time, Amber Brown (''A is for Amber'')<br />Get Ready for Second Grade, Amber Brown (''A is for Amber'')<br />Orange You Glad It's Halloween, Amber Brown? (''A is for Amber'')<br />It's a Fair Day, Amber Brown (''A is for Amber'')<br />Second Grade Rules, Amber Brown (''A is for Amber'')<br />Amber Brown is Tickled Pink<br />Amber Brown is On the Move<br />Amber Brown Horses Around",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Paula Danziger,,,,,,,,,,,,,,,,,,,,,,,,,,,}},,,,,"[[Children's literature]], [[realistic fiction]]",,,,,,,,,,,,,,Paula Danziger,Amber Brown Is Not a Crayon.jpg,"Cover artwork of ''Amber Brown Is Not a Crayon'', the first title in the series",,,,,English,,,,,,,,,,,,,Amber Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1994-2003 (original), 2012-2015 (revival)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,{{Birth date and age|1977|10|3|mf=y}},,"[[Livingston, New Jersey]]",,,,,,,,,,,,,Clark in Fiji in April 2014,,,,,,,,,,,,,,,,,,,,,,,,[[Florida Gators track and field|University of Florida]],,,,,,,,,,,,,,,,,,,,,,[[800 meters]],,,,,,,,,,,,,,,Hazel Mae Clark,,,,,,,,,,,,,{{convert|5|ft|10|in|m|abbr=on}},6th in the world,,,Hazel Clark 2014.jpg,,,<!-- Only for images narrower than 220 pixels. -->,,,,,,,,,,,,,}},,,Hazel Clark,,,{{USA}},Six national titles,,,,,"""Peachy""",,,,,,,,,Olympic finalist,,,,,,,,,,,,,,,,,,,,,,,,,[[Track and field]],,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,,{{URL|clarkfamontop.com}},{{convert|121|lbs|kg|abbr=on}},,,,,,,,,,,,,,,,,,,,,
