alma_mater,alt,awards,birth_date,birth_name,birth_place,birthname,caption,children,citizenship,creed,death_cause,death_date,death_place,denomination,education,embed,era,ethnicity,expand_influenced,expand_influences,father,field,fields,footnotes,genre,honorific_prefix,honorific_suffix,image,image_size,image_upright,influenced,influences,ism,ism-ar,jurisprudence,known_for,kunya,kunya-ar,language,laqab,laqab-ar,lineage,maddhab,main_interests,major_works,module,module1,monuments,mother,movement,name,nasab,nasab-ar,nationality,native_name,native_name_lang,nisba,nisba-ar,nisbah,nisbah-ar,notable_ideas,notable_students,notable_works,notableworks,occupation,other names,other_names,partner,period,portaldisp,pronunciation,pseudonym,region,relatives,religion,residence,resting_place,school,school_tradition,signature,signature_alt,spouse,students,subject,teachers,title,website,workplaces,works,years_active
,,,9th century,,"[[Fergana valley]], [[Sogdia]]<ref>{{cite book |last1=Gillispie |first1=Charles Coulston |title=Dictionary of Scientific Biography |publisher=Scribner in New York |date=1970|pages=[https://archive.org/details/dictionaryofscie02gill/page/541 541–545]|url=https://archive.org/details/dictionaryofscie02gill|url-access=registration |isbn=0-684-10114-9}}</ref>",,The statue of al-Farghani in Cairo,,,,,9th century,Egypt }},,,,[[Islamic Golden Age]],,,,,,,,,,,CairoRodaAlfraganusMonument.jpg,,,"[[Christopher Columbus]], [[Nicolaus Copernicus]], [[Abu 'Ubayd al-Juzjani|Al-Jūzjānī]], [[al-Bīrūnī]], [[Al-Qabisi]]",[[Ptolemy]],,,,,,,,,,,,[[Astronomy]],"''The compendium ({{transliteration|ar|jawāmiʿ}}) of the Almagest'', Treatise on the Astrolabe",,,,,,Al-Farghānī,,,,أبو العبّاس أحمد بن محمد بن كثير الفرغاني,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,{{circa|980}},,"Afshana, [[Transoxiana]], [[Samanid Empire]]",,"Modern portrait, 1952",,,,,"{{death date and age|1037|6|22|980||df=y}}<ref name=""Islam p. 562"">Encyclopedia of Islam: Vol 1, p. 562, Edition I, 1964, Lahore, Pakistan</ref>","[[Hamadan]], [[Kakuyids|Kakuyid Emirate]]",,,,[[Islamic Golden Age]],,,,,,,,,,,"Avicenna Bust, left profile (cropped).jpg",,,,,,,,,,,,,,,,{{startplainlist|class=nowrap}} * {{hlist |[[Medicine in the medieval Islamic world|Medicine]] |[[History of aromatherapy|Aromatherapy]]}} * [[Early Islamic philosophy#Avicennism|Philosophy and logic]] * ''[[Ilm al-Kalam|Kalām]]'' ([[Islamic theology]]) * {{hlist |[[Science in the medieval Islamic world|Science]] |[[Islamic poetry|Poetry]]}} {{endplainlist}},,,,[[Avicenna Mausoleum]],,,Avicenna<br />{{transliteration|fa|Ibn Sina}},,,,ابن سینا,ar,,,,,,,{{startplainlist|class=nowrap}} * ''[[The Book of Healing]]'' * ''[[The Canon of Medicine]]'' {{endplainlist}},,,,{{flatlist |<!--[Already above:] Avicenna--> *Sharaf al-Mulk ({{lang|ar|شرف الملك}}) *Hujjat al-Haq ({{lang|ar|حجة الحق}}) *al-Sheikh al-Ra'is ({{lang|ar|الشيخ الرئيس}}) *{{lang|uz|Ibn-Sino (Abu Ali Abdulloh Ibn-Sino)|italics=no}} *Bu Alī Sīnā&nbsp;({{lang|fa|بو علی سینا}}) }},,,,,,[[Middle Eastern philosophy]] * [[Persian philosophy]],,,,,,"[[Aristotelianism]], [[Avicennism]] }}",,,,,,,,,,,
,,,{{circa|945}}/946 CE,,"[[Jerusalem]], [[Abbasid Caliphate]]",,,,,,,991 CE,[[Fatimid Caliphate]],,,,[[Islamic Golden Age]],,,,,,,,,,,,,,}},[[Abu Zayd al-Balkhi|Al-Balkhi]],,,,,,,,,,,,[[Islamic geography]],''The Best Divisions in the Knowledge of the Regions'',,,,,,Muḥammad ibn Aḥmad Shams al-Dīn Al-Maqdisī <br /> {{Nobold|{{lang|ar|مُحَمَّد ابْن أَحْمَد شَمْس ٱلدِّيْن ٱلْمَقْدِسِي}}}},,,,,,,,,,{{Unbulleted list}},,,,,,,,,,,,,,,,,,[[Abu Zayd al-Balkhi|Balkhi]] school,,,,,,,,,,,
,,,~320 H (~932 CE),,"[[Baghdad]], Abbasid Caliphate",,,,,"[[Mu'tazila]]<ref name=""brill""/>",,"~385 H (~995 CE)<ref name=""brill"">{{EI2|last=Fück |first=J.W. |title=Ibn Al-Nadīm |doi=10.1163/1573-3912_islam_SIM_3317}}</ref>","[[Baghdad]], Abbasid Caliphate","[[Shia Islam|Shia]]<ref name=""brill""/>",,,[[Medieval philosophy|Medieval period]] <br>([[Abbasid dynasty|Later Abbasid era]]),,,,,,,,,,,,,,,,,,,,,,,,,,,"[[History]], [[Arabic literature]]",,{{Infobox religious biography|embed = yes,,,,,Ibn an-Nadīm,,,,,,,,,,,,[[Al-Fihrist|Kitāb al-Fihrist]],,"Bibliographer, Historian }}",,,,,,,,,,[[Islam]],,,,"[[Aristotelianism]]<ref name=""brill""/>",,,,,,,,,,,
,,,776,Abū ʿUthman ʿAmr ibn Baḥr al-Kinānī al-Baṣrī,"[[Basra]], [[Abbasid Caliphate]]",,Syrian stamp of al-Jahiz from 1968,,,,,December 868/January 869 (aged 92-93),"Basra, Abbasid Caliphate","[[Mu'tazila]]<ref>{{cite encyclopedia |title=al-Jāḥiẓ |encyclopedia=Encyclopædia Britannica  |date=7 March 2012 |publisher=Encyclopædia Britannica, inc.|url=https://www.britannica.com/biography/al-Jahiz|access-date=22 June 2020}}</ref>}} }}",,,[[Islamic Golden Age]]/[[Medieval philosophy|Medieval era]],,,,,,,,,,,"Al-Jahiz stamp, 1968, Syria.jpg",,,,,,,,,,,,,,,,"[[Arabic literature]], [[Biology]], [[Trivium]], [[Islamic studies]], [[Islamic theology]]",,{{Infobox religious biography|embed = yes,,,,,al-Jahiz,,,,,,,,,,,,,,,,,,,,,,[[Islamic Philosophy]],,[[Islam]],,,,[[Aristotelianism]],,,,,,,,,,,
,,,{{nowrap |{{birth-date|0965|{{circa}} 965}}  ({{c.|354 [[Islamic calendar|AH]]}})<ref name=Lorch>{{cite encyclopedia |last=Lorch |first=Richard |title=Ibn al-Haytham: Arab astronomer and mathematician |publisher=Encyclopedia Britannica |date=1 February 2017 |url=https://www.britannica.com/biography/Ibn-al-Haytham |access-date=14 January 2022 |archive-date=12 August 2018 |archive-url=https://web.archive.org/web/20180812045403/https://www.britannica.com/biography/Ibn-al-Haytham |url-status=live }}</ref>}},,"[[Basra]], [[Buyid Emirate]]",,,,,,,{{nowrap |{{death-date|1040|{{circa}} 1040}} ({{c.|430 AH}})<ref name=Lorch />}} (aged around 75),"[[Cairo]], [[Fatimid Caliphate]]",,,,,,,,,"[[Physics]], [[mathematics]], [[astronomy]]",,,,,,Ibn al-Haytham crop.jpg,,,,,,,,"''[[Book of Optics]]'', ''[[#Doubts Concerning Ptolemy|Doubts Concerning Ptolemy]]'', [[Alhazen's problem]], [[analysis]],<ref>{{Harvnb|O'Connor|Robertson|1999}}.</ref> [[Catoptrics]],<ref>{{Harvnb|El-Bizri|2010|p=11}}: ""Ibn al-Haytham's groundbreaking studies in optics, including his research in catoptrics and dioptrics (respectively the sciences investigating the principles and instruments pertaining to the reflection and refraction of light), were principally gathered in his monumental opus: Kitåb al-manåóir (The Optics; De Aspectibus or Perspectivae; composed between 1028 CE and 1038 CE).""</ref> [[horopter]], [[Spherical aberration]], [[intromission theory]] of [[visual perception]], [[moon illusion]], [[Experiment|experimental science]], [[scientific method]]ology,<ref>{{Harvnb|Rooney|2012|p=39}}: ""As a rigorous experimental physicist, he is sometimes credited with inventing the scientific method.""</ref> [[Comparative psychology|animal psychology]]<ref>{{Harvnb|Baker|2012|p=449}}: ""As shown earlier, Ibn al-Haytham was among the first scholars to experiment with animal psychology.</ref>",,,,,,,,,,,,,,,Alhazen<br />{{transliteration|ar|Ḥasan Ibn al-Haytham}},,,,{{lang|ar|ابن الهيثم}},,,,,,,,,,,,,,,,,,,,}},,,,,,,,,,,,,,,
,,,27 May 1332,,"[[Tunis]], [[Hafsid dynasty|Hafsid Sultanate]]",,"Bust of Ibn Khaldun in the entrance of the Kasbah of Bejaia, [[Algeria]]",,,"[[Ash'ari]]<ref>{{cite book |last=Doniger |first=Wendy |url = https://archive.org/details/isbn_9780877790440/page/82 |title=Merriam-Webster's Encyclopedia of World Religions |year=1999 |publisher=Merriam-Webstar Inc. |isbn=978-0-87779-044-0 |page=[https://archive.org/details/isbn_9780877790440/page/82 82] |url-access=registration }}</ref><ref name=""maydan"">https://themaydan.com/2017/11/myth-intellectual-decline-response-shaykh-hamza-yusuf/ ""'''Ibn Khaldun on Philosophy:'''  After clarifying what was meant precisely by philosophy in the Islamic tradition, namely the various schools of peripatetic philosophy represented either by Ibn Rushd or Ibn Sina, it should be clear why Ibn Khaldun was opposed to them. His critique of philosophy is an Ash’ari critique, completely in line with the Ash’aris before him, including Ghazali and Fakhr al-din al-Razi, both of whom Ibn Khaldun recommends for those who wish to learn how to refute the philosophers""</ref>",,{{death-date and age|17 March 1406|27 May 1332}},"[[Cairo]], [[Mamluk Sultanate (Cairo)|Mamluk Sultanate]]","[[Sunni]]<ref name=""MPhilosophy"">{{Cite web |title=Ibn Khaldun – His Life and Work |url=http://www.muslimphilosophy.com/ik/klf.htm#Intro |url-status=dead |archive-url=https://web.archive.org/web/20130913010235/http://www.muslimphilosophy.com/ik/klf.htm#Intro |archive-date=13 September 2013 |access-date=25 February 2017}}</ref>",,,,,,,,,,,,,,"Bust of Ibn Khaldun (Casbah of Bejaia, Algeria).jpg",,,{{flatlist}} * [[Ibn al-Khatib]] * [[Abu Yahya ibn al-Sakkak|Ibn al-Sakkak]] * [[Al-Maqrizi]] * [[Saad al-Din bin Ghurab|Ibn Ghurab]] * [[Ibn al-Azraq]] * [[Kâtip Çelebi|Çelebi]] * [[Mustafa Naima]] * [[Ahmed Cevdet Pasha|Ahmed Cevdet]] * [[Traditionalist School (perennialism)|20th-century traditionalism]] * [[Arnold J. Toynbee|Toynbee]] * [[Egon Orowan|Orowan]] * [[Mahdi Amel|Amel]] * [[Auguste Comte|Comte]] {{endflatlist}},"{{flatlist}} * [[Al-Farabi]]<ref>{{Cite book |url = https://books.google.com/books?id=8pmZ5FD_FBEC&pg=PA87 |title = Joseph A. Schumpeter: Historian of Economics: Perspectives on the History of Economic Thought |publisher=Routledge |year=1996 |isbn=978-1-134-78530-8 |editor-first = Laurence S. |editor-last = Moss |page=87 |quote = Ibn Khaldun drited away from Al-Farabi's political idealism.}}</ref> * [[Al-Ghazali]]<ref name=""maydan"" /> * [[Al-Jahiz]]<ref>Shah, Muhammad Sultan. ""Pre-Darwinian Muslim Scholars’ Views on Evolution."" (2017).</ref> * [[Fakhr al-din al-Razi|Al-Razi]]<ref name=""maydan"" /> * [[Sharaf al-Dīn al-Tūsī|Al-Tusi]] * [[Aristotle]] * [[At-Turtushi]]<ref>In al-Muqaddima, Ibn Khaldun cites him as a pioneer in sociology</ref> * [[Avempace|Ibn Bajja]] * [[Averroes|Ibn Rushd]]<ref name=""maydan"" /> * [[Avicenna|Ibn Sina]]<ref name=""maydan"" /> * [[Ibn Abi Zar]] * [[Ibn Hazm]] * [[Al-Tabari|Ibn Jarir]] * [[Al-Mawardi]]<ref>{{cite book |last1= Ayub |first1=Zulfiqar |title=The Biographies of the Elite Lives of the Scholars, Imams & Hadith Masters | publisher=Zulfiqar Ayub Publications| year=2015 |isbn= |page=200}}{{ISBN?}}</ref> *Al-Tilmisani<ref>{{Cite encyclopedia|title=Ibn al-Sakkak, Muhammad ibn Abi Ghalib|year=2002|encyclopedia=Ma'lamat al-Maghrib (Encyclopedia of Morocco)|first=Mohamed|last=Hajji|volume=15|editor1-last=Toufiq|editor1-first=Ahmed|editor2-last=Hajji|editor2-first=Mohamed|publisher=al-Jamī‘a al-Maghribiyya li-l-Ta’līf wa-l-Tarjama wa-l-Nashr|editor-link=Ahmed Toufiq|language=ar|page=5028}}</ref> {{endflatlist}}",ʿAbd al-Raḥmān,عَبْدُ الرَّحْمَٰنِ,[[Maliki]]<ref>{{cite encyclopedia |year=2010 |title=Ibn Khaldun |encyclopedia=The Biographical Encyclopaedia of Islamic Philosophy |publisher=[[Continuum International Publishing Group|Continuum]] |last=Ahmad |first=Zaid |editor-last=Oliver Leama |doi=10.1093/acref/9780199754731.001.0001 |isbn=978-0-19-975473-1}}</ref>,,Abū Zayd,أَبُو زَيْدٍ,,Walī al-Dīn,وَلِيُّ الدِّيْنِ,,,{{cslist| [[Historiography]]| [[sociology]]| [[economics]]| [[demography]]| [[political science]]}},,,{{infobox Arabic name|embed=yes,,,,Ibn Khaldun<br />{{lang|ar|ابن خلدون}},ibn Muḥammad ibn Muḥammad ibn Abī Bakr Muḥammad ibn al-Ḥasan ibn Khaldūn,بن مُحَمَّد بن مُحَمَّد بن أَبِي بَكْر مُحَمَّد بن الحَسَن  بن خَلْدُون,,,,al-Ḥaḍramī,الْحَضْرَمِيُّ }},,,"{{plainlist}} * [[Asabiyyah]] * [[State formation#Conflict theories|Conquest theory of state formation]] * [[Social cycle theory|Cyclical theory of empires]] * Economic growth theory<ref name=""Muqaddimah 2 1995 p 30"">Muqaddimah 2:272–273 quoted in Weiss (1995) p. 30</ref> * [[Supply and demand|Supply and demand theory]]<ref>{{harvnb|Weiss|1995|p=31}} quotes Muqaddimah 2:276–278</ref> * [[Supply-side economics]] {{endplainlist}}",,,,,,,,,,,,,,[[Islam]],,,,,,,,,,,,,,,
,,,839 CE / 224 AH,,"[[Amol]], [[Tabaristan]], Abbasid Caliphate (present-day [[Iran]])",,,,,,,923 CE (aged 84) / 310 AH (aged 86),"[[Baghdad]], Abbasid Caliphate (present-day [[Iraq]])","[[Sunni]]<ref>Jonathan A.C. Brown (2007), ''The Canonization of al-Bukhārī and Muslim: The Formation and Function of the Sunnī Ḥadīth Canon'', p. 151. [[Brill Publishers]]. {{ISBN|978-90-04-15839-9}}.</ref>",,,[[Islamic Golden Age]],,,,,,,,,,,,,,,,,,[[Ijtihad|Independent]] (eponym of the [[Jariri school]]),,,,,,,,,{{flatlist| *[[Islamic history|History]] *[[tafsir|exegesis]] *[[fiqh|jurisprudence]] *[[aqidah|creed]] }},,,,,,,Al-Tabari,,,,ٱلطَّبَرِيّ,ar,,,,,,,,,,,,,,,,,[[Abbasid Caliphate]],,[[Islam]],,"{{interlanguage link|Al-Rahbi Park|ar|حديقة الرحبي}}, Baghdad, Iraq",,,,,,,,,[[Imam]],,,,
,,,,,,,,,,,,,,[[Mu'tazila]]<ref>{{cite journal | last = L. Ivry | first = Alfred | title = al-Kindī and the Muʿtazila: A Philosophical and Political Reevaluation | doi = 10.2307/1580657 | journal = The Philosophical Quarterly | date = 1976 | volume = 25/26 | pages = 69–85 | jstor = 1580657 | url = https://www.jstor.org/stable/1580657| url-access = subscription }}</ref><ref>{{cite journal | last = Hasan Abasi | first = Hossein Abadi | title = The Concept of God in Al-Kindi's Reflections | doi = 10.22081/NIR.2020.56605.1188 | journal = New Intellectual Research | date = 2020 | volume = 5 | issue = 9 }}</ref>}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Al-Kindi,,,,,,,,,,,,,,,,,,,,,,,,[[Islam]],,,,,,,,,,,,,,,
,,,{{circa|936}},,"[[Medina Azahara]], al-Andalus (near present-day [[Córdoba, Andalusia|Córdoba]], Spain)",,1964 [[commemorative stamp]] featuring an [[artist’s impression]] of al-Zahrawi.,,,,,{{death year and age|1013|936}},,,,,[[Islamic Golden Age]],,,,,,,,,,,"Al-Zahrawi Stamp, Syria (1964).jpg",,,"[[Abu Muhammad bin Hazm]], [[Guy de Chauliac]], [[Jacques Daléchamps]]",,,,,{{hlist|Pioneer of [[surgery]]| author of medical encyclopedia {{lang|ar|[[Kitab al-Tasrif]]}}}},,,,,,,,,,,,,,,Abū al-Qāsim al-Zahrāwī,,,,أبو القاسم الزهراوي,ar }},,,,,,,,,{{hlist|Physician}},,,,,,,,,,,,,,,,,,,,,,,,,
