[[presidential medal of freedom]]<ref name,academic_advisors,alma_mater,alt,awards,baptised,birth_date,birth_name,birth_place,burial_place,caption,child,children,church,citizenship,constituency2,death_date,death_place,doctoral_advisor,education,embed,employer,era,ethnicity,fields,footnotes,genre,genres,honorific-suffix,honorific_prefix,honorific_suffix,image,image_size,image_upright,imagesize,influenced,influences,institutions,laicized,language,last,main_interests,module,monarch,movement,name,nationality,native_name,native_name_lang,notable_ideas,notable_works,notablework,notableworks,occupation,office,office2,ordained,organisation,organization,other_names,parents,partner,party,period,portaldisp,predecessor,predecessor2,president,pseudonym,region,relatives,religion,resting_place,resting_place_coordinates,school_tradition,signature,signature_alt,signature_size,spouse,spouses,subject,subjects,successor,successor2,term_end,term_end2,term_start,term_start2,thesis_title,thesis_url,thesis_year,title,website,workplaces,works,years_active,yearsactive,{{marriage|albert price|1939|1943|end,{{marriage|herbert sheen|1927|1931|end,{{marriage|james howell pitts|1944|1944|end
,,,,,26 April 1564,{{circa|{{birth date|df=yes|1564|04|23}}}},,"[[Stratford-upon-Avon]], Warwickshire, England",,"{{nowraplinks|The [[Chandos portrait]], likely depicting Shakespeare, {{circa|1611}}}}",,{{unbulleted list|[[Susanna Hall]]|[[Hamnet Shakespeare]]|[[Judith Quiney]]}},,,,{{death date and age|df=yes|1616|04|23|1564|04}},"Stratford-upon-Avon, Warwickshire, England",,,,,{{hlist|[[Elizabethan era|Elizabethan]]|[[Jacobean era|Jacobean]]}},,,,,{{hlist|[[Shakespeare's plays|Play]] ([[Shakespearean comedy|comedy]]|[[Shakespearean history|history]]|[[Shakespearean tragedy|tragedy]])}}{{hlist|Poetry ([[Shakespeare's sonnets|sonnet]]|[[narrative poetry|narrative poem]]|[[epitaph]])}} }},,,,"William Shakespeare by John Taylor, edited.jpg<!--Please see the talk page before making any changes to the portrait-->",,,,,,,,[[Early Modern English]],,,{{Infobox writer |embed=yes,,[[English Renaissance]],William Shakespeare,,,,,,,,{{hlist|Playwright|poet|actor}},,,,{{hlist|[[Lord Chamberlain's Men]]|[[King's Men (playing company)|King's Men]]}},,,{{unbulleted list|[[John Shakespeare]]|[[Mary Shakespeare|Mary Arden]]}},,,,,,,,,,,,"[[Church of the Holy Trinity, Stratford-upon-Avon]]",,,,,,{{marriage|[[Anne Hathaway (wife of Shakespeare)|Anne Hathaway]]|1582}},,,,,,,,,,,,,,,,[[Shakespeare bibliography]],,{{circa|1585–1613}},,,
,,"[[Corpus Christi College, Cambridge]]",,,26 February 1564,,,"[[Canterbury]], Kent, England",,"[[Marlowe portrait|Anonymous portrait]], possibly of Marlowe,<br>at [[Corpus Christi College, Cambridge]]",,,,,,30 May 1593 (aged 29),"[[Deptford]], Kent, England",,,,,{{unbulleted list|[[Elizabethan era|Elizabethan]]}},,,,,,,,,Christopher Marlowe.jpg,,,,,,,,,,,,,[[English Renaissance]],Christopher Marlowe,,,,,"{{cslist|''[[Hero and Leander (poem)|Hero and Leander]]''|''[[Tamburlaine the Great]]''|''[[Edward II (play)|Edward the Second]]''|''[[Doctor Faustus (play)|The Tragical History of Doctor Faustus]]''|''[[Dido, Queen of Carthage (play)|Dido, Queen of Carthage]]''}}",,,{{cslist|Playwright|poet}},,,,,,,,,,,,,,,,,,,"[[Deptford St Nicholas|Churchyard of St. Nicholas]], Deptford; unmarked; memorial plaques inside and outside church",,,Christopher Marlowe Signature.svg }},,,,,,,,,,,,,,,,,,,,,c. mid-1580s – 1593,,,
,,,,,,{{birth date|df=y|1608|12|9}},,"[[Bread Street]], London, England",,,,,,,,{{death date and age|df=y|1674|11|8|1608|12|9}},"[[Bunhill Row]], London, England",,"[[Christ's College, Cambridge]] ([[Bachelor of Arts|BA]], [[Master of Arts|MA]])",,,,,,,,,,,,John Milton Christ's College.jpg,,,,,,,,,,,,,,John Milton,,,,,,,,{{hlist|Poet|Intellectual|Civil Servant}},,,,,,,,,,,,,,,,,,,[[St Giles-without-Cripplegate]],,,,,,{{plainlist| * {{marriage|Mary Powell|June 1642|5 May 1652|reason=died}} * {{marriage|Katherine Woodcock|12 November 1656|3 February 1658|reason=her death}} * {{marriage|Elizabeth Mynshull|24 February 1663}} }},,,,,,,,,,,,,,,,,,,,,
,,,,,,{{c.|1343}},,"[[London]], England",,"Manuscript portrait by [[Thomas Hoccleve]], 1412",,"4, including [[Thomas Chaucer|Thomas]]",,,,"{{death date and age|df=y|1400|10|25|1343||}}<!--His monument states that he was in his 53rd year at death, i. e. 52-->","London, England",,,,,[[England in the Late Middle Ages|Plantagenet]],,,,,{{hlist|[[Epic poem]]|[[lyric poem]]|[[short story]]|[[treatise]]}},,,,Chaucer manuscrit portrait (détail).jpeg,,,,,,,,[[Middle English]],,,{{Infobox writer|embed=yes,,Precursor to the [[English Renaissance]],Geoffrey Chaucer,,,,,,,''[[The Canterbury Tales]]'',{{hlist|Author|poet|philosopher|[[bureaucrat]]|diplomat}},,,,,,* Geffray Chaucer (orthographical variant) * Geffroy Chaucer (orthographical variant),,,,[[Middle English literature]],,,,,,,,,"[[Westminster Abbey]], London, England",,,File:Geoffrey Chaucer.svg,,200px }},{{marriage|[[Philippa Roet]]|1366}},,,,,,,,,,,,,,,,,from 1368,,,,
,,,head-and-chest side portrait of Dante in red and white coat and cowl,,,"{{circa|May 1265|}}<ref name=""auto"">His birth date is listed as ""probably in the end of May"" by [[Robert Hollander]] in ""Dante"" in ''[[Dictionary of the Middle Ages]]'', volume &nbsp;4. According to [[Giovanni Boccaccio]], the poet said he was born in May. See ""Alighieri, Dante"" in the ''Dizionario Biografico degli Italiani''.</ref>",Durante di Alighiero degli Alighieri{{efn|name=baptized}},"[[Florence]], [[Republic of Florence]]",,"[[wikt:posthumous|Posthumous]] portrait in [[tempera]]<br />by [[Sandro Botticelli]], 1495",,"4, including [[Jacopo Alighieri|Jacopo]]",,,,{{death date|1321|09|14}}<br />(aged {{circa|56}}),"[[Ravenna]], [[Papal States]]",,,,,,,,,,,,,,Portrait de Dante.jpg,,,,,,,,{{hlist|Italian ([[Tuscan dialect|Tuscan]])|[[Latin]]}},,,,,{{lang|it|[[Dolce Stil Novo]]}},Dante Alighieri,[[Florentine Republic|Florentine]],,,,,,''[[Divine Comedy]]'',{{hlist|Statesman|poet|language theorist|[[political theory|political theorist]]}},,,,,,,{{ublist|[[Alighiero di Bellincione]] (father)|Bella (mother)}} }},,,[[Late Middle Ages]],,,,,,,,,"[[Tomb of Dante]], Ravenna",,,,,,[[Gemma Donati]],,,,,,,,,,,,,,,,,,,,,
,,,,,,{{circa|8th century BC}},,"possibly [[Ionia]]<ref name=""Britannica"">{{Cite encyclopedia |last=Kirk |first=Geoffrey S. |author-link=Geoffrey Kirk |title=Homer |url=https://www.britannica.com/biography/Homer-Greek-poet |encyclopedia=[[Encyclopædia Britannica]] |year=2025 |orig-year=1998}}</ref>",,Marble terminal bust of Homer. Roman copy of a lost 2nd-century BC Hellenistic original,,,,,,,[[Ios]]<ref name= Lefkowitz2013 />,,,,,,,,,[[Epic poetry|Epic]],,,,,Homer British Museum.jpg,,,,,,,,{{Unbulleted list|[[Homeric Greek]] (literary)|[[Ionic Greek]]}},,,,,,Homer,,Ὅμηρος,grc,,{{Unbulleted list|''[[Iliad]]''|''[[Odyssey]]''}} }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Epic Cycle]],,,,,,,,,,,,,,,,,,,
,,,,,,15 October 70 BC,Publius Vergilius Maro,"Andes, [[Cisalpine Gaul]], [[Roman Republic]]",,"A 3rd-century Roman [[Virgil Mosaic|mosaic of Virgil]] seated between [[Clio]] and [[Melpomene]] (from [[Hadrumetum]] [Sousse], Tunisia)",,,,,,21 September 19 BC (aged 50),"[[Brindisi|Brundisium]], [[Italy (Roman Empire)|Italy]], [[Roman Empire]]",,,,,,,,,{{hlist|[[Epic poetry]]|[[didactic poetry]]|[[pastoral poetry]]}},,,,,Virgil mosaic in the Bardo National Museum (Tunis) (12241228546).jpg,,,,,,,,,,,,,[[Augustan poetry]],Virgil,,,,,''[[Eclogues]]'' <br/> ''[[Georgics]]'' <br/> ''[[Aeneid]]'' }},,,Poet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,20 March 43 BC<ref name=parised />,"Publius Ovidius Naso{{Efn|The [[cognomen]] ''Naso'' means ""the one with the [[:wikt:nasus#Latin|nose]]"" (i.e. ""Bignose""). Ovid habitually refers to himself by his nickname in his poetry because the Latin name ''Ovidius'' does not fit into [[Elegiac couplet|elegiac metre]].}}","[[Sulmona|Sulmo]], [[Italy (Ancient Rome)|Italy]], [[Roman Republic]]",,"Anonymous sculptor, bust of Ovid, 1st century AD, Uffizi Gallery, Florence }}",,,,,,AD 17 or 18 (age 59–61),"[[Constanța|Tomis]], [[Scythia Minor (Dobruja)|Scythia Minor]], [[Roman Empire]]",,,,,,,,,"[[Elegy]], [[Epic poetry|epic]], drama",,,,,Ovid by an anonymous sculptor.jpg,,,,,,,,,,,,,,Ovid,,,,,''[[Metamorphoses]]'',,,Poet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,8 December 65 BC,Quintus Horatius Flaccus,"[[Venosa|Venusia]], [[Italy (Roman Empire)|Italy]], [[Roman Republic]]",,"Bronze medallion depicting Horace, 4th–5th century",,,,,,27 November 8 BC (age 56),[[Rome]],,,,,,,,,[[Lyric poetry]],,,,,File:(contorniate Médaillon Horace Rome (...)Horace (0065-0008 btv1b11343890r 1 (cropped).jpg,,,,,,,,[[Latin]],,,,,,Horace,,,,,,,"''[[Odes (Horace)|Odes]]''<br />""[[Ars Poetica (Horace)|The Art of Poetry]]""","Soldier, [[scriba (ancient Rome)|scriba quaestorius]], poet",,,,,,,,,,,}},,,,,,,,Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,{{birth date|df=yes|1795|10|31}},,"[[Moorgate]], London, England",,"Posthumous portrait by [[William Hilton (painter)|William Hilton]], {{c.|1822}}",,,,,,{{nowrap|{{death date and age|df=yes|1821|2|23|1795|10|31}}}},"[[Rome]], [[Papal States]]",,[[Guy's Hospital]],,,,,,,,,,,,John Keats by William Hilton.jpg,,,,,,,,,,,,,[[Romantic literature in English|Romanticism]],John Keats,,,,,,,,[[English poetry|Poet]],,,,,,,,,,,,,,,,,[[George Keats]] (brother) }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,
