academic_advisors,allegiance,alma_mater,alt,alt 2,appointed,author_abbrev_bot,author_abbrev_zoo,author_abbreviation_bot,author_abbreviation_zoo,awards,battles,birth_date,birth_name,birth_place,branch,c,caption,child,children,citizenship,credits,death_cause,death_date,death_place,doctoral_advisor,doctoral_students,education,embed,embed_title,employer,ethnicity,eva_time,evas,father,field,fields,footnotes,honorific prefix,honorific_prefix,honorific_suffix,image,image_size,image_upright,influenced,influences,insignia,known_for,landscape,mi,mission,missions,module,module2,mother,name,nationality,native_name,native_name_lang,notable_students,occupation,office,order,other_names,p,parents,parliamentarygroup,partner,predecessor,prizes,rank,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,retirement,s,selection,serviceyears,signature,spouse,successor,t,term,term_end,term_start,termlabel,thesis_title,thesis_url,thesis_year,time,type,w,website,work_institution,work_institutions,workplaces,wuu,years_active,yearsactive,{{marriage|duke mondy|1968|1972|end,{{marriage|foster johnson|1951|1951|end
,,,,,,,,,,,,{{birth date|df=y|1815|12|10}},Hon. Augusta Ada Byron,"London, England",,,Daguerreotype of Lovelace by Antoine Claudet ({{circa|1843}})<ref>{{cite web | url=https://blogs.bodleian.ox.ac.uk/adalovelace/2015/10/14/only-known-photographs-of-ada-lovelace-in-bodleian-display/ | title=Only known photographs of Ada Lovelace in Bodleian Display | date=14 October 2015 }}</ref>,,"{{plainlist| * [[Byron King-Noel, Viscount Ockham]] * [[Anne Blunt, 15th Baroness Wentworth]] * [[Ralph King-Milbanke, 2nd Earl of Lovelace]]}}",,,,{{death date and age|df=y|1852|11|27|1815|12|10}},"[[Marylebone]], London, England",,,,,,,,,,,,,,,[[The Right Honourable]],,Ada Lovelace daguerreotype by Antoine Claudet 1843 - cropped.png,220,,,,,,,,,,,,,The Countess of Lovelace,British,,,,,,,,,"{{Plainlist | * [[Lord Byron|George Byron, 6th Baron Byron]] (father) * [[Lady Byron|Anne Isabella Milbanke]] (mother) }}",,,,,,,,,"[[Church of St. Mary Magdalene, Hucknall]], Nottingham, England",,,,,,,,,"{{marriage|[[William King-Noel, 1st Earl of Lovelace]]|1835}}",,,,,,,,,,,,,,,,,,,,,
,United States,,,,,,,,,{{plainlist| * [[Defense Distinguished Service Medal]] * [[Legion of Merit]] * [[Meritorious Service Medal (USA)|Meritorious Service Medal]] * [[American Campaign Medal]] * [[World War II Victory Medal]] * [[National Defense Service Medal]] * [[Armed Forces Reserve Medal]] with two [[Hourglass Device]]s * [[Naval Reserve Medal]] * [[Presidential Medal of Freedom]] (posthumous)}},,{{birth date|1906|12|9}},Grace Brewster Murray,"[[New York City]], [[New York (state)|New York]], U.S.",[[United States Navy]],,Hopper in 1984,,,,,,{{death date and age|1992|1|1|1906|12|9}},"[[Arlington County, Virginia]], U.S.",[[Øystein Ore]],,"[[Vassar College]] ([[Bachelor of Arts|BA]])<br>[[Yale University]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,Military career,,,,,,,Computer science<br>Mathematics,,,,,"Commodore Grace M. Hopper, USN (covered) head and shoulders crop.jpg",,,,,,{{plainlist| * [[FLOW-MATIC]] * [[COBOL]]}}}} }},,,,,{{Infobox military person |embed=yes,{{Infobox scientist | embed=yes,,Grace Hopper,,,,,,,,,,,,,,,[[Rear admiral (United States)#Rear admiral (lower half)|Rear admiral (lower half)]]}},,,,,,,[[Arlington National Cemetery]],,,,1943–1986,,{{marriage|Vincent Hopper|1930|1945|end=div}},,,,,,,New Types of Irreducibility Criteria,https://www.proquest.com/docview/301795588/,1934,,,,,,,{{plainlist| * [[Vassar College]] * [[Yale University]] * [[Harvard University]] * [[University of Pennsylvania]] * [[Eckert–Mauchly Computer Corporation]] * [[Remington Rand]] * [[Digital Equipment Corporation]]}},,,,,
,,,,,,,,,,,,{{Birth date|mf=yes|1914|11|9}},Hedwig Eva Maria Kiesler,"[[Vienna]], [[Austria-Hungary]]",,,"Lamarr, {{circa|1944}}",,3 }},"{{plainlist| * Austria (until 1938)<ref>{{Cite web|url=https://ima.org.uk/16506/historical-notes-the-fantastic-lives-of-hedy-lamarr/|title=Historical Notes: The Fantastic Lives of Hedy Lamarr|first=Snezana|last=Lawrence|date=April 12, 2021}}</ref> * [[Statelessness|Stateless]] (1938–1953) * US (from 1953)}}",,,{{Death date and age|mf=yes|2000|1|19|1914|11|9}},"[[Casselberry, Florida]], US",,,,,,,,,,,,,,,,,Hedy Lamarr Publicity Photo for The Heavenly Body 1944.jpg,,,,,,,,,,,,,,Hedy Lamarr,,,,,{{hlist|Actress|inventor}},,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * {{marriage|[[Friedrich Mandl]]|1933|1937|end=div}} * {{marriage|[[Gene Markey]]|1939|1941|end=div}} * {{marriage|[[John Loder (actor)|John Loder]]|1943|1947|end=div}} * {{marriage|[[Teddy Stauffer]]|1951|1952|end=div}} * {{marriage|W. Howard Lee|1953|1960|end=div}} * {{marriage|Lewis J. Boies|1963|1965|end=div}}}},,,,,,,,,,,,,,,,,,,1930–1958,,
,,,Katherine Johnson,,,,,,,{{unbulleted list|[[Presidential Medal of Freedom]] (2015)|[[Silver Snoopy award]] (2016)|[[NASA Group Achievement Award]] (2016)|[[Congressional Gold Medal]] (2019)}},,{{Birth date|1918|08|26}},Creola Katherine Coleman,"[[White Sulphur Springs, West&nbsp;Virginia]], U.S.",,,Johnson in 1983,,3,,,,{{Death date and age|2020|02|24|1918|08|26}},"[[Newport News, Virginia]], U.S.",,,[[West Virginia State University]] ([[Bachelor of Science|BS]]),,,{{hlist|[[National Advisory Committee for Aeronautics|NACA]]|[[NASA]] (1953–1986)}},,,,,,,,,,,Katherine Johnson 1983.jpg,,,,,,Calculating trajectories for NASA missions,,,,,,,,Katherine Johnson,,,,,"[[Human computer]], computer programmer, mathematics teacher",,,Katherine Goble,,,,,,,,,,,,,,,,,,,,{{unbulleted list|{{marriage|James Goble|1939|1956|end=died}}|{{marriage|Jim Johnson|1959|2019|end=died}}}},,,,,,,,,,,,,{{URL|https://katherinejohnson.net}} }},,,,,,,,
,,,,,,,,,,,,{{birth date|1910|9|20}},Dorothy Jean Johnson,"[[Kansas City, Missouri]], U.S.",,,,,6,,,,{{death date and age|2008|11|10|1910|9|20}},"[[Hampton, Virginia]], U.S.",,,[[Wilberforce University]] ([[Bachelor of Arts|BA]]),,,,,,,,,,,,,,Dorothy Vaughan 2.jpg,,,,,,,,,,,,,,Dorothy Vaughan,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{marriage| Howard Vaughan |1932|1955|end=d}},,,,,,,,,,,,,,,"[[National Advisory Committee for Aeronautics|NACA]], [[Langley Research Center]] }}",,,,,,
,,,,,,,,,,,,{{birth date and age|1956|10|17}},Mae Carol Jemison,"[[Decatur, Alabama]], U.S.",,,Jemison in July 1992,,,,,,,,,,"[[Stanford University]] ([[Bachelor of Arts|BA]], [[Bachelor of Science|BS]])<br/>[[Cornell University]] ([[Doctor of Medicine|MD]])",,,,,,,,,,,,,,Mae Carol Jemison.jpg,,,,,[[File:Sts-47-patch.png|58px|STS-47]],,,,[[STS-47]],,,,,Mae Jemison,,,,,,,,,,,,,,,,,,,,,,,March 1993 }},,[[NASA Astronaut Group 12|NASA Group 12 (1987)]],,,,,,,,,,,,,7d 22h 30m,[[NASA astronaut]],,,,,,,,,,
,,,portrait,,,,,,,"[[Presidential Medal of Freedom]] (2013, posthumous)",,{{birth date|1951|5|26}},Sally Kristen Ride,"[[Los Angeles]], California, U.S.",,,Ride in 1984,yes,,,,,{{death date and age|2012|7|23|1951|5|26}},"[[La Jolla]], California, U.S.",,,"[[Swarthmore College]]<br>[[University of California, Los Angeles]]<br>[[Stanford University]] ([[Bachelor of Arts|BA]], [[Bachelor of Science|BS]], [[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,,,,,,,,,,,Sally Ride (1984).jpg,,,,,[[File:STS-7_patch.svg|45px|alt=STS-7 mission patch]] [[File:STS-41G_Patch.svg|45px|alt=STS-41-G mission patch]],,,,{{ubl| *[[STS-7]] *[[STS-41-G]]}},,{{Infobox astronaut,,,Sally Ride,,,,,,,,,,,,[[Tam O'Shaughnessy]] (1985–2012),,,,,,,,,,,"August 15, 1987}} }}",,[[NASA Astronaut Group 8|NASA Group 8 (1978)]],,,{{marriage|[[Steven Hawley]]|1982|1987|end=div}},,,,,,,,,,14d 7h 46m,[[NASA]] astronaut,,,,,,,,,,
,,,,,,,,,,,,{{Birth date and age|1937|3|6|df=y}},,"[[Bolshoye Maslennikovo]], Yaroslavl Oblast, Soviet&nbsp;Union",,,Tereshkova in 2024,,,,,,,,,,,,,,,,,,,,,,,,Valentina Tereshkova (2024-02-29) crop.jpg,320px,,,,,,,,,,,,,Valentina Tereshkova,,{{nobold|Валентина Терешкова}},,,{{hlist|Pilot|[[cosmonaut]]|politician}},Member of the [[State Duma]],,,,,,,,,,,,,,,,,,,,,,{{plainlist| * {{marriage|[[Andriyan Nikolayev]]|3 November 1963|1982|end=divorced}} * {{marriage|Yuli Shaposhnikov|1982|1999|end=died}} }},,,,,21 December 2011,,,,,,,,,,,,,,,,
,,,,,,,,,,,,{{birth date and age|1960|2|9}},,"[[Beaconsfield, Iowa]], U.S.",,,Whitson at the [[National Air and Space Museum]] in 2018,,,,,,,,[[Kathleen Matthews (biochemist)|Kathleen Matthews]]}} }},,[[Iowa Wesleyan University]] ([[Bachelor of Science|BS]])<br/>[[Rice University]] ([[Doctor of Philosophy|PhD]]),yes,,,,"60&nbsp;hours, 21&nbsp;minutes<ref name=""EVA2017""/>",10,,[[Biochemistry]],,,,,,"Peggy Whitson Friday at the Smithsonian's National Air and Space Museum on March 2, 2018 (cropped).jpg",,,,,[[File:STS-111 Patch.svg|50px]] [[File: Expedition 5 insignia.svg|50px]] [[File:STS-113 Patch.svg|52px]] [[File:Soyuz TMA-11 Patch.png|55px]] [[File:ISS Expedition 16 Patch.svg|48px]] [[File:ISS Expedition 50 Patch.png|50px]] [[File:ISS Expedition 51 Patch.svg|50px]] [[File:ISS Expedition 52 Patch.svg|58px]]<!--Please do not insert Axiom mission patches as they are non-free images -->,,,,,{{ubli,{{Infobox scientist,,,Peggy Whitson,,,,,,,,,,,,,,,,,,,,,,,"June 15, 2018<ref>{{cite web |url=http://www.nasa.gov/press-release/record-setting-nasa-astronaut-peggy-whitson-retires |title=Record-Setting NASA Astronaut Peggy Whitson Retires |first=Sean |last=Potter |date=June 15, 2018 |website=NASA}}</ref> from NASA currently active at Axiom Space",,[[NASA Astronaut Group 16|NASA Group 16 (1996)]],,,,,,,,,,"The Lactose Repressor-Operator DNA Interaction: Chemical and Physical Studies of the Complex (Modification, Equilibrium, Protein, Stopped-Flow, Kinetics)",https://www.proquest.com/docview/303533181,1986,"695 days, 7 hours and 4 minutes",[[NASA astronaut]],,,,,,,,,,
,,,,,,,,,,[[Congressional Space Medal of Honor]],,{{birth date|1948|9|2}},Sharon Christa Corrigan,"[[Boston]], [[Massachusetts]], U.S.",,,McAuliffe in 1985,yes,2,,,[[Space Shuttle Challenger disaster|Space Shuttle ''Challenger'' disaster]],{{death date and age|1986|1|28|1948|9|2}},North Atlantic Ocean,,,{{unbulleted list|[[Framingham State University]] ([[Bachelor of Science|BS]])|[[Bowie State University]] ([[Master of Arts|MA]])}},,,,,,,,,,,,,,ChristaMcAuliffe (cropped).jpg,,,,,[[File:STS-51-L.svg|30px]]}} }},,,,[[STS-51-L]],,{{Infobox astronaut,,,Christa McAuliffe,,,,,,,,,,,,,,,,,,,,,,,,,[[Teacher in Space Project]] (1985),,,{{marriage|[[Steven J. McAuliffe]]|1970}},,,,,,,,,,,"NASA [[Space flight participant]]<ref>{{Cite web |url=http://www.jsc.nasa.gov/Bios/PS/index.html#SFP |title=Astronaut Biographies: Space Flight Participant |access-date=January 10, 2009 |publisher=NASA/Lyndon B. Johnson Space Center |date=December 5, 2008}}</ref>",,,,,,,,,,
